Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Canada,1850,Helm,3.8,4.0,5.2,4.0,4.6,0.21171829632124753
Canada,1850,Shield,3.8,3.0,4.4,3.0,3.8999999999999995,0.21191243210992555
Canada,1850,Lore,5.0,4.0,4.2,5.0,7.3,0.2504848341181725
Canada,1850,Stewards,5.0,5.0,4.0,4.4,8.2,0.2482323705798526
Canada,1850,Craft,4.8,5.0,4.2,4.0,7.6000000000000005,0.23912013281742941
Canada,1850,Hands,3.8,4.0,5.2,3.0,4.1,0.20185992611787348
Canada,1850,Archive,5.0,4.0,4.2,4.0,6.8,0.24181947015961208
Canada,1850,Flow,5.0,5.0,4.2,4.0,7.8,0.24181947015961208
Canada,1860,Helm,3.0,4.0,6.2,4.0,2.8,0.18352984798880476
Canada,1860,Shield,4.0,3.0,5.2,3.0,3.3,0.20007271039499694
Canada,1860,Lore,5.0,5.0,4.2,5.0,8.3,0.2443996391972703
Canada,1860,Stewards,5.0,6.0,4.0,4.0,9.0,0.23875733446044192
Canada,1860,Craft,5.0,5.0,4.2,4.0,7.8,0.235982756234179
Canada,1860,Hands,3.8,4.0,5.2,3.0,4.1,0.19712322355603445
Canada,1860,Archive,5.0,4.0,4.4,4.0,6.6,0.2332323630761496
Canada,1860,Flow,5.0,6.0,4.2,4.0,8.8,0.235982756234179
Canada,1867,Helm,6.0,5.0,4.2,6.0,9.8,0.3225252249905221
Canada,1867,Shield,5.0,4.0,4.0,4.0,7.0,0.2911127537723893
Canada,1867,Lore,6.0,5.0,4.0,6.0,10.0,0.326349746363356
Canada,1867,Stewards,6.0,6.0,3.8,5.0,10.7,0.32066985189542774
Canada,1867,Craft,5.0,5.0,4.0,5.0,8.5,0.30183082643472103
Canada,1867,Hands,5.0,4.0,5.0,4.0,6.0,0.2739760744386772
Canada,1867,Archive,6.0,5.0,3.0,5.8,10.9,0.34404741422602897
Canada,1867,Flow,6.0,6.0,3.6,5.0,10.9,0.3244775890211889
Canada,1870,Helm,4.8,5.0,6.2,5.0,6.1000000000000005,0.2203462868346296
Canada,1870,Shield,5.0,4.0,6.2,4.0,4.8,0.21476574034998297
Canada,1870,Lore,6.0,5.0,4.0,6.0,10.0,0.2734645220756138
Canada,1870,Stewards,5.0,6.0,5.0,4.0,8.0,0.23077101154936314
Canada,1870,Craft,5.0,5.0,5.0,4.0,7.0,0.23077101154936314
Canada,1870,Hands,4.0,4.0,6.2,3.0,3.3,0.1928318891446743
Canada,1870,Archive,5.0,5.0,4.0,5.0,8.5,0.25355344259952683
Canada,1870,Flow,5.0,5.0,5.0,4.0,7.0,0.23077101154936314
Canada,1880,Helm,6.0,6.0,4.2,5.8,10.7,0.32067856287422025
Canada,1880,Shield,5.0,5.0,4.0,4.0,8.0,0.291106110898677
Canada,1880,Lore,6.0,5.0,4.0,6.0,10.0,0.32634215966694846
Canada,1880,Stewards,6.0,7.0,4.0,5.0,11.5,0.3168891750981094
Canada,1880,Craft,6.0,6.0,4.2,5.0,10.3,0.3131503380706212
Canada,1880,Hands,5.0,5.0,5.0,4.0,7.0,0.27396987641834497
Canada,1880,Archive,6.0,5.0,3.0,6.0,11.0,0.3459778594051896
Canada,1880,Flow,6.0,7.0,4.0,5.0,11.5,0.3168891750981094
Canada,1885,Helm,4.8,6.0,6.4,5.0,6.9,0.2254413468087388
