Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Chile,1875,Helm,6.0,5.0,3.0,5.0,10.5,0.3517258225327079
Chile,1875,Shield,5.8,4.8,2.8,4.4,10.0,0.3459746139726348
Chile,1875,Lore,6.2,5.0,3.0,6.0,11.2,0.3651885946632433
Chile,1875,Stewards,6.8,6.0,3.2,5.2,12.200000000000001,0.36193810833618795
Chile,1875,Craft,5.0,5.0,2.8,4.0,9.2,0.3271584321432465
Chile,1875,Hands,4.0,4.0,4.8,3.0,4.7,0.25984670695665907
Chile,1875,Archive,5.2,5.0,2.8,5.0,9.899999999999999,0.3425681630812742
Chile,1875,Flow,6.0,6.2,3.0,5.2,11.799999999999999,0.35385090159793137
Chile,1876,Helm,5.8,5.0,2.8,5.2,10.6,0.35403547890314563
Chile,1876,Shield,5.8,5.0,3.0,4.2,9.9,0.33892174994442964
Chile,1876,Lore,6.0,5.0,3.0,5.8,10.9,0.3593195894282826
Chile,1876,Stewards,6.8,6.2,3.0,5.0,12.5,0.36338385554199093
Chile,1876,Craft,5.2,5.0,3.0,4.0,9.2,0.32617699178147946
Chile,1876,Hands,3.8,4.0,4.6,3.0,4.7,0.2585867930059152
Chile,1876,Archive,5.0,4.8,2.6,5.0,9.700000000000001,0.34241224780286744
Chile,1876,Flow,6.0,6.2,2.8,5.0,11.899999999999999,0.3551125576064305
Chile,1877,Helm,6.0,5.0,3.0,5.0,10.5,0.3487705951569419
Chile,1877,Shield,6.2,5.0,3.0,4.2,10.299999999999999,0.34341986224087656
Chile,1877,Lore,6.2,5.0,3.2,6.0,11.0,0.35789726217739376
Chile,1877,Stewards,6.8,6.0,3.0,5.2,12.4,0.363091800990128
Chile,1877,Craft,5.0,5.0,3.0,4.0,9.0,0.3205811599403708
Chile,1877,Hands,4.0,3.8,5.0,3.2,4.4,0.25709122998086226
Chile,1877,Archive,5.0,5.0,3.0,5.0,9.5,0.33230466418409527
Chile,1877,Flow,5.8,6.2,3.0,5.0,11.5,0.34557597223643644
Chile,1878,Helm,6.2,5.2,4.0,4.8,9.8,0.3229754588388031
Chile,1878,Shield,6.0,5.2,3.6,4.2,9.7,0.3215244713172049
Chile,1878,Lore,6.0,5.0,2.6,6.2,11.5,0.3618816793030592
Chile,1878,Stewards,6.6,5.8,3.2,5.0,11.7,0.3465880668780964
Chile,1878,Craft,5.0,4.8,3.0,4.0,8.8,0.31405312788913103
Chile,1878,Hands,4.2,4.2,4.8,3.0,5.1000000000000005,0.256389751475999
Chile,1878,Archive,5.2,5.0,3.0,5.0,9.7,0.32881268981616174
Chile,1878,Flow,6.0,6.2,4.0,5.0,10.7,0.32199192565265883
Chile,1879,Helm,7.0,5.8,5.2,5.8,10.5,0.3004705105204894
Chile,1879,Shield,7.0,6.2,5.8,4.6,9.7,0.28062673843153896
Chile,1879,Lore,7.0,5.2,3.2,6.0,12.0,0.3391085559445863
Chile,1879,Stewards,5.8,6.0,3.8,5.2,10.6,0.3049360487024576
Chile,1879,Craft,5.0,5.2,3.8,4.0,8.399999999999999,0.2812215175204823
