Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
China,1800,Helm,5.8,6.0,3.6,7.2,11.8,0.35572279184821326
China,1800,Shield,4.6,5.4,3.6,5.4,9.100000000000001,0.3187154833392724
China,1800,Lore,7.0,6.0,3.2,8.2,13.9,0.3895496871917833
China,1800,Stewards,6.6,6.6,3.8,5.0,11.899999999999999,0.34199880213557293
China,1800,Craft,5.2,5.2,4.2,4.8,8.6,0.31064420258171405
China,1800,Hands,4.8,4.8,5.2,3.2,6.0,0.26851837753379
China,1800,Archive,6.8,5.6,2.8,6.2,12.699999999999998,0.3775189208145255
China,1800,Flow,4.6,6.4,4.0,5.2,9.6,0.3089220394077911
China,1801,Helm,6.0,5.8,4.2,6.6,10.9,0.33191546024410784
China,1801,Shield,5.2,4.8,4.4,5.0,8.1,0.3012615902003321
China,1801,Lore,7.2,5.8,3.0,7.6,13.8,0.3811462356721795
China,1801,Stewards,5.8,6.0,4.4,4.6,9.7,0.3063055650498458
China,1801,Craft,5.2,5.0,3.8,5.4,9.1,0.316457520972181
China,1801,Hands,4.8,4.6,5.0,3.0,5.899999999999999,0.26286470249821464
China,1801,Archive,6.8,5.6,3.4,6.0,11.999999999999998,0.3533852963024452
China,1801,Flow,5.0,6.0,4.0,4.6,9.3,0.3011585735167791
China,1802,Helm,5.4,6.2,4.2,6.8,10.8,0.3340730864130678
China,1802,Shield,5.2,4.4,4.2,5.6,8.200000000000001,0.3191420581780669
China,1802,Lore,7.4,6.6,2.8,7.8,15.1,0.40036673100923187
China,1802,Stewards,5.8,5.8,4.2,5.4,10.1,0.32624023955369413
China,1802,Craft,5.2,4.8,4.0,4.8,8.4,0.31449433522646875
China,1802,Hands,4.8,5.4,4.8,3.8,7.299999999999999,0.28223993028843913
China,1802,Archive,7.0,5.6,3.0,5.8,12.5,0.37233451919452415
China,1802,Flow,5.0,6.2,3.4,5.0,10.299999999999999,0.32490058476027844
China,1803,Helm,6.0,6.6,3.8,6.6,12.100000000000001,0.3486999093023345
China,1803,Shield,5.2,5.2,3.8,4.8,9.0,0.31817395614504396
China,1803,Lore,7.2,5.6,2.8,8.4,14.2,0.4027823616490508
China,1803,Stewards,5.6,6.0,3.8,4.8,10.2,0.3246373748812919
China,1803,Craft,4.8,4.8,3.8,5.0,8.3,0.3137522545994297
China,1803,Hands,4.8,4.8,4.8,2.8,6.199999999999999,0.2704348666440112
China,1803,Archive,7.6,6.2,3.2,6.0,13.600000000000001,0.37805559563968766
China,1803,Flow,5.0,6.0,4.2,5.4,9.5,0.31379854046350036
China,1804,Helm,5.6,6.0,4.2,7.2,11.0,0.33997860297083066
China,1804,Shield,5.2,5.2,4.0,5.0,8.9,0.3159881791319142
China,1804,Lore,7.0,5.6,2.4,8.0,14.2,0.4050732899712233
China,1804,Stewards,6.2,6.0,3.6,5.0,11.1,0.3394227202770497
China,1804,Craft,5.2,5.0,4.2,5.0,8.5,0.3122082718202334
China,1804,Hands,5.0,5.0,5.2,2.8,6.199999999999999,0.2668848654106387
China,1804,Archive,7.0,6.2,3.0,6.0,13.2,0.3734271008517331
China,1804,Flow,5.0,6.0,4.2,5.0,9.3,0.3090038868187794
China,1805,Helm,6.0,5.8,4.2,6.8,11.0,0.3376647487592327
China,1805,Shield,4.8,5.0,4.2,4.8,8.0,0.29992001462493983
China,1805,Lore,7.0,6.0,2.6,8.0,14.4,0.39548897724053844
China,1805,Stewards,5.8,6.2,3.6,4.8,10.8,0.32714501211252195
China,1805,Craft,5.4,5.2,4.0,5.0,9.100000000000001,0.3153282143674648
China,1805,Hands,4.6,4.8,5.4,2.8,5.399999999999999,0.25360144111101024
China,1805,Archive,7.2,6.0,3.2,6.2,13.1,0.3691267153228218
China,1805,Flow,5.0,6.0,4.0,4.8,9.4,0.3068403258860998
China,1806,Helm,5.8,5.6,4.4,7.2,10.599999999999998,0.3354685699181726
China,1806,Shield,4.8,5.2,4.0,4.8,8.4,0.30434057508841994
China,1806,Lore,7.0,5.8,2.8,8.2,14.1,0.3938173627866405
China,1806,Stewards,6.0,5.8,4.2,4.8,10.0,0.31947577256282844
China,1806,Craft,4.8,4.8,3.6,4.8,8.4,0.31175839133061706
China,1806,Hands,5.2,5.0,4.8,3.0,6.8999999999999995,0.2767712242204317
China,1806,Archive,6.6,5.8,3.0,6.0,12.399999999999999,0.36411092090050756
China,1806,Flow,5.2,6.4,4.2,5.4,10.100000000000001,0.31340050202793507
China,1807,Helm,5.8,6.0,4.2,7.2,11.200000000000001,0.34244391243551325
China,1807,Shield,5.0,5.0,4.2,5.2,8.4,0.31087121566699033
China,1807,Lore,7.4,6.4,2.8,7.8,14.9,0.3991225916340416
China,1807,Stewards,6.0,5.6,3.6,5.2,10.6,0.33810452259320317
China,1807,Craft,4.8,5.0,4.0,5.2,8.4,0.3113879401185723
China,1807,Hands,5.2,5.2,5.0,2.2,6.5,0.2664362285082386
China,1807,Archive,6.8,6.0,3.0,6.0,12.8,0.37024285137574287
China,1807,Flow,5.2,6.4,4.0,5.4,10.3,0.3199424088763874
China,1808,Helm,5.8,6.4,4.6,6.8,11.0,0.32346037860046645
China,1808,Shield,5.0,5.0,3.8,5.4,8.9,0.3135238555790136
China,1808,Lore,6.6,6.0,3.0,8.0,13.6,0.3770919391566933
China,1808,Stewards,6.0,6.0,3.8,4.8,10.6,0.32273233471317075
China,1808,Craft,4.8,5.2,4.2,4.6,8.1,0.29448299552394114
China,1808,Hands,4.8,5.6,5.0,2.8,6.799999999999999,0.2607048743284429
China,1808,Archive,7.0,5.8,3.2,6.0,12.600000000000001,0.36045505362237407
China,1808,Flow,4.8,6.4,4.0,5.2,9.799999999999999,0.30454770406208237
China,1809,Helm,5.8,6.0,4.2,6.8,11.0,0.3365187643215572
China,1809,Shield,5.4,5.2,4.4,5.4,8.900000000000002,0.3133593460018083
China,1809,Lore,7.0,5.6,2.6,8.0,14.0,0.3974401749133773
China,1809,Stewards,5.8,6.0,4.0,5.4,10.5,0.32701705259229863
China,1809,Craft,4.8,5.4,3.8,5.0,8.899999999999999,0.3109136995095149
China,1809,Hands,5.0,5.0,5.0,3.4,6.7,0.2750892734496969
China,1809,Archive,7.0,5.8,3.2,5.8,12.500000000000002,0.3644739988627836
China,1809,Flow,4.6,6.2,4.0,5.0,9.3,0.30388097394742125
China,1810,Helm,6.0,6.0,4.4,5.8,10.5,0.3219262045844543
China,1810,Shield,5.2,4.6,4.0,5.4,8.5,0.3138706884267814
China,1810,Lore,6.8,5.8,2.8,8.0,13.8,0.3852576018543322
China,1810,Stewards,5.8,6.0,3.8,5.0,10.5,0.32274752868339446
China,1810,Craft,4.8,4.8,3.2,4.8,8.799999999999999,0.3159856589503011
China,1810,Hands,4.2,4.8,4.8,3.0,5.7,0.25632651296698034
China,1810,Archive,6.2,5.8,3.0,6.2,12.1,0.35640868911486095
China,1810,Flow,4.8,6.0,4.4,5.2,9.0,0.29823151227071787
China,1811,Helm,5.0,5.0,5.0,5.8,7.9,0.2832020595808553
China,1811,Shield,5.0,4.6,4.8,4.8,7.199999999999999,0.2770719574877657
China,1811,Lore,7.2,6.0,2.8,7.6,14.2,0.36871717310479074
China,1811,Stewards,5.0,6.2,4.0,4.6,9.5,0.2886462982999606
China,1811,Craft,5.0,5.4,3.6,4.8,9.200000000000001,0.2976981405452335
China,1811,Hands,4.0,4.8,4.8,2.4,5.200000000000001,0.2341541545675445
China,1811,Archive,6.0,6.0,3.2,5.6,11.600000000000001,0.3277167344153645
China,1811,Flow,5.0,4.6,4.2,5.2,8.0,0.29122816940071494
China,1812,Helm,5.4,5.2,5.4,5.8,8.100000000000001,0.2790725600218868
China,1812,Shield,5.2,4.6,5.2,4.8,7.0,0.27066687408343065
China,1812,Lore,6.8,6.2,3.2,7.6,13.600000000000001,0.35207941235086526
China,1812,Stewards,5.4,6.2,4.2,4.6,9.700000000000001,0.28837829764983397
