Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
France,1850,Helm,4.8,5.0,7.2,5.0,5.1000000000000005,0.2184586457973385
France,1850,Shield,6.0,6.0,5.2,4.0,8.8,0.2533803819976362
France,1850,Lore,6.2,5.2,4.0,5.0,9.9,0.28304157235454047
France,1850,Stewards,5.0,5.0,5.2,4.0,6.8,0.24033476687535676
France,1850,Craft,5.0,5.0,4.2,4.2,7.9,0.25701433209923935
France,1850,Hands,6.0,6.0,4.2,3.0,9.3,0.2598066639392108
France,1850,Archive,5.2,4.2,4.0,4.0,7.4,0.26101807474105376
France,1850,Flow,5.0,5.0,4.2,4.0,7.8,0.2551260085814035
France,1851,Helm,5.8,6.0,6.0,6.0,8.8,0.2795965893917538
France,1851,Shield,6.0,6.0,4.2,4.0,9.8,0.2953262429632491
France,1851,Lore,6.2,6.0,3.6,6.0,11.6,0.327848477729722
France,1851,Stewards,6.0,6.0,4.4,5.0,10.1,0.3012586997736471
France,1851,Craft,6.0,6.0,4.0,4.4,10.2,0.30276311114043136
France,1851,Hands,6.0,6.0,4.0,4.0,10.0,0.29886144909445667
France,1851,Archive,5.2,4.4,4.0,4.0,7.600000000000001,0.28665545932487596
France,1851,Flow,6.0,6.0,4.0,4.0,10.0,0.29886144909445667
France,1852,Helm,7.0,7.2,4.0,6.2,13.299999999999999,0.3765217837274415
France,1852,Shield,7.0,7.2,3.0,5.0,13.7,0.3869350922376721
France,1852,Lore,6.2,6.2,2.8,6.0,12.600000000000001,0.38936166540781364
France,1852,Stewards,7.0,7.0,4.0,6.0,13.0,0.37458758214612037
France,1852,Craft,6.0,6.0,3.0,5.2,11.6,0.37275034857670025
France,1852,Hands,6.0,6.0,3.0,4.0,11.0,0.3588648297329654
France,1852,Archive,5.2,5.2,3.8,5.0,9.100000000000001,0.3397030289839817
France,1852,Flow,6.0,7.0,3.0,5.0,12.5,0.3704917028414974
France,1853,Helm,7.0,7.2,4.0,6.2,13.299999999999999,0.3765217837274415
France,1853,Shield,7.0,7.2,3.0,5.0,13.7,0.3869350922376721
France,1853,Lore,6.2,6.2,2.8,6.0,12.600000000000001,0.38936166540781364
France,1853,Stewards,7.0,7.0,4.0,6.0,13.0,0.37458758214612037
France,1853,Craft,6.0,6.0,3.0,5.2,11.6,0.37275034857670025
France,1853,Hands,6.0,6.0,3.0,4.0,11.0,0.3588648297329654
France,1853,Archive,5.2,5.2,3.8,5.0,9.100000000000001,0.3397030289839817
France,1853,Flow,6.0,7.0,3.0,5.0,12.5,0.3704917028414974
France,1854,Helm,7.0,7.2,4.0,6.2,13.299999999999999,0.3765217837274415
France,1854,Shield,7.0,7.2,3.0,5.0,13.7,0.3869350922376721
France,1854,Lore,6.2,6.2,2.8,6.0,12.600000000000001,0.38936166540781364
France,1854,Stewards,7.0,7.0,4.0,6.0,13.0,0.37458758214612037
France,1854,Craft,6.0,6.0,3.0,5.2,11.6,0.37275034857670025
France,1854,Hands,6.0,6.0,3.0,4.0,11.0,0.3588648297329654
France,1854,Archive,5.2,5.2,3.8,5.0,9.100000000000001,0.3397030289839817
France,1854,Flow,6.0,7.0,3.0,5.0,12.5,0.3704917028414974
France,1855,Helm,7.0,7.2,4.0,6.2,13.299999999999999,0.3765217837274415
France,1855,Shield,7.0,7.2,3.0,5.0,13.7,0.3869350922376721
France,1855,Lore,6.2,6.2,2.8,6.0,12.600000000000001,0.38936166540781364
France,1855,Stewards,7.0,7.0,4.0,6.0,13.0,0.37458758214612037
France,1855,Craft,6.0,6.0,3.0,5.2,11.6,0.37275034857670025
France,1855,Hands,6.0,6.0,3.0,4.0,11.0,0.3588648297329654
France,1855,Archive,5.2,5.2,3.8,5.0,9.100000000000001,0.3397030289839817
France,1855,Flow,6.0,7.0,3.0,5.0,12.5,0.3704917028414974
France,1856,Helm,7.0,7.2,4.0,6.2,13.299999999999999,0.37891044208976016
France,1856,Shield,7.0,7.2,4.0,5.0,12.7,0.3669756278392718
France,1856,Lore,6.4,6.2,2.8,6.0,12.8,0.3950850719703833
France,1856,Stewards,7.0,7.0,4.0,6.0,13.0,0.37696189408220127
France,1856,Craft,6.0,6.0,3.0,6.0,12.0,0.38400412470105805
France,1856,Hands,6.0,6.0,3.0,4.0,11.0,0.3611235917671603
France,1856,Archive,6.0,5.2,3.8,5.0,9.899999999999999,0.3554176097665372
France,1856,Flow,6.0,7.0,3.0,6.0,13.0,0.38400412470105805
France,1857,Helm,7.0,7.2,4.0,6.2,13.299999999999999,0.39423210608677967
France,1857,Shield,7.0,7.2,4.0,5.0,12.7,0.3817365519547008
France,1857,Lore,7.2,6.2,2.8,6.0,13.600000000000001,0.42433083053406023
France,1857,Stewards,7.0,7.0,3.0,6.0,14.0,0.41617477196663205
France,1857,Craft,7.0,7.0,3.0,6.2,14.1,0.418311308220611
France,1857,Hands,7.0,6.0,3.0,4.0,12.0,0.3937858563309537
