Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Germany,1880,Helm,6.8,7.2,2.8,6.2,14.299999999999999,0.4229321813289261
Germany,1880,Shield,7.6,6.8,2.6,5.2,14.399999999999999,0.4301381057947338
Germany,1880,Lore,6.2,6.6,3.0,8.4,14.0,0.4317254985515575
Germany,1880,Stewards,7.0,7.0,3.2,5.0,13.3,0.4031907985454274
Germany,1880,Craft,6.8,8.0,3.0,7.0,15.3,0.42651975172162127
Germany,1880,Hands,4.8,6.2,4.6,4.2,8.5,0.3236075484912625
Germany,1880,Archive,7.0,6.8,3.4,5.2,13.0,0.40061602686024195
Germany,1880,Flow,7.2,6.8,3.2,5.8,13.700000000000001,0.4152009869860092
Germany,1881,Helm,6.4,6.6,3.2,6.2,12.9,0.3998384513144163
Germany,1881,Shield,7.2,6.6,3.4,5.2,13.0,0.39725552922413065
Germany,1881,Lore,6.4,6.8,2.6,8.0,14.6,0.43353024954657443
Germany,1881,Stewards,6.8,7.0,3.6,5.0,12.700000000000001,0.38399121618198845
Germany,1881,Craft,6.8,8.0,3.0,6.6,15.100000000000001,0.41529336264366384
Germany,1881,Hands,5.0,6.0,5.0,4.4,8.2,0.31668123161541173
Germany,1881,Archive,7.4,7.0,3.2,6.4,14.399999999999999,0.4176028242523451
Germany,1881,Flow,6.6,7.2,3.2,5.6,13.400000000000002,0.3965717284890287
Germany,1882,Helm,6.8,6.6,2.6,5.8,13.7,0.41855477627722726
Germany,1882,Shield,7.2,7.4,3.4,5.0,13.700000000000001,0.3970832742967217
Germany,1882,Lore,6.2,7.2,3.0,7.8,14.3,0.4205163448760722
Germany,1882,Stewards,6.6,6.6,2.6,5.4,13.3,0.41067564117287436
Germany,1882,Craft,7.0,8.0,3.4,6.8,15.0,0.41276921792576987
Germany,1882,Hands,4.8,6.0,5.0,3.6,7.6000000000000005,0.304675667158821
Germany,1882,Archive,6.6,6.8,2.8,6.2,13.699999999999998,0.41475468846386715
Germany,1882,Flow,7.4,6.8,3.4,5.8,13.7,0.4086785727281138
Germany,1883,Helm,7.0,7.4,3.2,6.0,14.2,0.414376316829332
Germany,1883,Shield,7.6,7.2,3.0,5.4,14.5,0.42253103139855547
Germany,1883,Lore,6.2,7.0,2.4,7.4,14.5,0.4365702991804283
Germany,1883,Stewards,6.8,7.4,2.8,4.6,13.7,0.4050315691279905
Germany,1883,Craft,6.8,7.8,3.0,7.0,15.1,0.42677313269838374
Germany,1883,Hands,5.0,5.8,4.6,4.2,8.3,0.3275689840810104
Germany,1883,Archive,7.2,6.8,3.0,6.2,14.1,0.4246605383125498
Germany,1883,Flow,6.4,6.6,3.2,5.6,12.600000000000001,0.40005215449575904
Germany,1884,Helm,7.2,7.4,2.8,5.8,14.700000000000001,0.41677378625157224
Germany,1884,Shield,7.2,7.8,3.2,4.8,14.200000000000001,0.3964412483457606
Germany,1884,Lore,6.2,7.0,3.0,8.0,14.2,0.4191715871587683
Germany,1884,Stewards,7.0,7.0,3.0,4.6,13.3,0.3956192114385071
Germany,1884,Craft,6.4,8.0,3.2,7.6,15.0,0.4132702745692282
Germany,1884,Hands,4.6,6.0,5.0,4.0,7.6,0.3035774313766485
Germany,1884,Archive,6.8,6.6,3.2,6.2,13.299999999999999,0.4049942142213216
Germany,1884,Flow,6.8,7.2,3.6,6.0,13.4,0.3934458745930391
Germany,1885,Helm,7.0,7.2,3.0,6.2,14.299999999999999,0.4215610192472976
Germany,1885,Shield,7.0,7.2,3.0,5.2,13.799999999999999,0.4106005225425177
Germany,1885,Lore,6.0,7.0,3.0,8.0,14.0,0.4247626208648357
Germany,1885,Stewards,6.6,7.0,3.0,5.2,13.2,0.4037982140586022
Germany,1885,Craft,6.8,7.8,2.8,7.2,15.4,0.4340321141702356
Germany,1885,Hands,4.8,6.2,4.8,4.4,8.4,0.32237438943368907
Germany,1885,Archive,6.8,6.8,2.8,6.0,13.8,0.42108220857520917
Germany,1885,Flow,7.2,7.2,3.0,5.8,14.3,0.4204851834642624
Germany,1886,Helm,6.8,7.0,3.0,6.0,13.8,0.4092763854537503
Germany,1886,Shield,7.2,6.8,2.8,5.2,13.799999999999999,0.41194733321707055
Germany,1886,Lore,6.6,7.0,3.4,8.0,14.2,0.4170511326536905
Germany,1886,Stewards,6.8,6.6,3.4,4.8,12.399999999999999,0.38671910095168033
Germany,1886,Craft,7.2,8.2,3.4,6.6,15.299999999999997,0.41207049187536426
Germany,1886,Hands,5.0,5.8,5.4,4.4,7.6000000000000005,0.30917673797692735
Germany,1886,Archive,6.4,7.4,3.0,6.4,14.0,0.4071179734166743
Germany,1886,Flow,6.8,7.2,2.8,5.8,14.1,0.41194733321707055
Germany,1887,Helm,6.8,6.8,2.8,5.8,13.700000000000001,0.4153343446229463
Germany,1887,Shield,7.2,7.2,3.2,5.0,13.7,0.4034488708421168
Germany,1887,Lore,6.2,7.0,3.2,8.2,14.1,0.42140251411647994
Germany,1887,Stewards,6.8,7.2,2.6,5.2,14.0,0.4134834075953756
Germany,1887,Craft,6.8,8.0,3.0,6.8,15.200000000000001,0.4211772093380922
