Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Iran,1875,Helm,3.8,4.4,5.0,4.0,5.199999999999999,0.2145613835604724
Iran,1875,Shield,3.0,3.4,4.8,2.8,3.0000000000000004,0.19166753105345255
Iran,1875,Lore,5.8,4.4,3.6,6.2,9.7,0.27918294292633006
Iran,1875,Stewards,4.0,3.8,5.4,4.2,4.5,0.2140769633956448
Iran,1875,Craft,4.6,3.2,4.4,4.0,5.3999999999999995,0.23388717079827898
Iran,1875,Hands,5.2,4.8,4.4,3.4,7.3,0.23661504985903475
Iran,1875,Archive,5.0,4.0,3.8,5.2,7.800000000000001,0.25841233378450096
Iran,1875,Flow,4.2,4.0,5.0,4.0,5.199999999999999,0.2202277385530039
Iran,1876,Helm,3.8,4.4,5.2,3.2,4.6,0.20210490393571878
Iran,1876,Shield,3.2,3.6,4.4,3.4,4.1000000000000005,0.20468903732412594
Iran,1876,Lore,5.8,5.6,4.2,6.0,10.2,0.2655255176024597
Iran,1876,Stewards,4.0,4.0,5.0,4.2,5.1,0.21708758242318246
Iran,1876,Craft,5.6,4.2,4.0,4.2,7.9,0.25195892365072725
Iran,1876,Hands,5.2,4.2,4.6,2.2,5.9,0.22045822575751212
Iran,1876,Archive,5.0,3.8,4.4,5.2,7.0,0.24698835135180178
Iran,1876,Flow,3.8,4.0,5.2,3.8,4.5,0.20795902461014482
Iran,1877,Helm,3.8,3.6,5.2,4.0,4.2,0.2102161428138245
Iran,1877,Shield,3.2,3.6,5.0,2.0,2.8000000000000007,0.1819223711204438
Iran,1877,Lore,6.2,4.8,4.4,6.4,9.8,0.27019353517034567
Iran,1877,Stewards,3.8,3.0,5.4,3.6,3.1999999999999993,0.2038956474093388
Iran,1877,Craft,5.2,3.6,3.4,4.4,7.6000000000000005,0.2578178416996598
Iran,1877,Hands,5.0,4.4,3.8,3.2,7.200000000000001,0.23837789139058924
Iran,1877,Archive,4.6,4.2,3.8,4.6,7.300000000000001,0.2457545650688903
Iran,1877,Flow,4.0,4.0,5.4,4.2,4.699999999999999,0.21228932477731657
Iran,1878,Helm,4.2,4.0,5.2,4.0,4.999999999999999,0.21191973799506364
Iran,1878,Shield,3.0,2.8,5.8,2.4,1.2,0.17121431754461408
Iran,1878,Lore,6.4,5.4,4.4,5.6,10.2,0.26167723901639334
Iran,1878,Stewards,3.6,3.8,5.4,4.2,4.1,0.2030798342453893
Iran,1878,Craft,5.0,3.8,4.2,3.8,6.5,0.2339609251507331
Iran,1878,Hands,4.8,3.6,4.0,3.2,6.0,0.2285402484666458
Iran,1878,Archive,4.8,4.0,4.6,5.2,6.800000000000001,0.23768760641445488
Iran,1878,Flow,3.6,4.2,4.2,4.0,5.6000000000000005,0.21628020116820457
Iran,1879,Helm,4.0,4.0,4.8,4.4,5.4,0.22113352921479665
Iran,1879,Shield,2.4,2.4,5.4,2.6,0.6999999999999995,0.16965229090631842
