Society,Year,Node,C_sd,K_sd,S_sd,A_sd
Iran,1875,Archive,1.581,1.414,1.095,1.304
Iran,1875,Craft,1.14,0.837,0.548,1.414
Iran,1875,Flow,0.837,0.707,1.225,1.0
Iran,1875,Hands,1.304,0.837,0.894,0.548
Iran,1875,Helm,0.837,1.14,1.581,1.0
Iran,1875,Lore,1.483,1.14,0.548,1.483
Iran,1875,Shield,1.225,0.894,1.304,1.304
Iran,1875,Stewards,1.414,1.304,1.517,0.837
Iran,1876,Archive,1.225,1.483,0.894,0.837
Iran,1876,Craft,1.14,1.304,0.707,0.837
Iran,1876,Flow,1.304,0.707,0.837,1.095
Iran,1876,Hands,1.304,0.447,0.548,0.447
Iran,1876,Helm,1.643,1.14,0.837,1.095
Iran,1876,Lore,1.095,1.14,1.304,0.707
Iran,1876,Shield,0.837,1.517,0.894,0.894
Iran,1876,Stewards,1.0,1.0,0.707,0.837
Iran,1877,Archive,0.894,0.837,0.837,0.894
Iran,1877,Craft,0.837,0.894,0.548,0.548
Iran,1877,Flow,1.0,1.0,0.894,0.837
Iran,1877,Hands,0.707,1.14,0.447,1.643
Iran,1877,Helm,0.447,1.342,0.837,0.707
Iran,1877,Lore,0.447,0.837,0.548,1.14
Iran,1877,Shield,1.304,0.894,1.581,0.707
Iran,1877,Stewards,0.837,0.707,1.14,1.342
Iran,1878,Archive,0.447,1.0,1.14,1.304
Iran,1878,Craft,1.225,0.447,1.095,1.304
Iran,1878,Flow,1.342,1.095,0.837,1.0
Iran,1878,Hands,0.447,1.14,0.707,1.095
Iran,1878,Helm,1.304,1.225,0.447,1.414
Iran,1878,Lore,0.548,0.548,1.517,0.548
Iran,1878,Shield,1.414,1.304,0.837,0.894
Iran,1878,Stewards,1.14,1.095,1.342,1.304
Iran,1879,Archive,0.707,0.447,0.447,1.225
Iran,1879,Craft,0.707,0.837,1.304,1.0
Iran,1879,Flow,1.0,0.0,0.548,1.0
Iran,1879,Hands,0.837,1.304,1.304,0.707
Iran,1879,Helm,0.707,1.225,0.837,1.517
Iran,1879,Lore,1.483,1.304,0.837,1.095
Iran,1879,Shield,1.14,0.894,0.894,0.548
Iran,1879,Stewards,1.14,1.225,1.225,0.447
Iran,1880,Archive,0.447,1.14,0.707,0.707
Iran,1880,Craft,0.837,1.14,0.894,0.837
Iran,1880,Flow,1.304,0.837,0.837,1.14
Iran,1880,Hands,0.894,1.14,1.14,1.095
Iran,1880,Helm,0.837,0.548,0.707,1.14
Iran,1880,Lore,1.095,1.095,0.837,1.095
Iran,1880,Shield,0.548,1.342,1.095,1.304
Iran,1880,Stewards,0.837,1.304,0.707,1.225
Iran,1881,Archive,0.837,1.0,0.447,0.894
Iran,1881,Craft,1.643,0.894,0.894,0.447
Iran,1881,Flow,0.894,0.894,1.483,1.304
Iran,1881,Hands,1.304,1.095,1.517,1.517
Iran,1881,Helm,0.837,0.707,1.342,1.225
Iran,1881,Lore,1.095,1.304,0.837,1.14
Iran,1881,Shield,1.304,0.837,0.707,1.0
Iran,1881,Stewards,0.837,0.894,1.304,1.342
Iran,1882,Archive,1.0,1.414,0.837,0.0
Iran,1882,Craft,1.581,1.483,0.707,0.837
Iran,1882,Flow,0.894,0.447,0.447,1.0
Iran,1882,Hands,1.14,0.548,1.14,1.14
Iran,1882,Helm,1.14,1.342,1.225,1.14
Iran,1882,Lore,0.837,1.342,1.225,0.837
Iran,1882,Shield,1.225,1.304,1.225,1.643
Iran,1882,Stewards,1.14,1.225,1.304,1.414
Iran,1883,Archive,0.707,0.837,1.0,1.225
Iran,1883,Craft,0.707,1.14,0.548,0.707
Iran,1883,Flow,0.548,0.837,1.304,1.095
Iran,1883,Hands,0.548,1.304,1.581,0.447
Iran,1883,Helm,1.643,1.342,1.342,0.707
Iran,1883,Lore,1.095,0.447,1.14,1.095
Iran,1883,Shield,1.095,0.894,1.095,1.225
Iran,1883,Stewards,0.447,1.304,1.14,1.342
Iran,1884,Archive,0.707,0.837,1.095,1.483
Iran,1884,Craft,0.447,0.894,1.643,1.14
Iran,1884,Flow,0.894,1.414,0.548,0.837
Iran,1884,Hands,1.0,1.14,1.225,1.095
Iran,1884,Helm,1.414,1.304,0.837,0.707
Iran,1884,Lore,1.095,1.14,0.894,0.894
Iran,1884,Shield,1.342,1.304,0.894,0.707
Iran,1884,Stewards,0.548,1.643,1.304,0.894
Iran,1885,Archive,1.14,1.304,1.225,1.14
Iran,1885,Craft,0.707,0.894,1.14,1.342
Iran,1885,Flow,0.548,0.894,0.894,0.837
Iran,1885,Hands,0.707,1.0,0.894,0.894
Iran,1885,Helm,1.304,1.342,0.837,0.707
Iran,1885,Lore,0.707,0.707,1.483,0.707
Iran,1885,Shield,0.837,0.447,1.225,1.342
Iran,1885,Stewards,1.517,1.517,1.14,1.095
Iran,1886,Archive,0.894,1.414,0.447,1.483
Iran,1886,Craft,0.837,0.894,0.707,1.0
Iran,1886,Flow,1.517,0.894,1.304,1.0
Iran,1886,Hands,0.837,0.447,1.342,0.894
Iran,1886,Helm,1.483,0.548,1.483,0.837
Iran,1886,Lore,0.548,1.342,1.14,0.894
Iran,1886,Shield,1.14,0.548,0.548,1.517
Iran,1886,Stewards,1.342,0.447,1.483,1.0
Iran,1887,Archive,0.837,0.894,0.837,0.894
Iran,1887,Craft,0.837,1.414,0.894,1.342
Iran,1887,Flow,1.643,1.342,1.14,1.0
Iran,1887,Hands,1.304,0.447,0.548,1.225
Iran,1887,Helm,1.225,1.304,1.414,0.837
Iran,1887,Lore,1.517,0.837,1.304,0.837
Iran,1887,Shield,1.342,1.14,0.837,1.581
Iran,1887,Stewards,1.304,1.14,1.304,0.837
Iran,1888,Archive,1.14,1.0,1.414,0.837
Iran,1888,Craft,1.304,1.517,0.548,0.447
Iran,1888,Flow,1.225,1.225,0.837,0.894
Iran,1888,Hands,1.095,1.581,1.095,0.707
Iran,1888,Helm,1.095,1.0,0.894,0.548
Iran,1888,Lore,1.225,1.304,0.707,1.14
Iran,1888,Shield,1.0,1.304,1.304,1.225
Iran,1888,Stewards,0.548,1.304,0.894,0.548
Iran,1889,Archive,0.447,1.095,0.447,0.837
Iran,1889,Craft,1.483,0.894,1.0,0.447
Iran,1889,Flow,1.095,0.707,0.837,1.304
Iran,1889,Hands,1.517,1.342,0.707,0.447
Iran,1889,Helm,0.837,1.342,1.581,0.548
Iran,1889,Lore,0.548,1.14,1.14,0.894
Iran,1889,Shield,1.225,1.414,1.095,1.14
Iran,1889,Stewards,1.14,1.643,1.517,0.548
Iran,1890,Archive,1.304,0.837,1.095,1.304
Iran,1890,Craft,0.548,0.837,0.837,0.707
Iran,1890,Flow,0.894,1.14,0.894,1.643
Iran,1890,Hands,0.837,1.095,1.643,1.414
Iran,1890,Helm,1.414,1.304,1.483,0.837
Iran,1890,Lore,0.548,0.707,1.225,1.0
Iran,1890,Shield,1.225,0.837,1.581,0.837
Iran,1890,Stewards,1.414,0.894,0.548,1.304
Iran,1891,Archive,0.837,1.14,1.14,0.548
Iran,1891,Craft,1.304,1.643,1.14,0.894
Iran,1891,Flow,0.894,1.949,1.817,2.168
Iran,1891,Hands,1.14,0.837,0.707,1.342
Iran,1891,Helm,1.643,1.14,0.894,1.517
Iran,1891,Lore,1.225,1.14,0.837,1.14
Iran,1891,Shield,1.342,1.304,0.894,1.095
Iran,1891,Stewards,0.447,0.548,0.894,1.14
Iran,1892,Archive,1.225,1.304,1.342,1.14
Iran,1892,Craft,0.548,1.517,0.707,1.581
Iran,1892,Flow,1.342,0.548,1.517,0.707
Iran,1892,Hands,1.304,1.0,0.707,1.14
Iran,1892,Helm,1.14,1.225,0.837,0.0
Iran,1892,Lore,0.894,1.414,0.894,0.707
