Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Latium Vetus,460,Helm,4.0,3.6,8.2,5.0,1.9000000000000004,0.1666808480679211
Latium Vetus,460,Shield,3.4,1.4,8.4,4.0,-1.6000000000000005,0.15137959340861723
Latium Vetus,460,Lore,5.2,3.6,4.8,6.8,7.4,0.22958440823679158
Latium Vetus,460,Stewards,5.2,5.2,5.0,5.2,8.0,0.21642583973488774
Latium Vetus,460,Craft,4.0,2.6,6.4,3.6,1.9999999999999993,0.17515956841890054
Latium Vetus,460,Hands,2.8,3.4,7.0,3.0,0.6999999999999993,0.14868958994370018
Latium Vetus,460,Archive,5.6,5.4,4.2,8.6,11.1,0.25223201041496507
Latium Vetus,460,Flow,3.2,3.2,6.8,3.8,1.5000000000000004,0.16290359995305823
Latium Vetus,480,Helm,3.8,4.2,4.6,5.2,6.0,0.23221249833729915
Latium Vetus,480,Shield,4.0,4.4,5.2,3.0,4.7,0.2060925279685794
Latium Vetus,480,Lore,5.0,4.0,4.2,5.8,7.699999999999999,0.258645601487186
Latium Vetus,480,Stewards,5.0,5.4,4.2,5.2,8.8,0.2536907876674415
Latium Vetus,480,Craft,4.4,3.0,5.0,4.8,4.800000000000001,0.2311579948479114
Latium Vetus,480,Hands,3.0,3.4,5.0,3.0,2.9000000000000004,0.19248423787683824
Latium Vetus,480,Archive,5.6,5.2,3.8,6.6,10.3,0.2781433163769567
Latium Vetus,480,Flow,4.2,3.2,5.2,3.2,3.8000000000000003,0.211035800409211
Latium Vetus,500,Helm,5.6,5.0,4.2,6.2,9.5,0.31900178461450807
Latium Vetus,500,Shield,5.6,5.0,4.0,5.0,9.1,0.3111722264856182
Latium Vetus,500,Lore,5.8,5.0,4.4,7.0,9.9,0.3251640250690567
Latium Vetus,500,Stewards,6.0,5.2,3.2,6.2,11.1,0.34408290160323574
Latium Vetus,500,Craft,5.4,4.4,4.2,5.0,8.100000000000001,0.30450000202291033
Latium Vetus,500,Hands,3.6,3.8,5.0,4.2,4.5,0.25304582040840545
Latium Vetus,500,Archive,6.6,5.6,3.8,7.0,11.899999999999999,0.3473874067015187
