Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Norway,1880,Helm,5.0,5.0,4.8,5.0,7.7,0.2786767619443821
Norway,1880,Shield,3.8,4.0,4.2,4.0,5.6,0.25866790310441345
Norway,1880,Lore,6.2,6.2,2.8,6.0,12.600000000000001,0.341519118707408
Norway,1880,Stewards,5.2,5.2,4.0,5.0,8.9,0.29534560483756406
Norway,1880,Craft,5.0,5.2,3.8,5.0,8.899999999999999,0.2958538028792141
Norway,1880,Hands,4.8,5.0,5.2,4.0,6.6000000000000005,0.2592557528791238
Norway,1880,Archive,6.2,6.2,3.0,5.0,11.9,0.32825584211415965
Norway,1880,Flow,6.0,6.2,4.0,5.2,10.799999999999999,0.30872128871559784
Norway,1881,Helm,5.0,5.0,4.8,5.0,7.7,0.2786767619443821
Norway,1881,Shield,3.8,4.0,4.2,4.0,5.6,0.25866790310441345
Norway,1881,Lore,6.2,6.2,2.8,6.0,12.600000000000001,0.341519118707408
Norway,1881,Stewards,5.2,5.2,4.0,5.0,8.9,0.29534560483756406
Norway,1881,Craft,5.0,5.2,3.8,5.0,8.899999999999999,0.2958538028792141
Norway,1881,Hands,4.8,5.0,5.2,4.0,6.6000000000000005,0.2592557528791238
Norway,1881,Archive,6.2,6.2,3.0,5.0,11.9,0.32825584211415965
Norway,1881,Flow,6.0,6.2,4.0,5.2,10.799999999999999,0.30872128871559784
Norway,1882,Helm,5.0,5.0,4.8,5.0,7.7,0.2786767619443821
Norway,1882,Shield,3.8,4.0,4.2,4.0,5.6,0.25866790310441345
Norway,1882,Lore,6.2,6.2,2.8,6.0,12.600000000000001,0.341519118707408
Norway,1882,Stewards,5.2,5.2,4.0,5.0,8.9,0.29534560483756406
Norway,1882,Craft,5.0,5.2,3.8,5.0,8.899999999999999,0.2958538028792141
Norway,1882,Hands,4.8,5.0,5.2,4.0,6.6000000000000005,0.2592557528791238
Norway,1882,Archive,6.2,6.2,3.0,5.0,11.9,0.32825584211415965
Norway,1882,Flow,6.0,6.2,4.0,5.2,10.799999999999999,0.30872128871559784
Norway,1883,Helm,5.0,5.0,4.8,5.0,7.7,0.2786767619443821
