Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Russia,1800,Helm,6.2,6.4,3.8,5.4,11.5,0.2906502996802799
Russia,1800,Shield,6.8,7.2,4.0,4.2,12.1,0.2848650990413547
Russia,1800,Lore,5.4,4.2,4.4,4.6,7.500000000000001,0.26394364181696817
Russia,1800,Stewards,5.4,5.8,3.8,4.0,9.399999999999999,0.2678700204878853
Russia,1800,Craft,4.0,4.0,4.8,4.4,5.4,0.23647764060835122
Russia,1800,Hands,3.6,4.2,6.2,2.6,2.9000000000000004,0.1931853940387927
Russia,1800,Archive,5.0,5.2,3.6,4.2,8.7,0.26720193206438125
Russia,1800,Flow,4.4,5.0,5.2,4.0,6.2,0.2327533504394562
Russia,1801,Helm,5.8,5.4,4.2,4.8,9.399999999999999,0.27320923934174524
Russia,1801,Shield,7.2,6.6,4.2,5.2,12.200000000000001,0.2932728495363997
Russia,1801,Lore,5.2,3.8,4.0,5.2,7.6,0.2720588132653493
Russia,1801,Stewards,5.8,5.6,4.2,4.0,9.2,0.2662479331998534
Russia,1801,Craft,4.0,3.8,4.8,4.0,5.0,0.23176737847358422
Russia,1801,Hands,4.2,4.2,5.6,3.2,4.4,0.2158233365690372
Russia,1801,Archive,5.2,5.2,4.4,3.8,7.9,0.2531483627883852
Russia,1801,Flow,4.2,4.4,5.6,3.8,4.900000000000002,0.22173365989386554
Russia,1802,Helm,6.0,6.0,4.0,4.4,10.2,0.27420677910828456
Russia,1802,Shield,7.2,6.4,3.8,5.0,12.3,0.2970164731746521
Russia,1802,Lore,4.8,4.0,3.8,4.6,7.300000000000001,0.2629374816271844
Russia,1802,Stewards,6.2,6.0,3.6,4.2,10.7,0.2815160662596946
Russia,1802,Craft,4.0,3.8,5.2,4.0,4.6,0.22514222544319815
Russia,1802,Hands,4.2,4.2,6.2,2.8,3.6,0.203108781441775
Russia,1802,Archive,4.6,5.2,4.6,4.0,7.200000000000001,0.24236447879979492
Russia,1802,Flow,4.2,4.8,5.2,3.4,5.5,0.22215305429236337
Russia,1803,Helm,6.4,6.4,4.0,5.0,11.3,0.28412580860019315
Russia,1803,Shield,7.0,6.6,4.0,5.4,12.3,0.2943267632597096
Russia,1803,Lore,4.6,3.8,4.2,5.0,6.699999999999998,0.2576573495614203
Russia,1803,Stewards,6.0,5.6,4.4,4.0,9.2,0.26438877939972266
Russia,1803,Craft,4.2,4.2,5.6,4.0,4.800000000000001,0.22253574149151126
Russia,1803,Hands,4.0,3.8,6.6,3.0,2.7,0.19710750146863928
Russia,1803,Archive,5.0,5.0,4.2,4.2,7.9,0.2558008592850621
Russia,1803,Flow,4.4,4.8,5.0,3.8,6.1,0.2317615096579735
Russia,1804,Helm,6.2,6.0,4.2,4.6,10.299999999999999,0.27449549013124785
Russia,1804,Shield,7.0,6.6,4.4,5.0,11.7,0.283957549520308
Russia,1804,Lore,5.0,3.4,4.2,5.0,6.7,0.26248046810555187
Russia,1804,Stewards,5.8,6.4,4.0,4.4,10.399999999999999,0.27088282755305493
Russia,1804,Craft,4.2,4.4,5.0,3.4,5.300000000000002,0.22428926829889914
Russia,1804,Hands,4.0,4.2,6.0,3.0,3.6999999999999993,0.20409921046130175
Russia,1804,Archive,4.8,5.2,4.0,4.0,8.0,0.2534653091529776
Russia,1804,Flow,4.2,5.2,4.8,3.4,6.300000000000001,0.22702795219369357
Russia,1805,Helm,6.0,5.8,4.8,4.8,9.4,0.2587464331814561
Russia,1805,Shield,7.0,6.6,6.4,5.0,9.7,0.2474128759830523
Russia,1805,Lore,5.0,3.8,4.2,4.8,7.0,0.25528435335292565
Russia,1805,Stewards,6.6,5.8,4.2,4.2,10.299999999999999,0.27035507652997
Russia,1805,Craft,4.0,4.0,5.0,3.8,4.9,0.22073428874846485
Russia,1805,Hands,4.2,4.2,6.0,3.6,4.2,0.20863421560093703
Russia,1805,Archive,5.0,5.0,4.4,3.4,7.3,0.23961840166463563
Russia,1805,Flow,4.2,5.0,4.8,4.2,6.5,0.23021510411397636
Russia,1806,Helm,5.2,5.6,6.2,5.4,7.300000000000001,0.22698624653673763
Russia,1806,Shield,6.0,5.8,7.2,4.8,7.0,0.21794681151892645
Russia,1806,Lore,5.0,4.0,4.0,4.6,7.3,0.24902256490421135
Russia,1806,Stewards,6.2,5.6,4.2,3.6,9.4,0.2528424859853976
Russia,1806,Craft,4.0,4.0,5.0,4.2,5.1,0.2182022897390626
Russia,1806,Hands,4.2,4.2,5.8,2.6,3.9000000000000004,0.1958235540452177
Russia,1806,Archive,5.2,5.2,3.4,4.4,9.2,0.2587240368946935
Russia,1806,Flow,4.0,5.0,5.0,3.8,5.9,0.21444673814181453
Russia,1807,Helm,4.6,6.2,5.0,5.0,8.3,0.2397418558564069
Russia,1807,Shield,6.0,5.6,4.8,5.0,9.3,0.2599349526898798
Russia,1807,Lore,4.8,4.4,4.0,5.0,7.699999999999999,0.25702407930640325
Russia,1807,Stewards,6.4,5.6,3.8,4.4,10.399999999999999,0.2754278824565232
Russia,1807,Craft,4.2,4.4,5.4,4.4,5.400000000000001,0.2235526864095327
Russia,1807,Hands,4.0,4.6,6.6,2.6,3.3,0.18859876708297843
Russia,1807,Archive,4.8,4.6,3.6,4.2,7.899999999999999,0.25568456553094004
Russia,1807,Flow,4.0,5.0,5.0,4.2,6.1,0.22429285515804492
Russia,1808,Helm,6.2,6.4,4.0,5.0,11.100000000000001,0.2852479392080765
Russia,1808,Shield,7.4,7.4,4.2,4.8,13.000000000000002,0.29469232220554664
Russia,1808,Lore,5.0,4.0,4.6,4.8,6.800000000000001,0.25838014142403803
Russia,1808,Stewards,6.0,6.0,3.6,4.0,10.4,0.28052724344196084
Russia,1808,Craft,4.6,3.4,5.0,4.0,5.0,0.23945000013211556
Russia,1808,Hands,4.0,4.2,6.6,3.6,3.3999999999999995,0.20531443151882192
Russia,1808,Archive,4.8,4.6,3.8,4.4,7.799999999999999,0.26421668346504135
Russia,1808,Flow,4.0,4.2,5.6,4.2,4.699999999999999,0.22428001123886984
