Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Sweden,1850,Helm,4.8,4.8,5.0,4.8,7.0,0.24828970014688512
Sweden,1850,Shield,5.8,4.0,3.2,3.2,8.200000000000001,0.2751520076486061
Sweden,1850,Lore,7.2,5.0,3.8,6.0,11.399999999999999,0.3066596967610514
Sweden,1850,Stewards,5.8,5.0,5.0,4.0,7.800000000000001,0.25441467321120276
Sweden,1850,Craft,4.2,4.0,5.0,4.0,5.199999999999999,0.23236704030414387
Sweden,1850,Hands,3.6,4.0,6.6,3.0,2.5,0.1923757507901172
Sweden,1850,Archive,6.0,5.0,4.0,5.0,9.5,0.28117483017784023
Sweden,1850,Flow,4.8,4.0,5.0,4.0,5.800000000000001,0.24099378598356097
Sweden,1860,Helm,5.0,5.0,5.0,5.0,7.5,0.26757296062258357
Sweden,1860,Shield,5.8,4.0,3.0,3.2,8.4,0.295058220687553
Sweden,1860,Lore,7.2,5.2,3.2,6.0,12.2,0.3367220397725791
Sweden,1860,Stewards,5.8,5.0,4.0,4.0,8.8,0.28596400424096446
Sweden,1860,Craft,5.0,5.0,4.0,4.2,8.1,0.2760821329981267
Sweden,1860,Hands,3.8,4.0,6.0,3.0,3.3,0.21443873670672248
Sweden,1860,Archive,6.0,5.0,4.0,5.0,9.5,0.298058177868359
Sweden,1860,Flow,5.0,5.0,4.0,4.0,8.0,0.27403907029055713
Sweden,1870,Helm,6.0,5.0,4.2,5.0,9.3,0.3082961090542992
Sweden,1870,Shield,5.6,4.0,3.0,3.4,8.299999999999999,0.30768995355564804
Sweden,1870,Lore,7.0,6.0,3.2,6.0,12.8,0.35021047766901997
Sweden,1870,Stewards,6.0,6.0,4.0,4.0,10.0,0.302229698510533
Sweden,1870,Craft,5.6,5.0,4.0,4.6,8.899999999999999,0.302229698510533
Sweden,1870,Hands,4.0,5.0,6.0,3.0,4.5,0.2274367589823607
Sweden,1870,Archive,6.2,5.2,3.2,5.0,10.7,0.3299175937570812
Sweden,1870,Flow,6.0,5.0,4.0,4.4,9.2,0.30618278718589853
Sweden,1880,Helm,5.2,5.0,5.0,5.0,7.699999999999999,0.2779523118785451
Sweden,1880,Shield,5.6,4.0,3.2,3.4,8.1,0.2988473660604824
Sweden,1880,Lore,7.0,6.0,3.2,6.0,12.8,0.3440490016650992
Sweden,1880,Stewards,6.0,6.0,4.0,4.6,10.3,0.3028377334227251
Sweden,1880,Craft,6.0,6.0,4.0,5.0,10.5,0.30659780027226696
Sweden,1880,Hands,3.6,4.4,6.8,3.0,2.7,0.20620690415834667
Sweden,1880,Archive,6.2,6.0,3.6,5.0,11.1,0.3167114953544014
Sweden,1880,Flow,6.0,5.8,4.0,5.0,10.3,0.30659780027226696
Sweden,1890,Helm,5.0,5.0,5.8,5.0,6.7,0.26154606519746443
Sweden,1890,Shield,5.4,5.0,4.6,4.0,7.800000000000001,0.2772812831166754
Sweden,1890,Lore,7.0,6.0,3.2,6.0,12.8,0.3433079062279934
Sweden,1890,Stewards,6.0,6.0,4.0,4.6,10.3,0.302201202917418
Sweden,1890,Craft,6.0,6.0,4.0,5.0,10.5,0.3059519768592659
Sweden,1890,Hands,5.0,5.0,6.0,4.0,6.0,0.24904644029282408
Sweden,1890,Archive,6.2,6.0,4.0,5.0,10.7,0.3087177496776368
Sweden,1890,Flow,6.0,6.0,4.0,5.0,10.5,0.3059519768592659
Sweden,1900,Helm,5.0,5.0,6.0,5.2,6.6,0.25792230705508873
Sweden,1900,Shield,5.2,5.0,5.4,4.0,6.799999999999999,0.2590191290220479
Sweden,1900,Lore,7.0,6.0,3.2,6.0,12.8,0.34017166802642784
Sweden,1900,Stewards,6.0,7.0,4.0,5.0,11.5,0.3032189198764443
Sweden,1900,Craft,6.0,6.0,4.0,5.0,10.5,0.3032189198764442
Sweden,1900,Hands,4.6,5.0,6.0,4.0,5.6,0.2410993561200859
Sweden,1900,Archive,6.0,6.0,4.0,5.6,10.8,0.308653376873916
Sweden,1900,Flow,6.0,6.0,4.0,5.0,10.5,0.3032189198764442
Sweden,1910,Helm,6.0,6.0,4.8,6.0,10.2,0.3383650621086884
Sweden,1910,Shield,5.6,5.0,4.0,4.0,8.6,0.32683618577689405
Sweden,1910,Lore,7.0,6.8,3.2,7.0,14.100000000000001,0.3973447831070805
Sweden,1910,Stewards,6.4,7.0,3.2,5.0,12.7,0.3680080931024666
Sweden,1910,Craft,7.0,6.0,3.2,6.0,12.8,0.38763158431313666
Sweden,1910,Hands,5.8,5.0,4.8,5.0,8.5,0.32523641719616275
Sweden,1910,Archive,7.0,6.2,3.2,6.0,13.0,0.38763158431313666
Sweden,1910,Flow,6.4,6.0,3.2,5.2,11.799999999999999,0.37015218251630616
Sweden,1920,Helm,6.0,6.0,5.0,6.0,10.0,0.3053842427681229
Sweden,1920,Shield,5.0,5.0,4.0,4.0,8.0,0.2890605339583833
Sweden,1920,Lore,7.0,7.0,4.0,7.0,13.5,0.3457059038435889
Sweden,1920,Stewards,6.0,6.0,5.0,5.0,9.5,0.2964331411807177
Sweden,1920,Craft,6.0,6.0,5.0,6.0,10.0,0.3053842427681229
Sweden,1920,Hands,6.0,5.0,5.2,5.0,8.3,0.29289516881136396
Sweden,1920,Archive,7.0,6.0,4.0,6.0,12.0,0.3373001664073993
Sweden,1920,Flow,6.0,6.0,5.0,5.6,9.8,0.30185250690574167
Sweden,1930,Helm,7.0,6.0,5.0,6.0,11.0,0.300571138961521
Sweden,1930,Shield,5.0,5.0,4.0,4.0,8.0,0.2733800554502435
Sweden,1930,Lore,7.0,7.0,4.0,7.0,13.5,0.3263626551409624
Sweden,1930,Stewards,5.0,5.0,6.0,5.0,6.5,0.2512877856167984
Sweden,1930,Craft,5.2,5.0,6.0,5.0,6.699999999999999,0.25391005504260394
Sweden,1930,Hands,6.0,5.0,6.0,5.0,7.5,0.2640196912566304
Sweden,1930,Archive,7.0,6.0,4.0,6.0,12.0,0.31851771112726024
Sweden,1930,Flow,5.0,5.0,6.0,5.0,6.5,0.2512877856167984
Sweden,1940,Helm,7.0,6.0,6.0,6.0,10.0,0.2894951106838538
Sweden,1940,Shield,6.0,6.0,7.0,5.0,7.5,0.25376324973944425
Sweden,1940,Lore,7.0,7.0,5.0,7.0,12.5,0.3148362363642376
Sweden,1940,Stewards,6.0,6.0,5.0,5.0,9.5,0.2863194500662464
Sweden,1940,Craft,7.0,6.0,5.0,6.0,11.0,0.30711616105169665
Sweden,1940,Hands,7.0,6.0,5.0,5.0,10.5,0.29907040489656633
Sweden,1940,Archive,7.0,7.0,5.0,6.0,12.0,0.30711616105169665
Sweden,1940,Flow,6.0,5.2,6.0,5.0,7.699999999999999,0.2696447901601107
Sweden,1950,Helm,8.0,7.0,3.2,7.0,15.3,0.4653264124089482
Sweden,1950,Shield,6.4,6.0,4.0,5.0,10.9,0.39576247880713306
Sweden,1950,Lore,8.0,7.0,3.0,7.0,15.5,0.47083596976934267
Sweden,1950,Stewards,7.0,7.0,3.0,6.0,14.0,0.4433142453777039
Sweden,1950,Craft,7.0,7.0,3.0,6.0,14.0,0.4433142453777039
Sweden,1950,Hands,8.0,7.0,3.0,6.0,15.0,0.4601376143347188
Sweden,1950,Archive,8.0,7.0,3.0,7.0,15.5,0.47083596976934267
Sweden,1950,Flow,7.0,7.0,3.0,6.0,14.0,0.4433142453777039
Sweden,1960,Helm,8.0,8.0,3.0,7.0,16.5,0.49154465347508863
Sweden,1960,Shield,7.0,7.0,3.0,5.0,13.5,0.45023038094033474
Sweden,1960,Lore,8.0,8.0,3.0,8.0,17.0,0.5024049914624853
Sweden,1960,Stewards,7.4,8.0,3.0,6.4,15.600000000000001,0.4745121059150684
Sweden,1960,Craft,8.0,8.0,3.0,7.0,16.5,0.4915446534750886
Sweden,1960,Hands,8.0,8.0,3.0,6.0,16.0,0.4802939669376803
Sweden,1960,Archive,8.0,8.0,3.0,7.0,16.5,0.49154465347508863
Sweden,1960,Flow,8.0,7.8,3.0,7.0,16.3,0.49154465347508863
Sweden,1970,Helm,7.0,7.0,5.0,7.0,12.5,0.3533494356187089
Sweden,1970,Shield,7.0,7.0,4.0,5.0,12.5,0.3559762226962654
Sweden,1970,Lore,6.2,7.8,4.8,8.0,13.2,0.3558180420619376
Sweden,1970,Stewards,5.2,7.0,5.0,6.0,10.2,0.3187519566815861
Sweden,1970,Craft,7.0,7.0,5.0,7.0,12.5,0.3533494356187089
Sweden,1970,Hands,8.0,7.0,4.0,6.4,14.2,0.3828874111159348
Sweden,1970,Archive,7.0,7.6,4.0,7.0,14.1,0.3748643034752716
Sweden,1970,Flow,6.8,7.0,5.0,7.0,12.3,0.3507343523016432
Sweden,1980,Helm,6.0,7.0,5.8,7.0,10.7,0.3158995353042547
Sweden,1980,Shield,7.0,7.0,4.0,5.0,12.5,0.34699277565556713
Sweden,1980,Lore,6.4,8.0,4.6,8.0,13.8,0.3535366353459897
Sweden,1980,Stewards,5.8,7.0,5.0,6.0,10.8,0.31951318293269765
Sweden,1980,Craft,7.0,7.0,5.0,7.0,12.5,0.3444432203603582
Sweden,1980,Hands,7.0,7.0,5.0,6.0,12.0,0.3358647886186585
Sweden,1980,Archive,7.0,7.0,4.2,7.0,13.3,0.3610692429944156
Sweden,1980,Flow,7.0,7.0,5.0,7.0,12.5,0.3444432203603582
Sweden,1990,Helm,4.2,5.4,7.8,7.0,5.300000000000002,0.20395587540947238
Sweden,1990,Shield,6.6,6.2,5.0,5.0,10.3,0.2526691118612324
Sweden,1990,Lore,7.0,7.0,5.0,8.0,13.0,0.27612227034455417
Sweden,1990,Stewards,3.4,5.0,8.4,6.0,3.0,0.18152839409969765
Sweden,1990,Craft,5.2,5.8,7.0,7.0,7.5,0.22411129861559823
Sweden,1990,Hands,4.2,5.2,7.8,6.0,4.6000000000000005,0.1970886180145171
Sweden,1990,Archive,6.0,6.4,6.0,7.0,9.9,0.24565984537549798
Sweden,1990,Flow,4.2,5.4,7.8,7.0,5.300000000000002,0.20395587540947238
Sweden,2000,Helm,6.0,7.0,5.0,7.0,11.5,0.3462540769452329
Sweden,2000,Shield,6.0,6.0,4.0,5.4,10.7,0.35128234428324195
Sweden,2000,Lore,7.0,7.0,4.2,8.0,13.8,0.3864552719818858
Sweden,2000,Stewards,7.0,7.0,4.2,7.0,13.3,0.3774393929237387
Sweden,2000,Craft,7.0,7.0,4.0,7.0,13.5,0.38191752701615667
Sweden,2000,Hands,6.0,7.0,5.0,6.0,11.0,0.33666459234798335
Sweden,2000,Archive,7.0,7.0,4.0,7.0,13.5,0.38191752701615667
Sweden,2000,Flow,7.0,7.0,4.2,7.0,13.3,0.3774393929237387
Sweden,2010,Helm,6.0,7.0,5.0,7.0,11.5,0.32712477414677377
Sweden,2010,Shield,5.8,6.0,5.0,5.4,9.5,0.3097166428732153
Sweden,2010,Lore,7.0,7.0,5.0,8.0,13.0,0.34805321529075844
Sweden,2010,Stewards,7.0,7.0,5.0,7.0,12.5,0.33992442214536733
Sweden,2010,Craft,7.0,7.0,5.0,7.0,12.5,0.3399244221453673
Sweden,2010,Hands,5.8,7.0,5.0,6.0,10.8,0.31537163595861223
Sweden,2010,Archive,7.0,7.0,5.0,7.0,12.5,0.3399244221453673
Sweden,2010,Flow,7.0,7.0,5.0,7.0,12.5,0.3399244221453673
Sweden,2020,Helm,4.8,6.0,7.0,7.0,7.300000000000001,0.23635794264496152
Sweden,2020,Shield,5.0,5.8,7.0,6.0,6.800000000000001,0.23120687764770226
Sweden,2020,Lore,6.0,7.0,6.0,8.0,11.0,0.2709479196151344
Sweden,2020,Stewards,6.0,6.0,6.0,7.0,9.5,0.2640828883929044
Sweden,2020,Craft,6.0,6.0,6.0,7.0,9.5,0.2640828883929044
Sweden,2020,Hands,5.0,6.0,6.8,6.0,7.2,0.2340206500929049
Sweden,2020,Archive,6.0,6.0,6.0,7.0,9.5,0.2640828883929044
Sweden,2020,Flow,6.0,6.0,6.0,7.0,9.5,0.2640828883929044
