Society,Year,Node,C_sd,K_sd,S_sd,A_sd
Sweden,1850,Helm,0.45,0.45,0.0,0.45
Sweden,1850,Shield,0.45,0.0,0.45,0.45
Sweden,1850,Lore,0.45,0.0,0.45,0.0
Sweden,1850,Stewards,0.45,0.0,0.0,0.0
Sweden,1850,Craft,0.45,0.0,0.0,0.0
Sweden,1850,Hands,0.55,0.0,0.55,0.0
Sweden,1850,Archive,0.0,0.0,0.0,0.0
Sweden,1850,Flow,0.45,0.0,0.0,0.0
Sweden,1860,Helm,0.0,0.0,0.0,0.0
Sweden,1860,Shield,0.45,0.0,0.0,0.45
Sweden,1860,Lore,0.45,0.45,0.45,0.0
Sweden,1860,Stewards,0.45,0.0,0.0,0.0
Sweden,1860,Craft,0.0,0.0,0.0,0.45
Sweden,1860,Hands,0.45,0.0,0.0,0.0
Sweden,1860,Archive,0.0,0.0,0.0,0.0
Sweden,1860,Flow,0.0,0.0,0.0,0.0
Sweden,1870,Helm,0.0,0.0,0.45,0.0
Sweden,1870,Shield,0.55,0.0,0.0,0.55
Sweden,1870,Lore,0.0,0.0,0.45,0.0
Sweden,1870,Stewards,0.0,0.0,0.0,0.0
Sweden,1870,Craft,0.55,0.0,0.0,0.55
Sweden,1870,Hands,0.0,0.0,0.0,0.0
Sweden,1870,Archive,0.45,0.45,0.45,0.0
Sweden,1870,Flow,0.0,0.0,0.0,0.55
Sweden,1880,Helm,0.45,0.0,0.0,0.0
Sweden,1880,Shield,0.55,0.0,0.45,0.55
Sweden,1880,Hands,0.55,0.55,0.45,0.0
Sweden,1880,Archive,0.45,0.0,0.55,0.0
Sweden,1880,Lore,0.0,0.0,0.45,0.0
Sweden,1880,Stewards,0.0,0.0,0.0,0.55
Sweden,1880,Craft,0.0,0.0,0.0,0.0
Sweden,1880,Flow,0.0,0.45,0.0,0.0
Sweden,1890,Helm,0.0,0.0,0.45,0.0
Sweden,1890,Shield,0.55,0.0,0.55,0.0
Sweden,1890,Lore,0.0,0.0,0.45,0.0
Sweden,1890,Stewards,0.0,0.0,0.0,0.55
Sweden,1890,Craft,0.0,0.0,0.0,0.0
Sweden,1890,Hands,0.0,0.0,0.0,0.0
Sweden,1890,Archive,0.45,0.0,0.0,0.0
Sweden,1890,Flow,0.0,0.0,0.0,0.0
Sweden,1900,Helm,0.0,0.0,0.0,0.45
Sweden,1900,Shield,0.45,0.0,0.55,0.0
Sweden,1900,Lore,0.0,0.0,0.45,0.0
Sweden,1900,Stewards,0.0,0.0,0.0,0.0
Sweden,1900,Craft,0.0,0.0,0.0,0.0
Sweden,1900,Hands,0.55,0.0,0.0,0.0
Sweden,1900,Archive,0.0,0.0,0.0,0.55
Sweden,1900,Flow,0.0,0.0,0.0,0.0
Sweden,1910,Helm,0.0,0.0,0.45,0.0
Sweden,1910,Shield,0.55,0.0,0.0,0.0
