Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Thailand,1850,Helm,7.0,5.2,4.4,5.0,10.299999999999999,0.3104366067318206
Thailand,1850,Shield,6.0,3.8,4.8,3.0,6.500000000000001,0.2716169505656523
Thailand,1850,Lore,8.0,5.2,3.0,6.2,13.299999999999999,0.3595199112151088
Thailand,1850,Stewards,6.4,4.8,4.2,4.0,9.0,0.2971427237455687
Thailand,1850,Craft,5.4,3.8,4.4,3.0,6.299999999999999,0.26896716313458574
Thailand,1850,Hands,5.2,3.8,6.2,2.0,3.8,0.2279590113530399
Thailand,1850,Archive,7.0,4.2,3.0,5.0,10.7,0.3366675345549215
Thailand,1850,Flow,5.2,4.0,5.0,3.0,5.699999999999999,0.2562541205616364
Thailand,1855,Helm,7.0,6.0,4.0,6.0,12.0,0.3203221439826352
Thailand,1855,Shield,5.8,4.0,5.0,3.6,6.6000000000000005,0.26652600871336735
Thailand,1855,Lore,7.2,5.0,4.0,6.0,11.2,0.3227265290979188
Thailand,1855,Stewards,5.2,5.0,5.0,4.0,7.199999999999999,0.26175948770791757
Thailand,1855,Craft,5.2,4.0,4.6,3.0,6.1,0.2580071331541919
Thailand,1855,Hands,5.0,3.8,6.0,2.0,3.8000000000000007,0.22373490874162227
Thailand,1855,Archive,6.6,4.2,3.0,5.0,10.3,0.3252234836491212
Thailand,1855,Flow,5.4,6.0,4.0,4.0,9.4,0.28096914508586773
Thailand,1860,Helm,7.0,6.2,4.0,7.0,12.7,0.33878763766699016
Thailand,1860,Shield,5.8,5.0,5.0,4.0,7.800000000000001,0.2786479100498278
Thailand,1860,Lore,7.0,5.2,4.0,6.2,11.299999999999999,0.33225077970231204
Thailand,1860,Stewards,5.6,6.0,4.0,4.0,9.6,0.29283027037281173
Thailand,1860,Craft,5.8,5.0,4.2,3.0,8.100000000000001,0.2821666065903277
Thailand,1860,Hands,5.0,4.0,6.0,2.0,4.0,0.23051249565124715
Thailand,1860,Archive,6.2,5.0,3.0,5.0,10.7,0.32996487811881103
Thailand,1860,Flow,6.0,6.0,4.0,4.2,10.1,0.3007954605716106
Thailand,1865,Helm,7.2,6.4,4.0,7.0,13.100000000000001,0.3438190088009416
Thailand,1865,Shield,5.8,5.0,5.0,4.0,7.800000000000001,0.2807239654349302
Thailand,1865,Lore,7.2,5.2,4.0,7.0,11.9,0.3438190088009416
Thailand,1865,Stewards,5.4,6.0,4.0,4.0,9.4,0.2919274301108818
Thailand,1865,Craft,5.4,5.0,4.2,3.0,7.7,0.27783296712814415
Thailand,1865,Hands,5.0,4.0,6.0,2.0,4.0,0.23218780834086136
Thailand,1865,Archive,6.4,5.0,3.0,6.0,11.4,0.3447763131994887
Thailand,1865,Flow,6.0,6.0,4.0,4.0,10.0,0.3010861441905667
Thailand,1870,Helm,6.0,5.0,5.0,6.0,9.0,0.28783082673925503
Thailand,1870,Shield,6.0,5.0,5.0,4.0,8.0,0.2707108886591872
Thailand,1870,Lore,7.0,5.2,4.0,6.0,11.2,0.3175686261363904
Thailand,1870,Stewards,5.2,6.0,4.0,4.0,9.2,0.2756248474010699
Thailand,1870,Craft,5.2,4.2,4.8,3.0,6.1000000000000005,0.2527903944525418
Thailand,1870,Hands,5.0,4.0,6.0,2.0,4.0,0.2219160384604441
Thailand,1870,Archive,6.0,5.0,3.0,5.0,10.5,0.31420001034142386
Thailand,1870,Flow,6.0,6.0,4.0,4.0,10.0,0.287283536193135
Thailand,1875,Helm,7.0,6.4,4.0,7.0,12.9,0.3408977724164574
Thailand,1875,Shield,6.0,5.0,5.0,5.0,8.5,0.2924206108870951
Thailand,1875,Lore,7.0,6.0,4.0,7.0,12.5,0.3408977724164574
Thailand,1875,Stewards,5.0,5.0,5.0,4.0,7.0,0.2684246212346075
Thailand,1875,Craft,6.0,5.0,4.2,4.0,8.8,0.2970937836168584
Thailand,1875,Hands,5.0,4.0,6.0,2.0,4.0,0.23186596046125943
Thailand,1875,Archive,6.0,5.0,3.0,5.0,10.5,0.32907069246219983
Thailand,1875,Flow,6.0,6.0,4.0,5.0,10.5,0.31033165494901027
Thailand,1880,Helm,7.2,7.0,4.0,7.0,13.7,0.3556834127791732
Thailand,1880,Shield,6.0,6.0,5.0,5.0,9.5,0.3026567722205206
Thailand,1880,Lore,7.0,6.4,4.0,7.0,12.9,0.3531635512141043
Thailand,1880,Stewards,5.6,6.0,5.0,4.4,8.8,0.29107111330068747
Thailand,1880,Craft,6.0,6.0,4.2,4.0,9.8,0.307520010713975
Thailand,1880,Hands,5.0,5.0,5.0,3.0,6.5,0.2667494695217488
Thailand,1880,Archive,6.8,6.0,3.0,6.0,12.8,0.36233338882921623
Thailand,1880,Flow,6.2,7.0,4.0,5.0,11.7,0.32423187197146824
Thailand,1885,Helm,7.2,7.0,4.2,7.0,13.5,0.34889803308922396
Thailand,1885,Shield,6.0,6.0,6.0,5.0,8.5,0.2827886617815298
Thailand,1885,Lore,7.0,6.2,4.0,7.0,12.7,0.3504673399983594
Thailand,1885,Stewards,6.0,6.0,5.0,5.0,9.5,0.3004067028650672
Thailand,1885,Craft,6.0,6.0,4.6,4.0,9.4,0.29798544944667704
Thailand,1885,Hands,5.0,5.0,5.0,3.0,6.5,0.2648008522996493
Thailand,1885,Archive,7.0,6.0,3.0,6.0,13.0,0.3622988906163295
Thailand,1885,Flow,6.2,7.0,4.0,5.0,11.7,0.32179460611042415
Thailand,1890,Helm,7.0,7.0,5.6,7.0,11.9,0.3112715947982401
Thailand,1890,Shield,6.0,5.0,7.0,5.0,6.5,0.2596941424904171
Thailand,1890,Lore,7.0,6.0,4.0,7.0,12.5,0.341750522898253
Thailand,1890,Stewards,6.0,6.0,5.0,5.0,9.5,0.2931322568129527
Thailand,1890,Craft,6.0,6.0,4.6,4.0,9.4,0.29077854464098757
Thailand,1890,Hands,5.0,5.0,5.0,3.0,6.5,0.25850099722005865
Thailand,1890,Archive,7.0,6.0,3.0,6.0,13.0,0.35322729085605314
Thailand,1890,Flow,6.2,7.0,4.0,5.0,11.7,0.3139149560997016
Thailand,1895,Helm,6.0,5.8,7.2,7.0,8.100000000000001,0.25228097055460685
Thailand,1895,Shield,5.0,5.0,8.0,5.0,4.5,0.21557397479068227
Thailand,1895,Lore,7.0,6.0,5.0,7.0,11.5,0.2983526317645507
Thailand,1895,Stewards,6.0,6.0,6.0,5.0,8.5,0.25588872633225496
Thailand,1895,Craft,6.0,5.8,5.0,4.0,8.8,0.26309935258072603
Thailand,1895,Hands,6.0,5.0,5.0,3.0,7.5,0.2541776701386687
Thailand,1895,Archive,7.0,6.0,4.0,6.0,12.0,0.30837798929409904
Thailand,1895,Flow,6.0,6.0,5.0,5.0,9.5,0.27157606590659517
Thailand,1900,Helm,7.0,7.2,5.0,8.0,13.2,0.3601364911820383
Thailand,1900,Shield,6.2,6.0,6.0,6.0,9.2,0.31237364089498604
Thailand,1900,Lore,7.0,7.0,4.0,8.0,14.0,0.3819187041097765
Thailand,1900,Stewards,7.0,7.0,5.0,6.0,12.0,0.3428884471440063
Thailand,1900,Craft,7.0,7.0,4.0,5.0,12.5,0.3542888670497213
Thailand,1900,Hands,6.0,6.0,5.0,4.0,9.0,0.3090588215296353
Thailand,1900,Archive,7.0,7.0,3.0,7.0,14.5,0.3954298384688939
Thailand,1900,Flow,7.0,7.0,4.0,6.0,13.0,0.363872279043218
Thailand,1905,Helm,7.2,7.2,5.0,8.0,13.4,0.366724787032727
Thailand,1905,Shield,7.0,7.0,5.0,6.0,12.0,0.3467391271010513
Thailand,1905,Lore,7.0,7.0,4.0,8.0,14.0,0.38628873308062356
Thailand,1905,Stewards,7.0,7.0,5.0,6.0,12.0,0.3467391271010513
Thailand,1905,Craft,7.0,6.8,4.4,5.0,11.9,0.34984450709252307
Thailand,1905,Hands,6.0,6.0,5.0,4.0,9.0,0.3124767827304599
Thailand,1905,Archive,7.0,7.0,3.0,7.0,14.5,0.3999851750973655
Thailand,1905,Flow,7.0,7.0,4.0,6.0,13.0,0.3679993356338992
Thailand,1910,Helm,7.0,7.0,5.0,8.0,13.0,0.3595133158764329
Thailand,1910,Shield,7.0,7.0,5.0,6.0,12.0,0.3422999202099046
Thailand,1910,Lore,6.2,7.0,4.0,8.0,13.2,0.3706148040497705
Thailand,1910,Stewards,7.0,7.0,5.0,6.0,12.0,0.3422999202099046
Thailand,1910,Craft,7.0,7.0,4.4,5.0,12.1,0.34535921156972404
Thailand,1910,Hands,6.0,6.0,5.0,4.0,9.0,0.3085364300951773
Thailand,1910,Archive,7.0,7.0,3.6,7.0,13.9,0.381231877908217
Thailand,1910,Flow,7.0,7.0,4.0,6.0,13.0,0.36324151149325995
Thailand,1915,Helm,6.0,6.0,5.0,7.0,10.5,0.3133916663427479
Thailand,1915,Shield,6.0,6.0,5.0,6.0,10.0,0.3048457001030697
Thailand,1915,Lore,7.0,6.0,4.6,8.0,12.4,0.34112828715823784
Thailand,1915,Stewards,7.0,7.0,5.0,6.0,12.0,0.31753096108773043
Thailand,1915,Craft,6.0,6.0,5.0,5.0,9.5,0.29591285953717217
Thailand,1915,Hands,5.4,5.6,5.2,3.0,7.3,0.26414036725245255
Thailand,1915,Archive,7.0,6.0,3.8,7.0,12.7,0.34908667908799823
Thailand,1915,Flow,6.0,5.0,6.0,5.0,7.5,0.2785957576978062
Thailand,1920,Helm,6.0,5.2,6.0,7.0,8.7,0.274164543426812
Thailand,1920,Shield,6.0,6.0,5.0,6.0,10.0,0.2829529517357448
Thailand,1920,Lore,6.0,6.0,5.0,7.0,10.5,0.29078093305491887
Thailand,1920,Stewards,5.0,5.6,6.0,5.0,7.1,0.2464139728932231
Thailand,1920,Craft,5.4,5.0,5.8,4.0,6.6000000000000005,0.24589792866472268
Thailand,1920,Hands,5.0,5.0,6.0,3.0,5.5,0.2282210758066498
Thailand,1920,Archive,7.0,6.0,4.0,7.0,12.5,0.31973837250047227
Thailand,1920,Flow,6.0,6.0,5.0,5.0,9.5,0.27476245523047693
Thailand,1925,Helm,5.8,5.8,6.0,7.0,9.1,0.2793616735332765
Thailand,1925,Shield,6.0,6.0,5.0,6.0,10.0,0.2907139016111298
Thailand,1925,Lore,7.0,6.0,4.2,7.0,12.3,0.3249770310706709
Thailand,1925,Stewards,5.0,6.0,6.0,5.0,7.5,0.2530242742037815
Thailand,1925,Craft,6.0,5.8,5.0,4.0,8.8,0.27339488529752165
Thailand,1925,Hands,5.0,5.0,6.0,3.0,5.5,0.23427951703106972
Thailand,1925,Archive,7.0,6.0,4.0,7.0,12.5,0.32872281788306373
Thailand,1925,Flow,6.0,6.0,5.0,5.0,9.5,0.2822602451339766
Thailand,1930,Helm,4.8,4.2,7.6,7.0,4.9,0.18605072778303652
Thailand,1930,Shield,5.0,5.0,6.0,5.0,6.5,0.19360067871400316
Thailand,1930,Lore,6.0,5.0,5.2,7.0,9.3,0.22424003299102413
Thailand,1930,Stewards,4.0,4.0,8.0,4.0,2.0,0.15610480708652533
Thailand,1930,Craft,4.0,4.0,8.0,3.0,1.5,0.14901170889838647
