Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
United Kingdom,1880,Helm,7.0,8.0,3.0,7.0,15.5,0.46325265392341114
United Kingdom,1880,Shield,8.0,8.2,2.0,6.2,17.3,0.4996283403208504
United Kingdom,1880,Lore,7.0,7.0,3.0,7.0,14.5,0.46325265392341114
United Kingdom,1880,Stewards,7.0,8.0,2.4,6.2,15.7,0.47052412716571407
United Kingdom,1880,Craft,7.0,8.0,3.0,6.0,15.0,0.4516794622756845
United Kingdom,1880,Hands,5.0,5.0,5.0,4.0,7.0,0.3406223416836486
United Kingdom,1880,Archive,8.0,7.4,2.0,7.0,16.9,0.508740219757667
United Kingdom,1880,Flow,8.0,8.2,2.0,7.0,17.7,0.508740219757667
United Kingdom,1881,Helm,7.0,8.0,3.0,7.0,15.5,0.46325265392341114
United Kingdom,1881,Shield,8.0,8.2,2.0,6.2,17.3,0.4996283403208504
United Kingdom,1881,Lore,7.0,7.0,3.0,7.0,14.5,0.46325265392341114
United Kingdom,1881,Stewards,7.0,8.0,2.4,6.2,15.7,0.47052412716571407
United Kingdom,1881,Craft,7.0,8.0,3.0,6.0,15.0,0.4516794622756845
United Kingdom,1881,Hands,5.0,5.0,5.0,4.0,7.0,0.3406223416836486
United Kingdom,1881,Archive,8.0,7.4,2.0,7.0,16.9,0.508740219757667
United Kingdom,1881,Flow,8.0,8.2,2.0,7.0,17.7,0.508740219757667
United Kingdom,1882,Helm,7.0,8.0,3.0,7.0,15.5,0.46325265392341114
United Kingdom,1882,Shield,8.0,8.2,2.0,6.2,17.3,0.4996283403208504
United Kingdom,1882,Lore,7.0,7.0,3.0,7.0,14.5,0.46325265392341114
United Kingdom,1882,Stewards,7.0,8.0,2.4,6.2,15.7,0.47052412716571407
United Kingdom,1882,Craft,7.0,8.0,3.0,6.0,15.0,0.4516794622756845
United Kingdom,1882,Hands,5.0,5.0,5.0,4.0,7.0,0.3406223416836486
United Kingdom,1882,Archive,8.0,7.4,2.0,7.0,16.9,0.508740219757667
United Kingdom,1882,Flow,8.0,8.2,2.0,7.0,17.7,0.508740219757667
United Kingdom,1883,Helm,7.0,8.0,3.0,7.0,15.5,0.46325265392341114
