Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Argentina,1950,Archive,5.0,5.0,4.0,5.0,8.5,0.30005383440385575
Argentina,1950,Craft,5.0,5.0,4.0,5.0,8.5,0.30005383440385575
Argentina,1950,Flow,5.0,5.2,4.2,5.0,8.5,0.2964799312842735
Argentina,1950,Hands,6.0,5.6,4.2,5.0,9.899999999999999,0.3113028656711392
Argentina,1950,Helm,7.0,6.4,4.2,6.0,12.2,0.3338025852232627
Argentina,1950,Lore,6.2,6.0,4.0,6.0,11.2,0.3271363841795824
Argentina,1950,Shield,6.0,6.0,4.0,5.0,10.5,0.3150159129450042
Argentina,1950,Stewards,5.0,5.2,4.2,5.0,8.5,0.2964799312842735
Argentina,1951,Archive,5.0,5.0,4.0,5.0,8.5,0.2994968077172993
Argentina,1951,Craft,5.0,5.0,4.0,5.0,8.5,0.2994968077172993
Argentina,1951,Flow,5.0,5.0,4.4,5.0,8.1,0.29239820445849435
Argentina,1951,Hands,6.0,6.0,4.2,5.0,10.3,0.3107214798798412
Argentina,1951,Helm,7.0,6.4,4.2,6.0,12.2,0.33317142100802616
Argentina,1951,Lore,6.2,6.0,4.0,6.0,11.2,0.3265201203035098
Argentina,1951,Shield,6.0,6.0,4.0,5.0,10.5,0.3144264113105023
Argentina,1951,Stewards,5.0,5.2,4.2,5.0,8.5,0.29593057334871603
Argentina,1952,Archive,5.0,5.0,5.0,5.0,7.5,0.24292473427791159
Argentina,1952,Craft,5.0,5.0,5.0,5.0,7.5,0.24292473427791159
Argentina,1952,Flow,4.0,5.0,6.0,4.0,5.0,0.20765976977581083
Argentina,1952,Hands,5.0,5.0,6.0,5.0,6.5,0.228888306835914
Argentina,1952,Helm,6.0,6.0,6.0,5.0,8.5,0.24031431111595505
Argentina,1952,Lore,5.0,5.0,5.0,5.0,7.5,0.24292473427791159
Argentina,1952,Shield,5.8,6.0,5.0,5.0,9.3,0.25256438478744614
Argentina,1952,Stewards,5.0,5.0,5.0,5.0,7.5,0.24292473427791159
Argentina,1953,Archive,5.0,5.0,5.0,5.0,7.5,0.23654971512133252
Argentina,1953,Craft,5.0,5.0,5.0,5.0,7.5,0.23654971512133252
Argentina,1953,Flow,4.0,4.6,5.6,4.0,5.0,0.20730923482512503
Argentina,1953,Hands,4.8,5.0,5.6,4.0,6.200000000000001,0.21777332634879504
Argentina,1953,Helm,5.8,5.0,6.2,5.0,7.1000000000000005,0.22914003039894298
Argentina,1953,Lore,5.0,5.0,5.0,5.0,7.5,0.23654971512133252
Argentina,1953,Shield,5.2,5.8,5.0,5.0,8.5,0.23894036903194443
Argentina,1953,Stewards,4.0,5.0,5.2,4.0,5.8,0.21237756784043782
Argentina,1954,Archive,5.0,5.0,5.0,5.0,7.5,0.23752750794510266
Argentina,1954,Craft,5.0,5.0,5.0,5.0,7.5,0.23752750794510266
Argentina,1954,Flow,4.0,4.8,5.2,4.0,5.6000000000000005,0.2132400919414262
Argentina,1954,Hands,4.4,5.0,5.2,4.0,6.2,0.21869826364529252
Argentina,1954,Helm,5.6,5.0,6.0,5.0,7.1,0.23063241694260123
Argentina,1954,Lore,5.0,5.0,5.0,5.0,7.5,0.23752750794510266
Argentina,1954,Shield,5.0,5.6,5.0,5.0,8.1,0.23752750794510266
Argentina,1954,Stewards,4.0,4.8,5.0,4.0,5.800000000000001,0.2158234613951168
Argentina,1955,Archive,3.2,4.0,7.6,3.2,1.2000000000000006,0.11788815160146289
Argentina,1955,Craft,4.0,4.0,6.2,4.0,3.8,0.14067910383257912
Argentina,1955,Flow,3.0,4.0,7.2,3.0,1.2999999999999998,0.11742568584122716
Argentina,1955,Hands,4.0,4.0,7.0,4.0,3.0,0.13432515889629906
Argentina,1955,Helm,3.0,3.8,8.2,3.0,0.10000000000000053,0.11054899523559622
Argentina,1955,Lore,3.4,4.0,7.6,3.4,1.5000000000000007,0.12101065347979978
Argentina,1955,Shield,3.2,4.2,7.8,3.2,1.2000000000000006,0.11648157904668613
Argentina,1955,Stewards,3.2,4.0,6.8,3.2,2.0000000000000004,0.12364921795941099
Argentina,1956,Archive,4.0,4.0,6.0,4.0,4.0,0.17681806807326675
Argentina,1956,Craft,4.4,5.0,5.0,4.0,6.4,0.19227183226985525
Argentina,1956,Flow,4.0,4.0,6.0,4.0,4.0,0.17681806807326675
Argentina,1956,Hands,4.0,4.0,6.0,4.0,4.0,0.17681806807326675
Argentina,1956,Helm,4.0,4.0,7.0,4.0,3.0,0.1665312085293314
Argentina,1956,Lore,4.0,4.0,6.0,4.0,4.0,0.17681806807326675
Argentina,1956,Shield,5.0,5.0,6.0,4.0,6.0,0.18768563421033696
Argentina,1956,Stewards,4.0,5.0,6.0,4.0,5.0,0.17681806807326675
Argentina,1957,Archive,4.8,5.0,5.0,4.8,7.200000000000001,0.2377828850175995
Argentina,1957,Craft,5.0,5.0,5.0,5.0,7.5,0.24196456567190333
Argentina,1957,Flow,4.8,5.0,5.0,4.8,7.200000000000001,0.2377828850175995
Argentina,1957,Hands,5.0,5.0,5.0,5.0,7.5,0.24196456567190333
Argentina,1957,Helm,4.6,4.8,6.0,4.8,5.799999999999999,0.22155452139158607
Argentina,1957,Lore,5.0,5.0,5.0,5.0,7.5,0.24196456567190333
Argentina,1957,Shield,5.0,5.0,5.4,4.0,6.6,0.2279723598033136
