Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
China,1850,Helm,3.0,4.0,8.0,5.0,1.5,0.14096195013403354
China,1850,Shield,3.0,4.2,8.0,4.0,1.2000000000000002,0.13425296084833674
China,1850,Lore,5.2,4.0,5.0,6.0,7.199999999999999,0.19630825094619755
China,1850,Stewards,4.0,4.0,7.0,4.0,3.0,0.1530424724515766
China,1850,Craft,4.0,3.0,6.0,3.0,2.5,0.15524025096119387
China,1850,Hands,3.0,3.0,8.0,3.0,-0.5,0.1270217213796653
China,1850,Archive,4.0,4.0,6.0,5.0,4.5,0.1690125907678202
China,1850,Flow,4.0,3.0,7.0,4.0,2.0,0.1530424724515766
China,1860,Helm,2.0,3.0,9.0,5.0,-1.5,0.10331400919782978
China,1860,Shield,2.0,3.0,9.0,3.0,-2.5,0.09099573585174034
China,1860,Lore,4.8,4.0,6.0,6.0,5.800000000000001,0.15131308720467787
China,1860,Stewards,3.0,3.0,8.0,4.0,0.0,0.11261771731165877
China,1860,Craft,3.0,3.0,7.0,3.0,0.5,0.11326956962826525
China,1860,Hands,2.0,2.0,9.0,3.0,-3.5,0.09099573585174034
China,1860,Archive,3.0,3.0,7.2,5.0,1.2999999999999998,0.1237433764845569
China,1860,Flow,3.0,3.0,8.0,4.0,0.0,0.11261771731165877
China,1870,Helm,4.0,4.0,6.0,5.0,4.5,0.19623844325991321
China,1870,Shield,4.0,4.0,5.0,4.0,5.0,0.19992306806944896
China,1870,Lore,5.0,4.0,5.0,6.0,7.0,0.226915185485621
China,1870,Stewards,4.0,4.0,5.0,4.0,5.0,0.19992306806944896
China,1870,Craft,4.0,4.0,5.0,4.0,5.0,0.19992306806944896
China,1870,Hands,3.0,3.0,6.0,3.0,1.5,0.1659758156267599
China,1870,Archive,4.0,4.0,5.0,5.0,5.5,0.2082184784065659
China,1870,Flow,4.0,4.0,5.0,4.0,5.0,0.19992306806944896
China,1880,Helm,4.0,4.0,6.0,5.0,4.5,0.19623844325991321
China,1880,Shield,4.0,4.0,5.0,4.0,5.0,0.19992306806944896
China,1880,Lore,5.0,4.0,5.0,6.0,7.0,0.226915185485621
China,1880,Stewards,4.0,5.0,5.0,4.0,6.0,0.19992306806944896
China,1880,Craft,4.0,4.0,5.0,4.0,5.0,0.19992306806944896
China,1880,Hands,3.0,3.0,6.0,3.0,1.5,0.1659758156267599
China,1880,Archive,4.0,4.0,5.0,5.0,5.5,0.2082184784065659
China,1880,Flow,4.0,4.0,5.0,4.0,5.0,0.19992306806944896
China,1890,Helm,3.0,3.8,7.0,5.0,2.3,0.1601195998190242
China,1890,Shield,3.0,4.0,7.0,4.0,2.0,0.15251053627938954
China,1890,Lore,5.0,4.0,5.0,6.0,7.0,0.2088545475114104
China,1890,Stewards,4.0,4.0,6.0,4.0,4.0,0.17381685163578459
China,1890,Craft,4.0,3.4,5.0,4.0,4.4,0.18437894582589362
China,1890,Hands,3.0,3.0,7.0,3.0,0.5,0.14430749232346743
China,1890,Archive,4.0,4.0,5.2,5.0,5.3,0.1897002352900008
China,1890,Flow,3.8,4.0,6.0,4.0,3.8,0.17155999765511507
China,1900,Helm,2.0,3.0,9.0,5.0,-1.5,0.10080905679731744
China,1900,Shield,2.0,2.8,9.0,4.0,-2.2,0.09509135641244947
China,1900,Lore,3.0,3.0,7.0,6.0,2.0,0.12720531268112104
China,1900,Stewards,3.0,3.0,8.0,4.0,0.0,0.10985034910813865
China,1900,Craft,3.0,3.0,7.0,4.0,1.0,0.11650215254564025
China,1900,Hands,2.0,2.2,9.0,3.0,-3.3,0.08882638343762585
China,1900,Archive,3.0,3.0,8.0,5.0,0.5,0.11516379500720528
China,1900,Flow,3.0,3.0,8.0,4.0,0.0,0.10985034910813865
China,1910,Helm,2.0,3.0,9.0,6.0,-1.0,0.11682725423661434
China,1910,Shield,3.0,3.0,8.0,4.0,0.0,0.12104495882717838
China,1910,Lore,4.0,4.0,6.0,7.0,5.5,0.16238182013026667
China,1910,Stewards,3.0,4.0,7.0,5.0,2.5,0.13473619406039644
China,1910,Craft,3.0,3.0,7.0,4.0,1.0,0.1285002381659579
China,1910,Hands,2.0,3.0,8.0,3.0,-1.5,0.10384971255781782
China,1910,Archive,3.0,3.0,8.0,5.0,0.5,0.12699860519845824
China,1910,Flow,3.0,3.0,7.0,4.0,1.0,0.1285002381659579
China,1920,Helm,2.0,2.0,9.0,6.0,-2.0,0.11471888673232981
China,1920,Shield,2.2,3.0,8.8,4.0,-1.6000000000000005,0.10593085641475689
