Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
China,1900,Helm,2,2,9,4,-3.0,0.1023545431992587
China,1900,Shield,2,2,9,2,-4.0,0.08800866244692233
China,1900,Lore,4,3,6,5,3.5,0.14833388083261667
China,1900,Stewards,4,4,6,4,4.0,0.14264482238489556
China,1900,Craft,3,3,7,3,0.5,0.11911954901043043
China,1900,Hands,3,4,7,2,1.0,0.11193820409183373
China,1900,Archive,5,4,6,5,5.5,0.15619938587608445
China,1900,Flow,3,3,8,3,-0.5,0.1121571725737194
China,1901,Helm,2,2,9,4,-3.0,0.1023545431992587
China,1901,Shield,2,2,9,2,-4.0,0.08800866244692233
China,1901,Lore,4,3,6,5,3.5,0.14833388083261667
China,1901,Stewards,4,4,6,4,4.0,0.14264482238489556
China,1901,Craft,3,3,7,3,0.5,0.11911954901043043
China,1901,Hands,3,4,7,2,1.0,0.11193820409183373
China,1901,Archive,5,4,6,5,5.5,0.15619938587608445
China,1901,Flow,3,3,8,3,-0.5,0.1121571725737194
China,1902,Helm,2,2,9,4,-3.0,0.1023545431992587
China,1902,Shield,2,2,9,2,-4.0,0.08800866244692233
China,1902,Lore,4,3,6,5,3.5,0.14833388083261667
China,1902,Stewards,4,4,6,4,4.0,0.14264482238489556
China,1902,Craft,3,3,7,3,0.5,0.11911954901043043
China,1902,Hands,3,4,7,2,1.0,0.11193820409183373
China,1902,Archive,5,4,6,5,5.5,0.15619938587608445
China,1902,Flow,3,3,8,3,-0.5,0.1121571725737194
China,1903,Helm,3,3,8,5,0.5,0.13247112729750474
China,1903,Shield,3,3,8,3,-0.5,0.11947742731196162
China,1903,Lore,4,4,7,5,3.5,0.14961149362233334
China,1903,Stewards,4,4,6,4,4.0,0.15235442736788182
China,1903,Craft,3,3,6,3,1.5,0.1348286896402226
China,1903,Hands,3,3,7,2,0.0,0.11924211119005121
China,1903,Archive,5,4,6,5,5.5,0.16705505426439843
China,1903,Flow,3,4,7,3,1.5,0.12696520377788398
China,1904,Helm,3,3,8,5,0.5,0.13247112729750474
China,1904,Shield,3,3,8,3,-0.5,0.11947742731196162
China,1904,Lore,4,4,7,5,3.5,0.14961149362233334
China,1904,Stewards,4,4,6,4,4.0,0.15235442736788182
China,1904,Craft,3,3,6,3,1.5,0.1348286896402226
China,1904,Hands,3,3,7,2,0.0,0.11924211119005121
China,1904,Archive,5,4,6,5,5.5,0.16705505426439843
China,1904,Flow,3,4,7,3,1.5,0.12696520377788398
China,1905,Helm,3,3,8,5,0.5,0.13247112729750474
China,1905,Shield,3,3,8,3,-0.5,0.11947742731196162
China,1905,Lore,4,4,7,5,3.5,0.14961149362233334
China,1905,Stewards,4,4,6,4,4.0,0.15235442736788182
China,1905,Craft,3,3,6,3,1.5,0.1348286896402226
China,1905,Hands,3,3,7,2,0.0,0.11924211119005121
China,1905,Archive,5,4,6,5,5.5,0.16705505426439843
China,1905,Flow,3,4,7,3,1.5,0.12696520377788398
China,1906,Helm,3,3,8,5,0.5,0.13247112729750474
China,1906,Shield,3,3,8,3,-0.5,0.11947742731196162
China,1906,Lore,4,4,7,5,3.5,0.14961149362233334
China,1906,Stewards,4,4,6,4,4.0,0.15235442736788182
China,1906,Craft,3,3,6,3,1.5,0.1348286896402226
China,1906,Hands,3,3,7,2,0.0,0.11924211119005121
China,1906,Archive,5,4,6,5,5.5,0.16705505426439843
China,1906,Flow,3,4,7,3,1.5,0.12696520377788398
China,1907,Helm,3,3,8,5,0.5,0.13247112729750474
China,1907,Shield,3,3,8,3,-0.5,0.11947742731196162
