Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
France,1800,Helm,7,7,5,7,12.5,0.3133183489715206
France,1800,Shield,8,8,6,7,13.5,0.305958956396431
France,1800,Lore,5,6,6,8,9.0,0.2804767770725897
France,1800,Stewards,5,5,6,6,7.0,0.26415819895421927
France,1800,Craft,6,6,5,6,10.0,0.293510287236869
France,1800,Hands,6,6,6,4,8.0,0.2598361821809978
France,1800,Archive,7,7,4,8,14.0,0.33964907062506666
France,1800,Flow,5,5,7,6,6.0,0.24856637325741313
France,1801,Helm,8,8,4,7,15.5,0.3955916361068313
France,1801,Shield,8,8,4,7,15.5,0.3955916361068313
France,1801,Lore,6,6,5,8,11.0,0.35559691477635186
France,1801,Stewards,6,6,5,6,10.0,0.3367929085808918
France,1801,Craft,7,6,4,6,12.0,0.3726061919310979
France,1801,Hands,6,6,5,4,9.0,0.3162921062511389
France,1801,Archive,8,7,3,8,16.0,0.42816836667141134
France,1801,Flow,6,6,5,6,10.0,0.3367929085808918
France,1802,Helm,9,8,3,8,18.0,0.49032093888658684
France,1802,Shield,9,8,3,7,17.5,0.4806449268511315
France,1802,Lore,7,7,4,8,14.0,0.4338054683776809
France,1802,Stewards,7,6,4,6,12.0,0.41287415382929715
France,1802,Craft,7,7,4,7,13.5,0.42353632656242907
France,1802,Hands,7,7,4,4,12.0,0.39021946713644423
France,1802,Archive,8,8,3,8,17.0,0.475683907223074
France,1802,Flow,7,7,4,6,13.0,0.41287415382929715
France,1803,Helm,9,9,4,8,18.0,0.4493656833898087
France,1803,Shield,9,9,4,7,17.5,0.4404123511134478
France,1803,Lore,7,7,4,8,14.0,0.42157538559175073
France,1803,Stewards,7,7,4,7,13.5,0.4116413783123403
France,1803,Craft,7,7,4,7,13.5,0.4116413783123403
France,1803,Hands,7,7,4,4,12.0,0.379391983558205
France,1803,Archive,8,8,3,8,17.0,0.4620549844705506
France,1803,Flow,6,7,5,7,11.5,0.3727722162279338
France,1804,Helm,9,9,4,9,18.5,0.46734791123335684
France,1804,Shield,9,10,4,8,19.0,0.45846671724256777
France,1804,Lore,8,7,4,8,15.0,0.44460156424886144
France,1804,Stewards,7,7,4,7,13.5,0.41985227379875184
France,1804,Craft,8,7,4,7,14.5,0.43496395697085716
France,1804,Hands,7,7,5,4,11.0,0.36393223663907
France,1804,Archive,9,8,3,9,18.5,0.49521057848273753
France,1804,Flow,6,7,5,7,11.5,0.3800975681136874
France,1805,Helm,9,10,5,9,18.5,0.4259963923389529
France,1805,Shield,10,10,5,8,19.0,0.4299854672166546
France,1805,Lore,8,8,4,8,16.0,0.42977923484991976
France,1805,Stewards,7,7,5,7,12.5,0.38238817546457415
France,1805,Craft,8,8,4,7,15.5,0.4205169373346071
France,1805,Hands,7,8,5,4,12.0,0.3521566523854592
France,1805,Archive,9,8,3,9,18.5,0.47836074081455
France,1805,Flow,6,7,6,7,10.5,0.34595859136977164
France,1806,Helm,9,10,4,9,19.5,0.465036062295966
France,1806,Shield,10,10,4,8,20.0,0.4693497311212576
France,1806,Lore,8,8,4,8,16.0,0.4424219321679175
France,1806,Stewards,8,8,4,7,15.5,0.43283951440682633
France,1806,Craft,8,8,4,7,15.5,0.43283951440682633
France,1806,Hands,7,8,5,4,12.0,0.36220063018773446
France,1806,Archive,9,9,3,9,19.5,0.4927328001422494
France,1806,Flow,6,7,7,7,9.5,0.3344622950380906
France,1807,Helm,9,10,4,9,19.5,0.46679892144053625
France,1807,Shield,10,10,4,8,20.0,0.4711320699637488
France,1807,Lore,8,8,4,8,16.0,0.44408397170845404
France,1807,Stewards,8,8,4,8,16.0,0.44408397170845404
France,1807,Craft,8,8,4,7,15.5,0.43445947016628134
France,1807,Hands,7,8,5,4,12.0,0.36352103578092126
France,1807,Archive,9,9,3,9,19.5,0.4946221857915893
France,1807,Flow,6,7,7,7,9.5,0.33566976781013846
France,1808,Helm,8,9,6,9,15.5,0.3648504962381516
France,1808,Shield,9,9,6,8,16.0,0.3685429241549495
France,1808,Lore,7,8,5,8,14.0,0.36671075993147234
France,1808,Stewards,8,8,5,8,15.0,0.3791030752943862
France,1808,Craft,8,8,4,7,15.5,0.3933600998950198
France,1808,Hands,7,7,6,4,10.0,0.31050946342638747
France,1808,Archive,9,9,3,9,19.5,0.4466871974845309
France,1808,Flow,5,6,8,7,6.5,0.27437851044918143
France,1809,Helm,8,9,7,9,14.5,0.31452167733801584
France,1809,Shield,8,9,7,8,14.0,0.3080111774782858
France,1809,Lore,7,8,6,8,13.0,0.31612267088081103
France,1809,Stewards,7,7,6,8,12.0,0.31612267088081103
France,1809,Craft,8,8,5,7,14.5,0.3390536564172813
France,1809,Hands,6,7,7,4,8.0,0.2550920929337022
France,1809,Archive,9,9,4,9,18.5,0.384914400866151
France,1809,Flow,5,6,8,7,6.5,0.251771053307016
France,1810,Helm,8,9,6,9,15.5,0.3418050251267202
France,1810,Shield,9,9,6,8,16.0,0.3452247160813084
