Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Indigenous Australia,1600,Helm,7,6,3,6,13.0,0.4422392771860194
Indigenous Australia,1600,Shield,6,5,3,5,10.5,0.41187998115512464
Indigenous Australia,1600,Lore,8,8,2,8,18.0,0.5086241130132328
Indigenous Australia,1600,Stewards,7,7,3,6,14.0,0.4422392771860194
Indigenous Australia,1600,Craft,7,7,3,7,14.5,0.4535306103851892
Indigenous Australia,1600,Hands,6,7,3,5,12.5,0.41187998115512464
Indigenous Australia,1600,Archive,7,7,2,7,15.5,0.48100692245186766
Indigenous Australia,1600,Flow,6,6,3,6,12.0,0.4244187632037196
Indigenous Australia,1625,Helm,7,6,3,6,13.0,0.4422392771860194
Indigenous Australia,1625,Shield,6,5,3,5,10.5,0.41187998115512464
Indigenous Australia,1625,Lore,8,8,2,8,18.0,0.5086241130132328
Indigenous Australia,1625,Stewards,7,7,3,6,14.0,0.4422392771860194
Indigenous Australia,1625,Craft,7,7,3,7,14.5,0.4535306103851892
Indigenous Australia,1625,Hands,6,7,3,5,12.5,0.41187998115512464
Indigenous Australia,1625,Archive,7,7,2,7,15.5,0.48100692245186766
Indigenous Australia,1625,Flow,6,6,3,6,12.0,0.4244187632037196
Indigenous Australia,1650,Helm,7,6,3,6,13.0,0.4422392771860194
Indigenous Australia,1650,Shield,6,5,3,5,10.5,0.41187998115512464
Indigenous Australia,1650,Lore,8,8,2,8,18.0,0.5086241130132328
Indigenous Australia,1650,Stewards,7,7,3,6,14.0,0.4422392771860194
Indigenous Australia,1650,Craft,7,7,3,7,14.5,0.4535306103851892
Indigenous Australia,1650,Hands,6,7,3,5,12.5,0.41187998115512464
Indigenous Australia,1650,Archive,7,7,2,7,15.5,0.48100692245186766
Indigenous Australia,1650,Flow,6,6,3,6,12.0,0.4244187632037196
Indigenous Australia,1675,Helm,7,6,3,6,13.0,0.4422392771860194
Indigenous Australia,1675,Shield,6,5,3,5,10.5,0.41187998115512464
Indigenous Australia,1675,Lore,8,8,2,8,18.0,0.5086241130132328
Indigenous Australia,1675,Stewards,7,7,3,6,14.0,0.4422392771860194
Indigenous Australia,1675,Craft,7,7,3,7,14.5,0.4535306103851892
Indigenous Australia,1675,Hands,6,7,3,5,12.5,0.41187998115512464
Indigenous Australia,1675,Archive,7,7,2,7,15.5,0.48100692245186766
Indigenous Australia,1675,Flow,6,6,3,6,12.0,0.4244187632037196
Indigenous Australia,1700,Helm,7,6,3,6,13.0,0.44699143872660235
Indigenous Australia,1700,Shield,6,5,3,5,10.5,0.41625735099161354
Indigenous Australia,1700,Lore,8,8,2,8,18.0,0.5142315863927017
Indigenous Australia,1700,Stewards,7,7,3,6,14.0,0.44699143872660235
Indigenous Australia,1700,Craft,7,7,3,7,14.5,0.45842465864371235
Indigenous Australia,1700,Hands,6,7,3,5,12.5,0.41625735099161354
Indigenous Australia,1700,Archive,7,7,2,7,15.5,0.48625223349972474
Indigenous Australia,1700,Flow,7,7,3,7,14.5,0.45842465864371235
Indigenous Australia,1725,Helm,7,6,3,6,13.0,0.44699143872660235
Indigenous Australia,1725,Shield,6,5,3,5,10.5,0.41625735099161354
Indigenous Australia,1725,Lore,8,8,2,8,18.0,0.5142315863927017
Indigenous Australia,1725,Stewards,7,7,3,6,14.0,0.44699143872660235
Indigenous Australia,1725,Craft,7,7,3,7,14.5,0.45842465864371235
Indigenous Australia,1725,Hands,6,7,3,5,12.5,0.41625735099161354
Indigenous Australia,1725,Archive,7,7,2,7,15.5,0.48625223349972474
Indigenous Australia,1725,Flow,7,7,3,7,14.5,0.45842465864371235
Indigenous Australia,1750,Helm,7,6,3,6,13.0,0.44699143872660235
Indigenous Australia,1750,Shield,6,5,3,5,10.5,0.41625735099161354
Indigenous Australia,1750,Lore,8,8,2,8,18.0,0.5142315863927017
Indigenous Australia,1750,Stewards,7,7,3,6,14.0,0.44699143872660235
Indigenous Australia,1750,Craft,7,7,3,7,14.5,0.45842465864371235
Indigenous Australia,1750,Hands,6,7,3,5,12.5,0.41625735099161354
