Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
USA,1900,Helm,6.0,6.0,3.0,5.0,11.5,0.3704650568880248
USA,1900,Shield,5.0,5.0,2.0,4.0,10.0,0.3613287864197568
USA,1900,Lore,6.0,6.0,3.0,6.0,12.0,0.3815502438844733
USA,1900,Stewards,7.0,7.0,3.0,6.0,14.0,0.39727839481604077
USA,1900,Craft,6.0,6.0,3.0,5.0,11.5,0.3704650568880247
USA,1900,Hands,5.0,4.8,4.0,3.8,7.700000000000001,0.31769777810636285
USA,1900,Archive,5.8,5.0,2.8,5.0,10.5,0.37142931419944075
USA,1900,Flow,7.0,7.0,3.0,6.0,14.0,0.39727839481604077
USA,1901,Helm,6.0,6.0,3.0,5.0,11.5,0.3704650568880248
USA,1901,Shield,5.0,5.0,2.0,4.0,10.0,0.3613287864197568
USA,1901,Lore,6.0,6.0,3.0,6.0,12.0,0.3815502438844733
USA,1901,Stewards,7.0,7.0,3.0,6.0,14.0,0.39727839481604077
USA,1901,Craft,6.0,6.0,3.0,5.0,11.5,0.3704650568880247
USA,1901,Hands,5.0,4.8,4.0,3.8,7.700000000000001,0.31769777810636285
USA,1901,Archive,5.8,5.0,2.8,5.0,10.5,0.37142931419944075
USA,1901,Flow,7.0,7.0,3.0,6.0,14.0,0.39727839481604077
USA,1902,Helm,6.0,6.0,3.0,5.0,11.5,0.3704650568880248
USA,1902,Shield,5.0,5.0,2.0,4.0,10.0,0.3613287864197568
USA,1902,Lore,6.0,6.0,3.0,6.0,12.0,0.3815502438844733
USA,1902,Stewards,7.0,7.0,3.0,6.0,14.0,0.39727839481604077
USA,1902,Craft,6.0,6.0,3.0,5.0,11.5,0.3704650568880247
USA,1902,Hands,5.0,4.8,4.0,3.8,7.700000000000001,0.31769777810636285
USA,1902,Archive,5.8,5.0,2.8,5.0,10.5,0.37142931419944075
USA,1902,Flow,7.0,7.0,3.0,6.0,14.0,0.39727839481604077
USA,1903,Helm,6.0,6.0,3.0,5.0,11.5,0.3704650568880248
USA,1903,Shield,5.0,5.0,2.0,4.0,10.0,0.3613287864197568
USA,1903,Lore,6.0,6.0,3.0,6.0,12.0,0.3815502438844733
USA,1903,Stewards,7.0,7.0,3.0,6.0,14.0,0.39727839481604077
USA,1903,Craft,6.0,6.0,3.0,5.0,11.5,0.3704650568880247
USA,1903,Hands,5.0,4.8,4.0,3.8,7.700000000000001,0.31769777810636285
USA,1903,Archive,5.8,5.0,2.8,5.0,10.5,0.37142931419944075
USA,1903,Flow,7.0,7.0,3.0,6.0,14.0,0.39727839481604077
USA,1904,Helm,6.0,6.0,3.0,5.0,11.5,0.3704650568880248
USA,1904,Shield,5.0,5.0,2.0,4.0,10.0,0.3613287864197568
USA,1904,Lore,6.0,6.0,3.0,6.0,12.0,0.3815502438844733
USA,1904,Stewards,7.0,7.0,3.0,6.0,14.0,0.39727839481604077
USA,1904,Craft,6.0,6.0,3.0,5.0,11.5,0.3704650568880247
USA,1904,Hands,5.0,4.8,4.0,3.8,7.700000000000001,0.31769777810636285
USA,1904,Archive,5.8,5.0,2.8,5.0,10.5,0.37142931419944075
USA,1904,Flow,7.0,7.0,3.0,6.0,14.0,0.39727839481604077
USA,1905,Helm,6.0,6.0,3.0,5.0,11.5,0.3704650568880248
USA,1905,Shield,5.0,5.0,2.0,4.0,10.0,0.3613287864197568
USA,1905,Lore,6.0,6.0,3.0,6.0,12.0,0.3815502438844733
USA,1905,Stewards,7.0,7.0,3.0,6.0,14.0,0.39727839481604077
USA,1905,Craft,6.0,6.0,3.0,5.0,11.5,0.3704650568880247
USA,1905,Hands,5.0,4.8,4.0,3.8,7.700000000000001,0.31769777810636285
USA,1905,Archive,5.8,5.0,2.8,5.0,10.5,0.37142931419944075
USA,1905,Flow,7.0,7.0,3.0,6.0,14.0,0.39727839481604077
USA,1906,Helm,6.0,6.0,3.0,5.0,11.5,0.3704650568880248
USA,1906,Shield,5.0,5.0,2.0,4.0,10.0,0.3613287864197568
USA,1906,Lore,6.0,6.0,3.0,6.0,12.0,0.3815502438844733
