Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Rome,10,Archive,7,7,3,6,14.0,0.41305896257083247
Rome,10,Craft,7,7,3,5,13.5,0.40220195018440685
Rome,10,Flow,7,7,3,6,14.0,0.41305896257083247
Rome,10,Hands,6,6,4,4,10.0,0.3509402603868957
Rome,10,Helm,7,7,3,6,14.0,0.4130589625708326
Rome,10,Lore,7,7,3,7,14.5,0.4234790503306686
Rome,10,Shield,7,7,5,5,11.5,0.35672234715598944
Rome,10,Stewards,7,7,3,5,13.5,0.40220195018440685
Rome,20,Archive,7,7,3,6,14.0,0.4030502149177372
Rome,20,Craft,7,7,3,5,13.5,0.39250123806264997
Rome,20,Flow,7,7,3,6,14.0,0.4030502149177372
Rome,20,Hands,6,6,4,4,10.0,0.34265117822980384
Rome,20,Helm,6,6,4,6,11.0,0.3646670486979791
Rome,20,Lore,6,6,4,7,11.5,0.37495903616169696
Rome,20,Shield,7,7,4,5,12.5,0.3698677869154725
Rome,20,Stewards,7,7,3,5,13.5,0.3925012380626501
Rome,30,Archive,6,6,4,6,11.0,0.3283228702098794
Rome,30,Craft,6,6,4,5,10.5,0.31880272327829345
Rome,30,Flow,6,6,4,6,11.0,0.3283228702098794
Rome,30,Hands,6,6,4,4,10.0,0.30881658938971
Rome,30,Helm,5,6,6,6,8.0,0.278233711448337
Rome,30,Lore,6,6,5,7,10.5,0.31810779838658576
Rome,30,Shield,7,7,4,5,12.5,0.3329228375045719
Rome,30,Stewards,6,6,4,5,10.5,0.31880272327829345
Rome,40,Archive,6,6,5,6,10.0,0.28830934587427504
Rome,40,Craft,6,7,4,5,11.5,0.2969522917263996
Rome,40,Flow,6,6,5,6,10.0,0.28830934587427504
Rome,40,Hands,6,6,4,4,10.0,0.287760986696141
Rome,40,Helm,4,5,7,6,5.0,0.2318771183280718
Rome,40,Lore,5,6,5,7,9.5,0.2841716975364176
Rome,40,Shield,6,7,5,5,10.5,0.27993722359464507
Rome,40,Stewards,6,6,5,5,9.5,0.27993722359464507
Rome,50,Archive,7,7,3,6,14.0,0.4067478027656181
Rome,50,Craft,7,7,3,5,13.5,0.3960850266144681
Rome,50,Flow,7,7,3,6,14.0,0.4067478027656181
Rome,50,Hands,6,6,3,4,11.0,0.36724443973349735
Rome,50,Helm,6,7,4,6,12.0,0.3679564674106431
Rome,50,Lore,6,6,4,7,11.5,0.37835633319979045
Rome,50,Shield,7,7,4,5,12.5,0.3732115798690107
Rome,50,Stewards,7,7,3,5,13.5,0.3960850266144681
Rome,60,Archive,6,6,5,6,10.0,0.2944663126528371
Rome,60,Craft,6,6,4,5,10.5,0.3033274092918178
Rome,60,Flow,6,7,4,6,12.0,0.3123043984067655
Rome,60,Hands,6,6,5,4,9.0,0.27688818986614105
Rome,60,Helm,5,6,6,7,8.5,0.27337822426725417
Rome,60,Lore,5,6,5,7,9.5,0.2902251785114632
Rome,60,Shield,6,7,5,5,10.5,0.285885418608106
Rome,60,Stewards,6,6,5,5,9.5,0.285885418608106
Rome,70,Archive,6,6,5,6,10.0,0.300131189631258
Rome,70,Craft,7,7,4,5,12.5,0.3228114060376904
Rome,70,Flow,6,7,5,6,11.0,0.300131189631258
Rome,70,Hands,6,6,5,4,9.0,0.28216190332914703
Rome,70,Helm,6,7,5,6,11.0,0.300131189631258
Rome,70,Lore,6,6,5,6,10.0,0.300131189631258
Rome,70,Shield,7,7,5,5,11.5,0.30437223093272797
Rome,70,Stewards,6,6,5,5,9.5,0.2913582097091136
Rome,80,Archive,7,7,3,6,14.0,0.39551695142905646
Rome,80,Craft,7,7,3,5,13.5,0.3851998230431163
Rome,80,Flow,7,7,3,6,14.0,0.39551695142905646
Rome,80,Hands,6,6,4,4,10.0,0.33641225182931833
Rome,80,Helm,6,7,5,6,11.0,0.3370695025032574
Rome,80,Lore,6,6,5,7,10.5,0.34667226635538945
Rome,80,Shield,7,7,4,5,12.5,0.3630553258173453
Rome,80,Stewards,7,7,3,5,13.5,0.3851998230431163
Rome,90,Archive,6,6,5,6,10.0,0.3058758447913264
Rome,90,Craft,7,7,3,5,13.5,0.3487754134464197
Rome,90,Flow,7,7,3,6,14.0,0.35793592443943195
Rome,90,Hands,6,6,4,4,10.0,0.3052882559946803
Rome,90,Helm,5,6,6,7,8.5,0.2838447659666318
Rome,90,Lore,5,6,6,7,8.5,0.2838447659666318
Rome,90,Shield,6,7,5,5,10.5,0.2969080738558797
Rome,90,Stewards,6,6,5,5,9.5,0.2969080738558797
Rome,100,Archive,7,7,3,6,14.0,0.43466329028652034
Rome,100,Craft,8,8,3,5,15.5,0.4402504074944749
Rome,100,Flow,8,8,3,6,16.0,0.45110198643041144
Rome,100,Hands,7,7,3,4,13.0,0.41111767501210733
Rome,100,Helm,8,8,3,6,16.0,0.45110198643041144
Rome,100,Lore,7,7,3,7,14.5,0.44572842496378645
Rome,100,Shield,8,8,4,5,14.5,0.41477267756390834
Rome,100,Stewards,7,7,3,5,13.5,0.4231413694822013
Rome,110,Archive,8,8,3,6,16.0,0.4612160482503773
Rome,110,Craft,8,8,3,5,15.5,0.45007950881676034
Rome,110,Flow,8,8,3,6,16.0,0.4612160482503773
Rome,110,Hands,7,7,3,4,13.0,0.4201953233071179
Rome,110,Helm,8,8,3,6,16.0,0.4612160482503773
Rome,110,Lore,8,8,3,7,16.5,0.47194395529116967
Rome,110,Shield,8,8,3,5,15.5,0.45007950881676034
Rome,110,Stewards,7,7,3,5,13.5,0.432526821642979
Rome,120,Archive,8,8,3,6,16.0,0.455847021739299
Rome,120,Craft,8,8,3,6,16.0,0.455847021739299
Rome,120,Flow,7,7,3,6,14.0,0.4392063157185103
Rome,120,Hands,7,7,3,4,13.0,0.4153764745377793
Rome,120,Helm,8,7,3,7,15.5,0.4664278049233025
Rome,120,Lore,7,8,3,8,16.0,0.46118590242572416
Rome,120,Shield,7,7,4,6,13.0,0.41368072540738715
Rome,120,Stewards,7,7,3,5,13.5,0.4275445758977337
Rome,130,Archive,7,7,3,6,14.0,0.4092271209649629
Rome,130,Craft,7,7,3,5,13.5,0.39848803975294383
Rome,130,Flow,7,7,3,6,14.0,0.40922712096496294
Rome,130,Hands,7,7,4,4,12.0,0.36475398885669313
Rome,130,Helm,7,7,4,7,13.5,0.3955602466069554
Rome,130,Lore,7,7,4,7,13.5,0.3955602466069554
Rome,130,Shield,7,7,5,5,11.5,0.353489200337848
Rome,130,Stewards,7,7,3,5,13.5,0.39848803975294383
Rome,140,Archive,8,8,2,6,17.0,0.5249540175592483
Rome,140,Craft,8,8,2,5,16.5,0.5122979739731013
Rome,140,Flow,8,8,2,6,17.0,0.5249540175592483
