Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Russia,1800,Helm,7,7,4,6,13.0,0.344574770085646
Russia,1800,Shield,8,8,3,6,16.0,0.37848768188247267
Russia,1800,Lore,6,6,5,5,9.5,0.30268527671364165
Russia,1800,Stewards,7,7,4,5,12.5,0.3355852704007904
Russia,1800,Craft,6,6,5,5,9.5,0.30268527671364165
Russia,1800,Hands,5,6,6,4,7.0,0.2611821611850717
Russia,1800,Archive,7,7,4,5,12.5,0.3355852704007904
Russia,1800,Flow,6,7,5,5,10.5,0.30268527671364165
Russia,1801,Helm,7,7,4,6,13.0,0.344574770085646
Russia,1801,Shield,8,8,3,6,16.0,0.37848768188247267
Russia,1801,Lore,6,6,5,5,9.5,0.30268527671364165
Russia,1801,Stewards,7,7,4,5,12.5,0.3355852704007904
Russia,1801,Craft,6,6,5,5,9.5,0.30268527671364165
Russia,1801,Hands,5,6,6,4,7.0,0.2611821611850717
Russia,1801,Archive,7,7,4,5,12.5,0.3355852704007904
Russia,1801,Flow,6,7,5,5,10.5,0.30268527671364165
Russia,1802,Helm,7,7,4,6,13.0,0.344574770085646
Russia,1802,Shield,8,8,3,6,16.0,0.37848768188247267
Russia,1802,Lore,6,6,5,5,9.5,0.30268527671364165
Russia,1802,Stewards,7,7,4,5,12.5,0.3355852704007904
Russia,1802,Craft,6,6,5,5,9.5,0.30268527671364165
Russia,1802,Hands,5,6,6,4,7.0,0.2611821611850717
Russia,1802,Archive,7,7,4,5,12.5,0.3355852704007904
Russia,1802,Flow,6,7,5,5,10.5,0.30268527671364165
Russia,1803,Helm,7,7,4,7,13.5,0.35654514707043955
Russia,1803,Shield,8,8,3,6,16.0,0.3821262705822838
Russia,1803,Lore,6,6,5,6,10.0,0.31474740541071533
Russia,1803,Stewards,7,7,4,5,12.5,0.33873562589442596
Russia,1803,Craft,6,6,5,5,9.5,0.30547881567336127
Russia,1803,Hands,5,6,6,4,7.0,0.2635444698086275
Russia,1803,Archive,7,7,4,5,12.5,0.33873562589442596
Russia,1803,Flow,6,7,5,5,10.5,0.30547881567336127
Russia,1804,Helm,7,7,4,7,13.5,0.35654514707043955
Russia,1804,Shield,8,8,3,6,16.0,0.3821262705822838
Russia,1804,Lore,6,6,5,6,10.0,0.31474740541071533
Russia,1804,Stewards,7,7,4,5,12.5,0.33873562589442596
Russia,1804,Craft,6,6,5,5,9.5,0.30547881567336127
Russia,1804,Hands,5,6,6,4,7.0,0.2635444698086275
Russia,1804,Archive,7,7,4,5,12.5,0.33873562589442596
Russia,1804,Flow,6,7,5,5,10.5,0.30547881567336127
Russia,1805,Helm,7,7,5,7,12.5,0.3287675811795994
Russia,1805,Shield,8,8,4,6,15.0,0.352635613376728
Russia,1805,Lore,6,6,5,6,10.0,0.30781349694116183
Russia,1805,Stewards,7,7,4,5,12.5,0.3311812024648787
Russia,1805,Craft,6,6,5,5,9.5,0.29878002367630163
Russia,1805,Hands,5,6,6,4,7.0,0.25787975049372347
Russia,1805,Archive,7,7,4,5,12.5,0.3311812024648787
Russia,1805,Flow,6,7,5,5,10.5,0.29878002367630163
Russia,1806,Helm,7,7,5,7,12.5,0.32324017685218287
Russia,1806,Shield,8,8,4,6,15.0,0.3466274537588439
Russia,1806,Lore,6,6,5,6,10.0,0.3026961149152698
Russia,1806,Stewards,7,7,4,5,12.5,0.32560586629710375
Russia,1806,Craft,6,6,5,5,9.5,0.29383616295020965
Russia,1806,Hands,5,6,7,4,6.0,0.2384968270265447
Russia,1806,Archive,7,7,4,5,12.5,0.32560586629710375
Russia,1806,Flow,6,7,6,5,9.5,0.2766581312687583
Russia,1807,Helm,7,7,6,7,11.5,0.29844253642336455
Russia,1807,Shield,8,8,4,6,15.0,0.3393167348542884
Russia,1807,Lore,6,6,5,6,10.0,0.296469292743775
Russia,1807,Stewards,7,6,5,5,10.5,0.3006498027232062
Russia,1807,Craft,6,6,5,5,9.5,0.28782048121563253
Russia,1807,Hands,5,5,7,4,5.0,0.23375043337300522
Russia,1807,Archive,7,7,4,5,12.5,0.31882180626652845
Russia,1807,Flow,6,6,6,5,8.5,0.2710453017438125
Russia,1808,Helm,7,7,6,7,11.5,0.28123602310122003
Russia,1808,Shield,8,8,5,6,14.0,0.30158183607841366
Russia,1808,Lore,6,6,6,6,9.0,0.2633633135800523
Russia,1808,Stewards,6,6,6,5,8.5,0.25565532836618404
Russia,1808,Craft,6,6,6,5,8.5,0.25565532836618404
Russia,1808,Hands,5,5,7,4,5.0,0.2207361646083715
Russia,1808,Archive,7,7,5,5,11.5,0.28329408015186824
Russia,1808,Flow,6,6,6,5,8.5,0.25565532836618404
Russia,1809,Helm,7,7,6,7,11.5,0.28123602310122003
Russia,1809,Shield,8,8,5,6,14.0,0.30158183607841366
Russia,1809,Lore,6,6,6,6,9.0,0.2633633135800523
Russia,1809,Stewards,6,6,6,5,8.5,0.25565532836618404
Russia,1809,Craft,6,6,6,5,8.5,0.25565532836618404
Russia,1809,Hands,5,5,7,4,5.0,0.2207361646083715
Russia,1809,Archive,7,7,5,5,11.5,0.28329408015186824
Russia,1809,Flow,6,6,6,5,8.5,0.25565532836618404
Russia,1810,Helm,7,7,6,7,11.5,0.28123602310122003
Russia,1810,Shield,8,8,5,6,14.0,0.30158183607841366
Russia,1810,Lore,6,6,6,6,9.0,0.2633633135800523
Russia,1810,Stewards,6,6,6,5,8.5,0.25565532836618404
Russia,1810,Craft,6,6,6,5,8.5,0.25565532836618404
Russia,1810,Hands,5,5,7,4,5.0,0.2207361646083715
Russia,1810,Archive,7,7,5,5,11.5,0.28329408015186824
Russia,1810,Flow,6,6,6,5,8.5,0.25565532836618404
Russia,1811,Helm,7,7,6,7,11.5,0.27862884981639563
Russia,1811,Shield,8,8,5,6,14.0,0.29874789951093444
Russia,1811,Lore,6,6,6,6,9.0,0.2609495401493719
Russia,1811,Stewards,6,6,6,5,8.5,0.25332340168858847
Russia,1811,Craft,6,6,6,5,8.5,0.2533234016885885
Russia,1811,Hands,5,5,7,4,5.0,0.21876421054601014
Russia,1811,Archive,7,7,5,5,11.5,0.2806642983140463
Russia,1811,Flow,6,6,7,5,7.5,0.23853485582782552
Russia,1812,Helm,6,6,8,7,7.5,0.22049078782061687
Russia,1812,Shield,9,9,3,7,18.5,0.3239518597606832
Russia,1812,Lore,7,7,4,7,13.5,0.28845700344638425
Russia,1812,Stewards,5,5,8,5,4.5,0.19798360828008157
Russia,1812,Craft,5,5,8,5,4.5,0.19798360828008152
Russia,1812,Hands,4,4,8,3,1.5,0.17102312476877507
Russia,1812,Archive,6,6,6,5,8.5,0.2345046793993267
Russia,1812,Flow,4,4,9,4,1.0,0.16847703235280329
Russia,1813,Helm,7,7,6,7,11.5,0.30053453054398716
Russia,1813,Shield,9,9,4,7,17.5,0.3604796064135935
Russia,1813,Lore,7,7,4,7,13.5,0.3377886031058324
Russia,1813,Stewards,6,6,6,5,8.5,0.27291643816870914
Russia,1813,Craft,6,6,6,5,8.5,0.27291643816870914
Russia,1813,Hands,5,5,7,4,5.0,0.23533272800934943
Russia,1813,Archive,7,7,5,5,11.5,0.3027599379318115
Russia,1813,Flow,6,7,5,5,10.5,0.2898259155806219
Russia,1814,Helm,7,7,6,7,11.5,0.30053453054398716
Russia,1814,Shield,9,9,4,7,17.5,0.3604796064135935
Russia,1814,Lore,7,7,4,7,13.5,0.3377886031058324
Russia,1814,Stewards,6,6,6,5,8.5,0.27291643816870914
Russia,1814,Craft,6,6,6,5,8.5,0.27291643816870914
Russia,1814,Hands,5,5,7,4,5.0,0.23533272800934943
Russia,1814,Archive,7,7,5,5,11.5,0.3027599379318115
Russia,1814,Flow,6,7,5,5,10.5,0.2898259155806219
Russia,1815,Helm,8,8,4,8,16.0,0.40831578607230995
Russia,1815,Shield,9,9,3,8,19.0,0.4456222683161603
Russia,1815,Lore,7,7,4,7,13.5,0.38591003631146836
Russia,1815,Stewards,7,7,4,5,12.5,0.3663716263928828
Russia,1815,Craft,6,6,5,5,9.5,0.32998469897422505
Russia,1815,Hands,6,6,5,4,9.0,0.3193833197337626
Russia,1815,Archive,7,7,4,5,12.5,0.36637162639288284
Russia,1815,Flow,7,7,4,5,12.5,0.36637162639288284
Russia,1816,Helm,8,8,4,8,16.0,0.40831578607230995
Russia,1816,Shield,9,9,3,8,19.0,0.4456222683161603
Russia,1816,Lore,7,7,4,7,13.5,0.38591003631146836
Russia,1816,Stewards,7,7,4,5,12.5,0.3663716263928828
