Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
SpaceX,2006,Helm,7.0,5.0,5.0,7.0,10.5,0.3183973442380469
SpaceX,2006,Shield,6.0,4.0,4.2,3.0,7.3,0.2841490322403973
SpaceX,2006,Lore,7.0,5.0,4.2,6.0,10.8,0.32544109137914595
SpaceX,2006,Stewards,7.8,4.8,5.0,4.0,9.6,0.30408007383653957
SpaceX,2006,Craft,7.0,6.0,4.0,5.0,11.5,0.32072103822434145
SpaceX,2006,Hands,6.0,5.0,4.0,3.0,8.5,0.28757339452355685
SpaceX,2006,Archive,4.8,3.8,3.0,3.0,7.1,0.28462091704709025
SpaceX,2006,Flow,5.0,3.8,6.2,4.0,4.6000000000000005,0.2469822019737188
SpaceX,2007,Helm,7.0,5.0,6.0,7.0,9.5,0.27815124432317867
SpaceX,2007,Shield,6.0,4.0,4.2,3.0,7.3,0.2634653317484783
SpaceX,2007,Lore,7.0,6.0,5.0,6.0,11.0,0.28762854414676614
SpaceX,2007,Stewards,7.0,4.0,7.0,4.0,6.0,0.24180533212849495
SpaceX,2007,Craft,7.0,6.0,5.0,5.0,10.5,0.28018255118238583
SpaceX,2007,Hands,6.0,5.0,5.0,3.0,7.5,0.25120829599556255
SpaceX,2007,Archive,4.8,3.8,3.0,3.0,7.1,0.2638975030676609
SpaceX,2007,Flow,4.8,3.0,7.4,4.0,2.3999999999999995,0.2106004343451525
SpaceX,2008,Helm,6.8,4.0,8.2,7.0,6.100000000000001,0.20603851793437306
SpaceX,2008,Shield,5.0,3.0,6.0,3.0,3.5,0.19008371966568335
SpaceX,2008,Lore,7.0,6.0,6.0,6.0,10.0,0.22998109864458674
SpaceX,2008,Stewards,6.0,3.0,9.0,4.0,2.0,0.1740668655875944
SpaceX,2008,Craft,7.0,6.0,6.2,5.0,9.3,0.221565098649647
SpaceX,2008,Hands,5.8,5.0,7.2,3.0,5.1000000000000005,0.18536422901667254
SpaceX,2008,Archive,5.0,4.0,5.0,3.0,5.5,0.20171767614397176
SpaceX,2008,Flow,3.8,3.0,9.0,4.0,-0.20000000000000018,0.1528690855523431
SpaceX,2009,Helm,7.2,6.0,4.8,7.0,11.899999999999999,0.34500071286758377
SpaceX,2009,Shield,6.0,5.0,4.0,3.0,8.5,0.3054167101006327
SpaceX,2009,Lore,8.0,6.2,4.0,6.0,13.2,0.36321691687234514
SpaceX,2009,Stewards,8.0,6.0,4.0,4.0,12.0,0.34562957566165664
SpaceX,2009,Craft,7.0,7.0,4.0,5.0,12.5,0.3410002365507431
SpaceX,2009,Hands,6.0,6.0,4.0,3.0,9.5,0.30541671010063265
SpaceX,2009,Archive,6.0,5.0,3.0,4.0,10.0,0.3356276578367866
SpaceX,2009,Flow,6.0,5.0,5.0,4.0,8.0,0.2977039283446062
SpaceX,2010,Helm,8.0,6.2,4.0,7.0,13.7,0.3994673268083326
SpaceX,2010,Shield,6.0,5.0,4.0,3.0,8.5,0.327637538633395
SpaceX,2010,Lore,8.0,7.0,3.0,6.0,15.0,0.413909993706728
SpaceX,2010,Stewards,8.0,7.0,4.0,4.0,13.0,0.3712879783316703
SpaceX,2010,Craft,8.0,7.0,3.8,6.0,14.2,0.39504580595810035
SpaceX,2010,Hands,7.0,6.0,3.0,3.0,11.5,0.3663301005348418
SpaceX,2010,Archive,6.0,5.0,3.0,4.0,10.0,0.36041581841427534
SpaceX,2010,Flow,7.0,6.0,4.0,4.0,11.0,0.35585655621723183
SpaceX,2011,Helm,8.0,7.0,4.0,7.0,14.5,0.4044754128525908
