Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Spain,1800,Helm,4,4,5,6,6.0,0.2680772726906349
Spain,1800,Shield,5,6,4,5,9.5,0.28972213214491704
Spain,1800,Lore,8,7,3,7,15.5,0.3654091841986609
Spain,1800,Stewards,4,4,6,5,4.5,0.24274404544215447
Spain,1800,Craft,5,5,4,5,8.5,0.28972213214491704
Spain,1800,Hands,6,6,4,3,9.5,0.28468068189455964
Spain,1800,Archive,7,7,3,7,14.5,0.3534580204239495
Spain,1800,Flow,4,4,7,5,3.5,0.2281977321655298
Spain,1801,Helm,4,4,5,6,6.0,0.27026379063610817
Spain,1801,Shield,6,6,4,5,10.5,0.3066130843867371
Spain,1801,Lore,8,7,3,7,15.5,0.3685696072638777
Spain,1801,Stewards,4,4,6,5,4.5,0.2446972861462467
Spain,1801,Craft,5,5,4,5,8.5,0.292113907734325
Spain,1801,Hands,6,6,4,3,9.5,0.28702413380387715
Spain,1801,Archive,7,7,3,7,14.5,0.35649112543493117
Spain,1801,Flow,4,4,7,5,3.5,0.23002017018286045
Spain,1802,Helm,4,4,5,6,6.0,0.27703994481218924
Spain,1802,Shield,5,6,3,5,10.5,0.3178683590336311
Spain,1802,Lore,8,7,3,7,15.5,0.37836395356498553
Spain,1802,Stewards,4,4,5,5,5.5,0.26664305393187
Spain,1802,Craft,5,5,4,5,8.5,0.29952616802789767
Spain,1802,Hands,6,6,4,3,9.5,0.2942866360278553
Spain,1802,Archive,7,7,3,7,14.5,0.36589090522142065
Spain,1802,Flow,5,5,6,5,6.5,0.2653758684666114
Spain,1803,Helm,4,4,6,6,5.0,0.24833939461407578
Spain,1803,Shield,5,5,4,5,8.5,0.2851172372398777
Spain,1803,Lore,8,7,3,7,15.5,0.3593244092995292
Spain,1803,Stewards,4,4,6,5,4.5,0.23898346346848523
Spain,1803,Craft,5,5,4,5,8.5,0.28511723723987775
Spain,1803,Hands,6,6,4,3,9.5,0.2801688247599643
Spain,1803,Archive,7,7,3,7,14.5,0.34761837147303104
Spain,1803,Flow,4,4,8,5,2.5,0.21113046761682355
Spain,1804,Helm,3,4,7,6,3.0,0.1923877357710868
Spain,1804,Shield,4,5,5,5,6.5,0.22149861651567218
Spain,1804,Lore,8,7,4,7,14.5,0.29391185897239314
Spain,1804,Stewards,3,3,8,5,0.5,0.17301263495881866
Spain,1804,Craft,5,5,5,5,7.5,0.23390700256332855
Spain,1804,Hands,5,5,6,3,5.5,0.20444712470869858
Spain,1804,Archive,7,7,4,7,13.5,0.28448247791375947
Spain,1804,Flow,3,3,9,5,-0.5,0.1625454071611563
Spain,1805,Helm,3,3,8,6,1.0,0.16689602011782093
Spain,1805,Shield,2,3,9,5,-1.5,0.138914599847215
Spain,1805,Lore,8,7,4,7,14.5,0.2690112122500384
Spain,1805,Stewards,3,3,9,5,-0.5,0.15009508379997896
Spain,1805,Craft,5,5,5,5,7.5,0.21506244986831977
Spain,1805,Hands,5,5,6,3,5.5,0.1883324153636652
Spain,1805,Archive,7,7,4,7,13.5,0.26058495698325784
Spain,1805,Flow,2,2,10,5,-3.5,0.13043217280685745
Spain,1806,Helm,3,3,8,6,1.0,0.16805296987677734
Spain,1806,Shield,2,3,8,5,-0.5,0.14888498167509323
Spain,1806,Lore,8,7,4,7,14.5,0.271064778173648
Spain,1806,Stewards,3,3,9,5,-0.5,0.15112186676178374
Spain,1806,Craft,5,5,5,5,7.5,0.21661656738549226
Spain,1806,Hands,5,5,6,3,5.5,0.18966140164859266
Spain,1806,Archive,7,7,4,7,13.5,0.2625557947365427
Spain,1806,Flow,2,2,10,5,-3.5,0.1313113144349802
Spain,1807,Helm,2,3,9,6,-1.0,0.13720331088435342
Spain,1807,Shield,3,3,8,5,0.5,0.14943554831192815
Spain,1807,Lore,7,6,5,7,11.5,0.22962382671207285
Spain,1807,Stewards,3,2,9,5,-1.5,0.14054720747528554
Spain,1807,Craft,4,4,6,5,4.5,0.179486490324714
Spain,1807,Hands,5,5,7,3,4.5,0.16582174692270477
Spain,1807,Archive,7,6,5,7,11.5,0.22962382671207285
Spain,1807,Flow,2,2,10,5,-3.5,0.12225718758656148
Spain,1808,Helm,1,1,10,6,-5.0,0.09114112082183853
Spain,1808,Shield,2,3,10,4,-3.0,0.08840167131675084
Spain,1808,Lore,6,5,8,7,6.5,0.14073091918527153
Spain,1808,Stewards,2,1,10,5,-4.5,0.09376724010092063
Spain,1808,Craft,3,3,9,5,-0.5,0.10727271366769167
Spain,1808,Hands,4,5,10,3,0.5,0.09871986467024592
Spain,1808,Archive,5,4,8,7,4.5,0.1353508165632241
Spain,1808,Flow,1,1,10,5,-5.5,0.08553650882269312
Spain,1809,Helm,1,2,10,7,-3.5,0.09051704579132554
Spain,1809,Shield,3,4,10,4,-1.0,0.09051704579132551
Spain,1809,Lore,6,5,9,7,5.5,0.12470142722103339
Spain,1809,Stewards,1,1,10,5,-5.5,0.08048776657385068
Spain,1809,Craft,2,2,10,5,-3.5,0.08816616346867365
Spain,1809,Hands,3,4,10,3,-1.5,0.0857179016924575
Spain,1809,Archive,4,3,9,7,1.5,0.11473818272220179
Spain,1809,Flow,1,1,10,5,-5.5,0.08048776657385069
Spain,1810,Helm,2,2,10,7,-2.5,0.09943456685554107
Spain,1810,Shield,3,4,10,4,-1.0,0.09270206162490782
Spain,1810,Lore,6,5,9,8,6.0,0.1310182202408103
Spain,1810,Stewards,1,1,10,5,-5.5,0.08239850749126328
Spain,1810,Craft,2,2,10,5,-3.5,0.09028594019232232
Spain,1810,Hands,3,4,10,3,-1.5,0.08777036667954984
Spain,1810,Archive,4,3,9,8,2.0,0.12123920913084743
Spain,1810,Flow,1,1,10,5,-5.5,0.08239850749126328
Spain,1811,Helm,2,2,10,8,-2.0,0.10428785353205797
Spain,1811,Shield,3,4,10,4,-1.0,0.09334491211864207
Spain,1811,Lore,6,5,9,8,6.0,0.1319925993839527
Spain,1811,Stewards,1,1,10,5,-5.5,0.08296066394032804
Spain,1811,Craft,2,2,10,5,-3.5,0.09090959677753331
Spain,1811,Hands,3,4,10,3,-1.5,0.08837421957161853
Spain,1811,Archive,4,3,9,8,2.0,0.12212344379507847
Spain,1811,Flow,1,1,10,5,-5.5,0.08296066394032801
Spain,1812,Helm,3,3,10,9,0.5,0.11697235652062941
Spain,1812,Shield,4,4,9,4,1.0,0.10927933609816007
Spain,1812,Lore,5,5,9,8,5.0,0.13104646866374423
Spain,1812,Stewards,1,1,10,5,-5.5,0.0852622167644239
Spain,1812,Craft,2,2,10,5,-3.5,0.09346294038383074
Spain,1812,Hands,3,4,10,3,-1.5,0.0908464838877023
Spain,1812,Archive,4,4,9,8,3.0,0.1257436331427417
Spain,1812,Flow,1,1,10,5,-5.5,0.08526221676442389
Spain,1813,Helm,4,4,9,8,3.0,0.14743633737696982
Spain,1813,Shield,5,5,8,4,4.0,0.14385505305371854
Spain,1813,Lore,6,6,8,8,8.0,0.16921565430618443
Spain,1813,Stewards,2,2,9,5,-2.5,0.11569010065394873
Spain,1813,Craft,3,3,9,5,-0.5,0.12478677255053161
Spain,1813,Hands,4,5,9,3,1.5,0.12186322997755854
Spain,1813,Archive,5,5,8,8,6.0,0.16295900345520176
Spain,1813,Flow,2,2,9,5,-2.5,0.11569010065394873
Spain,1814,Helm,4,5,8,7,4.5,0.16730194766043974
Spain,1814,Shield,6,6,7,5,7.5,0.1830196351034874
Spain,1814,Lore,7,6,7,7,9.5,0.20062171126494063
Spain,1814,Stewards,2,2,9,5,-2.5,0.1272616343110406
Spain,1814,Craft,4,4,8,5,2.5,0.1557017410187845
Spain,1814,Hands,5,5,8,3,3.5,0.15258768452716992
Spain,1814,Archive,6,6,7,7,8.5,0.19341865315302526
Spain,1814,Flow,2,2,9,5,-2.5,0.12726163431104062
Spain,1815,Helm,5,5,7,6,6.0,0.20789615621785165
Spain,1815,Shield,6,5,6,5,7.5,0.22398893849713272
Spain,1815,Lore,8,7,5,7,13.5,0.26886003507011796
Spain,1815,Stewards,3,3,8,5,0.5,0.16769088799417503
Spain,1815,Craft,4,4,7,5,3.5,0.19022999913909183
Spain,1815,Hands,5,5,7,3,4.5,0.18639134306006128
Spain,1815,Archive,7,6,5,7,11.5,0.26012778081385396
Spain,1815,Flow,3,3,8,5,0.5,0.16769088799417506
Spain,1816,Helm,5,4,7,6,5.0,0.20307423018729512
Spain,1816,Shield,5,5,6,5,6.5,0.2084893574795532
Spain,1816,Lore,8,7,5,7,13.5,0.2622889595379695
Spain,1816,Stewards,3,3,9,5,-0.5,0.15405868948269383
Spain,1816,Craft,4,4,7,5,3.5,0.18587738666614123
Spain,1816,Hands,5,5,7,3,4.5,0.1821388040209941
Spain,1816,Archive,7,6,5,7,11.5,0.25382142191416934
Spain,1816,Flow,3,3,9,5,-0.5,0.15405868948269383
Spain,1817,Helm,5,4,7,6,5.0,0.20307423018729512
Spain,1817,Shield,5,5,6,5,6.5,0.2084893574795532
Spain,1817,Lore,8,7,5,7,13.5,0.2622889595379695
Spain,1817,Stewards,3,3,9,5,-0.5,0.15405868948269383
Spain,1817,Craft,4,4,7,5,3.5,0.18587738666614123
Spain,1817,Hands,5,5,7,3,4.5,0.1821388040209941
Spain,1817,Archive,7,6,5,7,11.5,0.25382142191416934
Spain,1817,Flow,3,3,9,5,-0.5,0.15405868948269383
Spain,1818,Helm,4,4,8,6,3.0,0.17137299783919394
Spain,1818,Shield,4,4,7,5,3.5,0.1752466742215549
Spain,1818,Lore,8,7,5,7,13.5,0.24623992809580816
Spain,1818,Stewards,2,2,10,5,-3.5,0.12646205015918652
Spain,1818,Craft,4,4,7,5,3.5,0.1752466742215549
Spain,1818,Hands,5,5,7,3,4.5,0.17175250844227127
Spain,1818,Archive,7,6,5,7,11.5,0.23841892779103432
Spain,1818,Flow,3,3,10,5,-1.5,0.13669139261933266
Spain,1819,Helm,4,3,9,6,1.0,0.1487132778444435
Spain,1819,Shield,4,4,8,5,2.5,0.15207307492681393
Spain,1819,Lore,7,6,6,7,10.5,0.2068486613033855
Spain,1819,Stewards,2,2,10,5,-3.5,0.11686562072238467
Spain,1819,Craft,4,4,8,5,2.5,0.15207307492681393
Spain,1819,Hands,5,5,8,3,3.5,0.1490424471986136
Spain,1819,Archive,7,6,6,7,10.5,0.2068486613033855
Spain,1819,Flow,2,2,10,5,-3.5,0.11686562072238468
Spain,1820,Helm,3,3,10,7,-0.5,0.1260140561749663
Spain,1820,Shield,3,3,9,5,-0.5,0.12316782803478914
Spain,1820,Lore,6,5,8,7,6.5,0.16283970260498265
Spain,1820,Stewards,2,2,10,5,-3.5,0.10737679269743568
Spain,1820,Craft,4,4,8,5,2.5,0.13929192516166933
Spain,1820,Hands,5,5,8,3,3.5,0.13655515624904815
Spain,1820,Archive,6,5,7,7,7.5,0.17220720323332703
Spain,1820,Flow,2,2,10,5,-3.5,0.10737679269743568
Spain,1821,Helm,4,4,9,8,3.0,0.15335830479304957
Spain,1821,Shield,4,4,8,5,2.5,0.1467850542955866
Spain,1821,Lore,5,5,9,8,5.0,0.16010286260047638
Spain,1821,Stewards,2,2,10,5,-3.5,0.11293975182294215
Spain,1821,Craft,4,4,8,5,2.5,0.1467850542955866
Spain,1821,Hands,5,5,8,3,3.5,0.1438760065119143
Spain,1821,Archive,6,6,7,8,9.0,0.1863918244412161
Spain,1821,Flow,3,3,9,5,-0.5,0.1296650196869274
Spain,1822,Helm,3,3,10,8,0.0,0.1245573842343867
Spain,1822,Shield,3,3,9,5,-0.5,0.1174755987617557
Spain,1822,Lore,5,5,10,8,4.0,0.13644324859504464
Spain,1822,Stewards,2,2,10,5,-3.5,0.10250305024465223
Spain,1822,Craft,4,4,9,5,1.5,0.1251343897882862
Spain,1822,Hands,5,5,9,3,2.5,0.12266283099496958
Spain,1822,Archive,6,5,8,8,7.0,0.1587334465058953
Spain,1822,Flow,2,2,10,5,-3.5,0.10250305024465223
Spain,1823,Helm,3,4,10,7,0.5,0.13717174167761165
Spain,1823,Shield,5,5,8,5,4.5,0.16038921998738948
Spain,1823,Lore,6,6,8,7,7.5,0.1779575927865005
Spain,1823,Stewards,3,3,9,5,-0.5,0.13403683827667365
Spain,1823,Craft,4,4,8,5,2.5,0.15182701750014246
Spain,1823,Hands,5,5,8,3,3.5,0.14880204702072605
Spain,1823,Archive,7,6,6,7,10.5,0.2064921566864075
Spain,1823,Flow,3,3,9,5,-0.5,0.13403683827667365
