Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
USA,1996,Helm,7.2,8.0,3.8,7.0,14.899999999999999,0.4155788688722773
USA,1996,Shield,7.4,9.0,3.2,6.0,16.2,0.42328727317713305
USA,1996,Lore,6.0,7.2,3.8,7.0,12.899999999999999,0.3969624730324889
USA,1996,Stewards,7.0,8.0,3.4,7.0,15.1,0.4224579302795127
USA,1996,Craft,7.0,8.0,3.0,6.0,15.0,0.42184822716130826
USA,1996,Hands,6.0,7.0,5.0,5.0,10.5,0.3481588576760136
USA,1996,Archive,7.0,7.4,3.0,7.0,14.9,0.43253073864037195
USA,1996,Flow,7.0,8.2,3.0,7.0,15.7,0.43253073864037195
USA,1997,Helm,7.4,8.4,3.0,7.0,16.3,0.4627172147701734
USA,1997,Shield,7.8,9.0,3.0,6.0,16.8,0.45832554487845023
USA,1997,Lore,6.2,7.8,3.2,7.0,14.3,0.43715456680094117
USA,1997,Stewards,7.2,9.0,3.0,7.0,16.7,0.45942965965061244
USA,1997,Craft,7.0,8.0,3.0,6.6,15.3,0.45161159882790664
USA,1997,Hands,6.0,7.0,4.0,5.0,11.5,0.38974361677791824
USA,1997,Archive,7.0,7.8,3.0,7.0,15.3,0.4561047099054306
USA,1997,Flow,8.0,9.0,2.2,7.2,18.400000000000002,0.49715680747989033
USA,1998,Helm,4.8,7.0,6.8,7.0,8.5,0.2894524042884029
USA,1998,Shield,7.0,9.0,3.6,6.0,15.4,0.3747947648637901
USA,1998,Lore,5.8,7.4,4.4,7.0,12.299999999999999,0.3499508321698291
USA,1998,Stewards,7.0,9.0,3.2,7.0,16.3,0.3932723160066867
USA,1998,Craft,7.0,8.0,3.0,6.4,15.2,0.39209519604148807
USA,1998,Hands,6.0,7.0,4.0,5.0,11.5,0.34113155567077386
USA,1998,Archive,5.2,7.2,5.8,7.0,10.100000000000001,0.31345601698689224
USA,1998,Flow,7.0,9.0,3.2,7.0,16.3,0.3932723160066867
USA,1999,Helm,6.2,7.0,5.0,7.0,11.7,0.35994917795819437
USA,1999,Shield,7.0,9.0,5.0,6.0,14.0,0.36186413713471743
USA,1999,Lore,6.2,7.6,4.0,7.0,13.3,0.3822014746627462
USA,1999,Stewards,7.0,9.0,3.6,8.0,16.4,0.41304133617647165
USA,1999,Craft,7.0,8.0,3.0,7.0,15.5,0.41787799220523864
USA,1999,Hands,6.0,7.0,4.0,5.0,11.5,0.35784227108419453
USA,1999,Archive,6.2,7.2,3.8,7.0,13.100000000000001,0.38677960007583284
USA,1999,Flow,7.0,9.0,3.2,8.0,16.8,0.42279846884571587
USA,2000,Helm,4.6,6.8,6.8,7.0,8.099999999999998,0.25990601373357736
USA,2000,Shield,7.0,8.0,4.0,6.0,14.0,0.33060892978349876
USA,2000,Lore,5.4,7.6,5.0,7.0,11.5,0.3002849910502503
USA,2000,Stewards,6.0,8.0,5.6,7.6,12.2,0.301770292019437
USA,2000,Craft,6.4,8.0,4.4,7.0,13.5,0.3238305861895269
USA,2000,Hands,6.0,7.0,4.8,5.0,10.7,0.2941739795658856
USA,2000,Archive,5.2,7.0,5.8,7.0,9.899999999999999,0.2838120668368981
USA,2000,Flow,5.2,8.0,5.6,8.0,11.6,0.29544759032350126
USA,2001,Helm,7.4,7.0,8.2,8.0,10.200000000000001,0.24306544874121797
USA,2001,Shield,8.2,8.0,7.4,7.0,12.299999999999999,0.25593923542068875
USA,2001,Lore,6.2,7.0,6.6,8.0,10.6,0.25610211266210564
USA,2001,Stewards,5.4,6.6,6.8,7.0,8.7,0.23883849093078457
USA,2001,Craft,5.8,7.0,6.8,7.0,9.5,0.24286304221750418
USA,2001,Hands,6.4,6.0,7.8,6.0,7.6000000000000005,0.22815003334494863
USA,2001,Archive,6.0,7.0,6.8,8.0,10.2,0.2512421409730721
