Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
WorldCom,1990,Helm,8,7,4,6,14.0,0.37810770970771695
WorldCom,1990,Shield,6,4,5,4,7.0,0.30951121876783105
WorldCom,1990,Lore,9,8,2,5,17.5,0.4290027788726483
WorldCom,1990,Stewards,8,7,3,4,14.0,0.3814439471530721
WorldCom,1990,Craft,7,7,4,5,12.5,0.3548183074979209
WorldCom,1990,Hands,8,7,4,4,13.0,0.3596687497831705
WorldCom,1990,Archive,5,4,6,4,5.0,0.27560414292126234
WorldCom,1990,Flow,7,6,5,5,10.5,0.3342357259519907
WorldCom,1991,Helm,8,7,4,6,14.0,0.3735006168117083
WorldCom,1991,Shield,6,4,5,4,7.0,0.305858136999026
WorldCom,1991,Lore,9,8,3,5,16.5,0.40027374614915046
WorldCom,1991,Stewards,8,7,3,4,14.0,0.376788582469117
WorldCom,1991,Craft,7,7,4,5,12.5,0.3505431062241469
WorldCom,1991,Hands,8,7,4,4,13.0,0.35532514094540507
WorldCom,1991,Archive,5,4,6,4,5.0,0.2723983634919643
WorldCom,1991,Flow,7,6,5,5,10.5,0.33024682211809936
WorldCom,1992,Helm,9,8,5,7,15.5,0.3506690863283123
WorldCom,1992,Shield,5,4,6,4,5.0,0.2573840653251649
WorldCom,1992,Lore,9,8,3,6,17.0,0.38496941677575297
WorldCom,1992,Stewards,9,8,4,5,15.5,0.3559514780341149
WorldCom,1992,Craft,6,7,5,5,10.5,0.29819385309032664
WorldCom,1992,Hands,7,7,5,4,11.0,0.3027514783052832
WorldCom,1992,Archive,4,4,7,4,3.0,0.22717286874321493
WorldCom,1992,Flow,8,7,6,6,12.0,0.3130243864504258
WorldCom,1993,Helm,9,9,6,7,15.5,0.3108743426320649
WorldCom,1993,Shield,4,4,7,4,3.0,0.21415848647511002
WorldCom,1993,Lore,10,9,3,6,19.0,0.37173631445787186
WorldCom,1993,Stewards,9,9,4,6,17.0,0.34140826889408926
WorldCom,1993,Craft,6,7,6,5,9.5,0.26421994819882283
WorldCom,1993,Hands,6,7,6,4,9.0,0.25582931818608373
WorldCom,1993,Archive,3,4,9,4,0.0,0.17531577185634925
WorldCom,1993,Flow,9,8,7,7,13.5,0.2932419588082376
WorldCom,1994,Helm,9,9,6,7,15.5,0.3113418181675454
WorldCom,1994,Shield,4,4,8,4,2.0,0.2014541051338417
WorldCom,1994,Lore,10,9,3,6,19.0,0.3723188207263944
WorldCom,1994,Stewards,9,9,4,6,17.0,0.3419319962536123
WorldCom,1994,Craft,7,7,6,5,10.5,0.27650805644075815
WorldCom,1994,Hands,7,7,6,4,10.0,0.2686626506606715
WorldCom,1994,Archive,3,4,10,4,-1.0,0.16467506241628962
WorldCom,1994,Flow,9,8,7,7,13.5,0.2936781289055772
WorldCom,1995,Helm,9,10,5,8,18.0,0.35311615191297213
WorldCom,1995,Shield,3,4,8,5,1.5,0.20591552301194938
WorldCom,1995,Lore,10,10,3,7,20.5,0.39875157761248065
WorldCom,1995,Stewards,10,10,4,6,19.0,0.3701794852144716
WorldCom,1995,Craft,8,8,6,6,13.0,0.3091327819001484
WorldCom,1995,Hands,8,8,6,5,12.5,0.3016489370931394
WorldCom,1995,Archive,2,4,10,4,-2.0,0.15725772437074315
WorldCom,1995,Flow,10,9,7,8,16.0,0.3234567056281974
WorldCom,1996,Helm,10,10,5,9,19.5,0.4019641087557416
WorldCom,1996,Shield,3,4,9,5,0.5,0.20876596661149258
WorldCom,1996,Lore,10,10,2,8,22.0,0.4674958700506831
WorldCom,1996,Stewards,10,10,3,7,20.5,0.43455210753936646
WorldCom,1996,Craft,9,9,5,7,16.5,0.37630286761940074
WorldCom,1996,Hands,9,9,6,6,15.0,0.34722984663033635
WorldCom,1996,Archive,2,3,10,4,-3.0,0.16968872641403968
WorldCom,1996,Flow,10,10,6,9,18.5,0.3793302842478716
WorldCom,1997,Helm,10,10,4,9,20.5,0.4330787022828887
WorldCom,1997,Shield,2,4,9,5,-0.5,0.19583251393609888
WorldCom,1997,Lore,10,10,2,9,22.5,0.4840224850746046
WorldCom,1997,Stewards,10,10,3,8,21.0,0.4503226498177022
WorldCom,1997,Craft,9,10,5,8,18.0,0.39058390608136984
WorldCom,1997,Hands,9,9,6,7,15.5,0.3608284195356761
WorldCom,1997,Archive,1,3,10,4,-4.0,0.15380098327642516
WorldCom,1997,Flow,10,10,6,10,19.0,0.3925945087757657
WorldCom,1998,Helm,10,10,5,10,20.0,0.40710575878809774
WorldCom,1998,Shield,2,4,10,5,-1.5,0.17998516065809625
WorldCom,1998,Lore,10,10,2,10,23.0,0.4808793982035466
