Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Canada,1850,Helm,3.8,4.0,5.2,4.0
Canada,1850,Shield,3.8,3.0,4.4,3.0
Canada,1850,Lore,5.0,4.0,4.2,5.0
Canada,1850,Stewards,5.0,5.0,4.0,4.4
Canada,1850,Craft,4.8,5.0,4.2,4.0
Canada,1850,Hands,3.8,4.0,5.2,3.0
Canada,1850,Archive,5.0,4.0,4.2,4.0
Canada,1850,Flow,5.0,5.0,4.2,4.0
Canada,1860,Helm,3.0,4.0,6.2,4.0
Canada,1860,Shield,4.0,3.0,5.2,3.0
Canada,1860,Lore,5.0,5.0,4.2,5.0
Canada,1860,Stewards,5.0,6.0,4.0,4.0
Canada,1860,Craft,5.0,5.0,4.2,4.0
Canada,1860,Hands,3.8,4.0,5.2,3.0
Canada,1860,Archive,5.0,4.0,4.4,4.0
Canada,1860,Flow,5.0,6.0,4.2,4.0
Canada,1867,Helm,6.0,5.0,4.2,6.0
Canada,1867,Shield,5.0,4.0,4.0,4.0
Canada,1867,Lore,6.0,5.0,4.0,6.0
Canada,1867,Stewards,6.0,6.0,3.8,5.0
Canada,1867,Craft,5.0,5.0,4.0,5.0
Canada,1867,Hands,5.0,4.0,5.0,4.0
Canada,1867,Archive,6.0,5.0,3.0,5.8
Canada,1867,Flow,6.0,6.0,3.6,5.0
Canada,1870,Helm,4.8,5.0,6.2,5.0
Canada,1870,Shield,5.0,4.0,6.2,4.0
Canada,1870,Lore,6.0,5.0,4.0,6.0
Canada,1870,Stewards,5.0,6.0,5.0,4.0
Canada,1870,Craft,5.0,5.0,5.0,4.0
Canada,1870,Hands,4.0,4.0,6.2,3.0
Canada,1870,Archive,5.0,5.0,4.0,5.0
Canada,1870,Flow,5.0,5.0,5.0,4.0
Canada,1880,Helm,6.0,6.0,4.2,5.8
Canada,1880,Shield,5.0,5.0,4.0,4.0
Canada,1880,Lore,6.0,5.0,4.0,6.0
Canada,1880,Stewards,6.0,7.0,4.0,5.0
Canada,1880,Craft,6.0,6.0,4.2,5.0
Canada,1880,Hands,5.0,5.0,5.0,4.0
Canada,1880,Archive,6.0,5.0,3.0,6.0
Canada,1880,Flow,6.0,7.0,4.0,5.0
Canada,1885,Helm,4.8,6.0,6.4,5.0
Canada,1885,Shield,5.0,5.0,6.0,4.0
Canada,1885,Lore,6.0,5.0,5.0,6.0
Canada,1885,Stewards,6.0,7.0,4.2,5.0
Canada,1885,Craft,6.0,6.0,5.0,5.0
Canada,1885,Hands,4.0,4.8,6.4,3.0
Canada,1885,Archive,5.0,5.0,5.0,5.0
Canada,1885,Flow,6.0,7.0,4.4,5.0
Canada,1900,Helm,7.0,7.0,3.0,6.0
Canada,1900,Shield,6.0,5.0,3.0,5.0
Canada,1900,Lore,6.0,6.0,3.0,6.0
Canada,1900,Stewards,7.0,7.0,3.0,6.0
Canada,1900,Craft,6.0,6.0,3.0,5.0
Canada,1900,Hands,6.0,6.0,4.0,4.0
Canada,1900,Archive,7.0,6.0,3.0,6.0
Canada,1900,Flow,7.0,7.0,3.0,6.0
Canada,1910,Helm,7.0,7.0,4.0,6.2
Canada,1910,Shield,5.0,5.0,4.2,5.0
Canada,1910,Lore,6.0,6.0,3.0,6.2
Canada,1910,Stewards,7.0,8.0,3.0,6.0
Canada,1910,Craft,6.2,7.0,3.0,5.0
Canada,1910,Hands,6.0,6.0,4.0,4.0
Canada,1910,Archive,7.0,6.0,3.0,6.2
Canada,1910,Flow,7.0,8.0,3.0,6.0
Canada,1914,Helm,6.0,6.0,6.0,5.8
Canada,1914,Shield,6.0,6.0,7.0,5.0
Canada,1914,Lore,6.0,5.0,5.0,6.0
Canada,1914,Stewards,6.0,7.0,5.0,5.0
Canada,1914,Craft,6.0,6.0,6.0,5.0
Canada,1914,Hands,5.0,5.0,7.0,4.0
Canada,1914,Archive,6.0,5.0,5.0,6.0
Canada,1914,Flow,6.0,6.0,6.0,5.0
Canada,1918,Helm,4.8,6.0,7.2,5.0
Canada,1918,Shield,6.0,7.0,7.0,5.0
Canada,1918,Lore,5.0,5.0,7.2,5.0
Canada,1918,Stewards,6.0,7.0,6.0,5.0
Canada,1918,Craft,5.0,6.0,7.0,4.0
Canada,1918,Hands,4.0,4.8,8.2,3.0
Canada,1918,Archive,5.0,5.0,6.2,5.0
Canada,1918,Flow,5.0,6.0,7.0,4.0
Canada,1921,Helm,6.0,6.0,5.0,5.0
Canada,1921,Shield,5.0,5.0,5.0,4.0
Canada,1921,Lore,6.0,5.0,4.0,6.0
Canada,1921,Stewards,6.0,6.0,5.0,5.0
Canada,1921,Craft,5.0,5.0,5.0,4.0
Canada,1921,Hands,5.0,5.0,5.2,4.0
