Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Chile,1875,Helm,6.0,5.0,3.0,5.0
Chile,1875,Shield,5.8,4.8,2.8,4.4
Chile,1875,Lore,6.2,5.0,3.0,6.0
Chile,1875,Stewards,6.8,6.0,3.2,5.2
Chile,1875,Craft,5.0,5.0,2.8,4.0
Chile,1875,Hands,4.0,4.0,4.8,3.0
Chile,1875,Archive,5.2,5.0,2.8,5.0
Chile,1875,Flow,6.0,6.2,3.0,5.2
Chile,1876,Helm,5.8,5.0,2.8,5.2
Chile,1876,Shield,5.8,5.0,3.0,4.2
Chile,1876,Lore,6.0,5.0,3.0,5.8
Chile,1876,Stewards,6.8,6.2,3.0,5.0
Chile,1876,Craft,5.2,5.0,3.0,4.0
Chile,1876,Hands,3.8,4.0,4.6,3.0
Chile,1876,Archive,5.0,4.8,2.6,5.0
Chile,1876,Flow,6.0,6.2,2.8,5.0
Chile,1877,Helm,6.0,5.0,3.0,5.0
Chile,1877,Shield,6.2,5.0,3.0,4.2
Chile,1877,Lore,6.2,5.0,3.2,6.0
Chile,1877,Stewards,6.8,6.0,3.0,5.2
Chile,1877,Craft,5.0,5.0,3.0,4.0
Chile,1877,Hands,4.0,3.8,5.0,3.2
Chile,1877,Archive,5.0,5.0,3.0,5.0
Chile,1877,Flow,5.8,6.2,3.0,5.0
Chile,1878,Helm,6.2,5.2,4.0,4.8
Chile,1878,Shield,6.0,5.2,3.6,4.2
Chile,1878,Lore,6.0,5.0,2.6,6.2
Chile,1878,Stewards,6.6,5.8,3.2,5.0
Chile,1878,Craft,5.0,4.8,3.0,4.0
Chile,1878,Hands,4.2,4.2,4.8,3.0
Chile,1878,Archive,5.2,5.0,3.0,5.0
Chile,1878,Flow,6.0,6.2,4.0,5.0
Chile,1879,Helm,7.0,5.8,5.2,5.8
Chile,1879,Shield,7.0,6.2,5.8,4.6
Chile,1879,Lore,7.0,5.2,3.2,6.0
Chile,1879,Stewards,5.8,6.0,3.8,5.2
Chile,1879,Craft,5.0,5.2,3.8,4.0
Chile,1879,Hands,5.2,4.6,6.0,2.8
Chile,1879,Archive,4.8,5.0,4.0,5.2
Chile,1879,Flow,5.0,5.0,4.8,5.0
Chile,1880,Helm,7.0,7.0,5.0,6.0
Chile,1880,Shield,7.0,7.2,5.0,5.0
Chile,1880,Lore,7.0,5.2,3.0,6.0
Chile,1880,Stewards,6.0,5.8,4.0,5.2
Chile,1880,Craft,5.0,5.0,4.0,4.0
Chile,1880,Hands,4.8,4.8,6.0,3.0
Chile,1880,Archive,5.0,5.0,4.0,5.0
Chile,1880,Flow,5.0,5.4,4.8,5.0
Chile,1881,Helm,6.6,7.0,5.0,6.2
Chile,1881,Shield,8.0,7.2,5.0,5.0
