Society,Year,Node,Coherence,Capacity,Stress,Abstraction
China,1800,Helm,5.8,6.0,3.6,7.2
China,1800,Shield,4.6,5.4,3.6,5.4
China,1800,Lore,7.0,6.0,3.2,8.2
China,1800,Stewards,6.6,6.6,3.8,5.0
China,1800,Craft,5.2,5.2,4.2,4.8
China,1800,Hands,4.8,4.8,5.2,3.2
China,1800,Archive,6.8,5.6,2.8,6.2
China,1800,Flow,4.6,6.4,4.0,5.2
China,1801,Helm,6.0,5.8,4.2,6.6
China,1801,Shield,5.2,4.8,4.4,5.0
China,1801,Lore,7.2,5.8,3.0,7.6
China,1801,Stewards,5.8,6.0,4.4,4.6
China,1801,Craft,5.2,5.0,3.8,5.4
China,1801,Hands,4.8,4.6,5.0,3.0
China,1801,Archive,6.8,5.6,3.4,6.0
China,1801,Flow,5.0,6.0,4.0,4.6
China,1802,Helm,5.4,6.2,4.2,6.8
China,1802,Shield,5.2,4.4,4.2,5.6
China,1802,Lore,7.4,6.6,2.8,7.8
China,1802,Stewards,5.8,5.8,4.2,5.4
China,1802,Craft,5.2,4.8,4.0,4.8
China,1802,Hands,4.8,5.4,4.8,3.8
China,1802,Archive,7.0,5.6,3.0,5.8
China,1802,Flow,5.0,6.2,3.4,5.0
China,1803,Helm,6.0,6.6,3.8,6.6
China,1803,Shield,5.2,5.2,3.8,4.8
China,1803,Lore,7.2,5.6,2.8,8.4
China,1803,Stewards,5.6,6.0,3.8,4.8
China,1803,Craft,4.8,4.8,3.8,5.0
China,1803,Hands,4.8,4.8,4.8,2.8
China,1803,Archive,7.6,6.2,3.2,6.0
China,1803,Flow,5.0,6.0,4.2,5.4
China,1804,Helm,5.6,6.0,4.2,7.2
China,1804,Shield,5.2,5.2,4.0,5.0
China,1804,Lore,7.0,5.6,2.4,8.0
China,1804,Stewards,6.2,6.0,3.6,5.0
China,1804,Craft,5.2,5.0,4.2,5.0
China,1804,Hands,5.0,5.0,5.2,2.8
China,1804,Archive,7.0,6.2,3.0,6.0
China,1804,Flow,5.0,6.0,4.2,5.0
China,1805,Helm,6.0,5.8,4.2,6.8
China,1805,Shield,4.8,5.0,4.2,4.8
China,1805,Lore,7.0,6.0,2.6,8.0
China,1805,Stewards,5.8,6.2,3.6,4.8
China,1805,Craft,5.4,5.2,4.0,5.0
China,1805,Hands,4.6,4.8,5.4,2.8
China,1805,Archive,7.2,6.0,3.2,6.2
China,1805,Flow,5.0,6.0,4.0,4.8
China,1806,Helm,5.8,5.6,4.4,7.2
China,1806,Shield,4.8,5.2,4.0,4.8
China,1806,Lore,7.0,5.8,2.8,8.2
China,1806,Stewards,6.0,5.8,4.2,4.8
China,1806,Craft,4.8,4.8,3.6,4.8
China,1806,Hands,5.2,5.0,4.8,3.0
China,1806,Archive,6.6,5.8,3.0,6.0
China,1806,Flow,5.2,6.4,4.2,5.4
China,1807,Helm,5.8,6.0,4.2,7.2
China,1807,Shield,5.0,5.0,4.2,5.2
China,1807,Lore,7.4,6.4,2.8,7.8
China,1807,Stewards,6.0,5.6,3.6,5.2
China,1807,Craft,4.8,5.0,4.0,5.2
China,1807,Hands,5.2,5.2,5.0,2.2
China,1807,Archive,6.8,6.0,3.0,6.0
China,1807,Flow,5.2,6.4,4.0,5.4
China,1808,Helm,5.8,6.4,4.6,6.8
China,1808,Shield,5.0,5.0,3.8,5.4
China,1808,Lore,6.6,6.0,3.0,8.0
China,1808,Stewards,6.0,6.0,3.8,4.8
China,1808,Craft,4.8,5.2,4.2,4.6
China,1808,Hands,4.8,5.6,5.0,2.8
China,1808,Archive,7.0,5.8,3.2,6.0
China,1808,Flow,4.8,6.4,4.0,5.2
China,1809,Helm,5.8,6.0,4.2,6.8
China,1809,Shield,5.4,5.2,4.4,5.4
China,1809,Lore,7.0,5.6,2.6,8.0
China,1809,Stewards,5.8,6.0,4.0,5.4
China,1809,Craft,4.8,5.4,3.8,5.0
China,1809,Hands,5.0,5.0,5.0,3.4
China,1809,Archive,7.0,5.8,3.2,5.8
China,1809,Flow,4.6,6.2,4.0,5.0
China,1810,Helm,6.0,6.0,4.4,5.8
China,1810,Shield,5.2,4.6,4.0,5.4
China,1810,Lore,6.8,5.8,2.8,8.0
China,1810,Stewards,5.8,6.0,3.8,5.0
China,1810,Craft,4.8,4.8,3.2,4.8
China,1810,Hands,4.2,4.8,4.8,3.0
China,1810,Archive,6.2,5.8,3.0,6.2
China,1810,Flow,4.8,6.0,4.4,5.2
China,1811,Helm,5.0,5.0,5.0,5.8
China,1811,Shield,5.0,4.6,4.8,4.8
China,1811,Lore,7.2,6.0,2.8,7.6
China,1811,Stewards,5.0,6.2,4.0,4.6
China,1811,Craft,5.0,5.4,3.6,4.8
China,1811,Hands,4.0,4.8,4.8,2.4
China,1811,Archive,6.0,6.0,3.2,5.6
China,1811,Flow,5.0,4.6,4.2,5.2
China,1812,Helm,5.4,5.2,5.4,5.8
China,1812,Shield,5.2,4.6,5.2,4.8
China,1812,Lore,6.8,6.2,3.2,7.6
China,1812,Stewards,5.4,6.2,4.2,4.6
China,1812,Craft,5.2,5.2,4.4,4.8
China,1812,Hands,3.8,4.8,5.2,3.2
China,1812,Archive,6.2,6.4,3.0,6.0
China,1812,Flow,5.2,5.0,4.2,4.8
China,1813,Helm,5.0,5.4,5.0,6.2
China,1813,Shield,5.2,5.0,4.4,5.4
China,1813,Lore,6.8,6.0,3.0,8.2
China,1813,Stewards,4.8,6.0,3.8,4.8
China,1813,Craft,4.8,4.8,4.2,4.8
China,1813,Hands,3.4,4.8,5.0,2.6
China,1813,Archive,5.6,6.2,3.2,6.4
China,1813,Flow,4.8,5.4,3.6,5.2
China,1814,Helm,4.8,4.8,4.8,6.0
China,1814,Shield,5.0,5.0,5.0,4.8
China,1814,Lore,7.4,6.0,3.0,8.0
China,1814,Stewards,5.0,6.0,4.0,4.8
China,1814,Craft,5.0,5.2,3.8,4.4
China,1814,Hands,4.2,4.4,5.0,2.6
China,1814,Archive,5.8,6.2,3.0,5.8
China,1814,Flow,5.0,5.2,4.2,5.4
China,1815,Helm,5.0,4.8,4.8,5.6
China,1815,Shield,4.8,5.0,4.8,5.0
China,1815,Lore,7.2,6.2,3.2,7.8
China,1815,Stewards,5.2,6.2,4.2,5.2
China,1815,Craft,5.6,4.8,3.6,4.8
China,1815,Hands,3.8,5.2,5.2,3.0
China,1815,Archive,5.6,5.8,3.0,6.2
China,1815,Flow,4.6,4.8,4.0,5.0
China,1816,Helm,5.0,5.0,5.2,6.0
China,1816,Shield,5.0,5.0,5.2,5.2
China,1816,Lore,7.0,5.6,3.2,8.2
China,1816,Stewards,5.0,6.2,3.6,5.4
China,1816,Craft,4.6,5.2,3.8,5.2
China,1816,Hands,4.2,4.6,5.0,2.6
China,1816,Archive,6.4,5.8,3.4,5.8
China,1816,Flow,4.8,4.8,3.6,4.8
China,1817,Helm,4.8,4.6,5.0,5.6
China,1817,Shield,5.2,5.0,5.4,4.8
