Society,Year,Node,Coherence,Capacity,Stress,Abstraction
France,1850,Helm,4.8,5.0,7.2,5.0
France,1850,Shield,6.0,6.0,5.2,4.0
France,1850,Lore,6.2,5.2,4.0,5.0
France,1850,Stewards,5.0,5.0,5.2,4.0
France,1850,Craft,5.0,5.0,4.2,4.2
France,1850,Hands,6.0,6.0,4.2,3.0
France,1850,Archive,5.2,4.2,4.0,4.0
France,1850,Flow,5.0,5.0,4.2,4.0
France,1851,Helm,5.8,6.0,6.0,6.0
France,1851,Shield,6.0,6.0,4.2,4.0
France,1851,Lore,6.2,6.0,3.6,6.0
France,1851,Stewards,6.0,6.0,4.4,5.0
France,1851,Craft,6.0,6.0,4.0,4.4
France,1851,Hands,6.0,6.0,4.0,4.0
France,1851,Archive,5.2,4.4,4.0,4.0
France,1851,Flow,6.0,6.0,4.0,4.0
France,1852,Helm,7.0,7.2,4.0,6.2
France,1852,Shield,7.0,7.2,3.0,5.0
France,1852,Lore,6.2,6.2,2.8,6.0
France,1852,Stewards,7.0,7.0,4.0,6.0
France,1852,Craft,6.0,6.0,3.0,5.2
France,1852,Hands,6.0,6.0,3.0,4.0
France,1852,Archive,5.2,5.2,3.8,5.0
France,1852,Flow,6.0,7.0,3.0,5.0
France,1853,Helm,7.0,7.2,4.0,6.2
France,1853,Shield,7.0,7.2,3.0,5.0
France,1853,Lore,6.2,6.2,2.8,6.0
France,1853,Stewards,7.0,7.0,4.0,6.0
France,1853,Craft,6.0,6.0,3.0,5.2
France,1853,Hands,6.0,6.0,3.0,4.0
France,1853,Archive,5.2,5.2,3.8,5.0
France,1853,Flow,6.0,7.0,3.0,5.0
France,1854,Helm,7.0,7.2,4.0,6.2
France,1854,Shield,7.0,7.2,3.0,5.0
France,1854,Lore,6.2,6.2,2.8,6.0
France,1854,Stewards,7.0,7.0,4.0,6.0
France,1854,Craft,6.0,6.0,3.0,5.2
France,1854,Hands,6.0,6.0,3.0,4.0
France,1854,Archive,5.2,5.2,3.8,5.0
France,1854,Flow,6.0,7.0,3.0,5.0
France,1855,Helm,7.0,7.2,4.0,6.2
France,1855,Shield,7.0,7.2,3.0,5.0
France,1855,Lore,6.2,6.2,2.8,6.0
France,1855,Stewards,7.0,7.0,4.0,6.0
France,1855,Craft,6.0,6.0,3.0,5.2
France,1855,Hands,6.0,6.0,3.0,4.0
France,1855,Archive,5.2,5.2,3.8,5.0
France,1855,Flow,6.0,7.0,3.0,5.0
France,1856,Helm,7.0,7.2,4.0,6.2
France,1856,Shield,7.0,7.2,4.0,5.0
France,1856,Lore,6.4,6.2,2.8,6.0
France,1856,Stewards,7.0,7.0,4.0,6.0
France,1856,Craft,6.0,6.0,3.0,6.0
France,1856,Hands,6.0,6.0,3.0,4.0
France,1856,Archive,6.0,5.2,3.8,5.0
France,1856,Flow,6.0,7.0,3.0,6.0
France,1857,Helm,7.0,7.2,4.0,6.2
France,1857,Shield,7.0,7.2,4.0,5.0
France,1857,Lore,7.2,6.2,2.8,6.0
France,1857,Stewards,7.0,7.0,3.0,6.0
France,1857,Craft,7.0,7.0,3.0,6.2
France,1857,Hands,7.0,6.0,3.0,4.0
France,1857,Archive,6.2,5.2,3.8,5.0
France,1857,Flow,7.0,7.0,3.0,6.0
France,1858,Helm,7.0,7.2,4.0,6.2
France,1858,Shield,7.0,7.2,4.0,5.0
France,1858,Lore,7.2,6.2,2.8,6.0
France,1858,Stewards,7.0,7.0,3.0,6.0
France,1858,Craft,7.0,7.0,3.0,6.2
France,1858,Hands,7.0,6.0,3.0,4.0
France,1858,Archive,6.2,5.2,3.8,5.0
France,1858,Flow,7.0,7.0,3.0,6.0
France,1859,Helm,7.0,7.2,4.0,6.2
France,1859,Shield,7.0,7.2,4.0,5.0
France,1859,Lore,7.2,6.2,2.8,6.0
France,1859,Stewards,7.0,7.0,3.0,6.0
France,1859,Craft,7.0,7.0,3.0,6.2
France,1859,Hands,7.0,6.0,3.0,4.0
France,1859,Archive,6.2,5.2,3.8,5.0
France,1859,Flow,7.0,7.0,3.0,6.0
France,1860,Helm,7.0,7.2,4.0,6.2
France,1860,Shield,7.0,7.2,4.0,5.0
France,1860,Lore,7.2,6.2,2.8,6.0
France,1860,Stewards,7.0,7.0,3.0,6.0
France,1860,Craft,7.0,7.0,3.0,6.2
France,1860,Hands,7.0,6.0,3.0,4.0
France,1860,Archive,6.2,5.2,3.8,5.0
France,1860,Flow,7.0,7.0,3.0,6.0
France,1861,Helm,7.0,7.2,4.0,6.2
France,1861,Shield,7.0,7.2,4.0,5.0
France,1861,Lore,7.2,6.2,2.8,6.0
France,1861,Stewards,7.0,7.0,3.0,6.0
France,1861,Craft,7.0,7.0,3.0,6.2
France,1861,Hands,7.0,6.0,3.0,4.0
France,1861,Archive,6.2,5.2,3.8,5.0
France,1861,Flow,7.0,7.0,3.0,6.0
France,1862,Helm,7.0,7.2,4.0,6.2
France,1862,Shield,7.0,7.2,4.0,5.0
France,1862,Lore,7.2,6.2,2.8,6.0
France,1862,Stewards,7.0,7.0,3.0,6.0
France,1862,Craft,7.0,7.0,3.0,6.2
France,1862,Hands,7.0,6.0,3.0,4.0
France,1862,Archive,6.2,5.2,3.8,5.0
France,1862,Flow,7.0,7.0,3.0,6.0
France,1863,Helm,7.0,7.2,4.0,6.2
France,1863,Shield,7.0,7.2,4.0,5.0
France,1863,Lore,7.2,6.2,2.8,6.0
France,1863,Stewards,7.0,7.0,3.0,6.0
France,1863,Craft,7.0,7.0,3.0,6.2
France,1863,Hands,7.0,6.0,3.0,4.0
France,1863,Archive,6.2,5.2,3.8,5.0
France,1863,Flow,7.0,7.0,3.0,6.0
France,1864,Helm,7.0,7.2,4.0,6.2
France,1864,Shield,7.0,7.2,4.0,5.0
France,1864,Lore,7.2,6.2,2.8,6.0
France,1864,Stewards,7.0,7.0,3.0,6.0
France,1864,Craft,7.0,7.0,3.0,6.2
France,1864,Hands,7.0,6.0,3.0,4.0
France,1864,Archive,6.2,5.2,3.8,5.0
France,1864,Flow,7.0,7.0,3.0,6.0
France,1865,Helm,6.0,6.2,5.0,6.2
