Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Germany,1880,Helm,6.8,7.2,2.8,6.2
Germany,1880,Shield,7.6,6.8,2.6,5.2
Germany,1880,Lore,6.2,6.6,3.0,8.4
Germany,1880,Stewards,7.0,7.0,3.2,5.0
Germany,1880,Craft,6.8,8.0,3.0,7.0
Germany,1880,Hands,4.8,6.2,4.6,4.2
Germany,1880,Archive,7.0,6.8,3.4,5.2
Germany,1880,Flow,7.2,6.8,3.2,5.8
Germany,1881,Helm,6.4,6.6,3.2,6.2
Germany,1881,Shield,7.2,6.6,3.4,5.2
Germany,1881,Lore,6.4,6.8,2.6,8.0
Germany,1881,Stewards,6.8,7.0,3.6,5.0
Germany,1881,Craft,6.8,8.0,3.0,6.6
Germany,1881,Hands,5.0,6.0,5.0,4.4
Germany,1881,Archive,7.4,7.0,3.2,6.4
Germany,1881,Flow,6.6,7.2,3.2,5.6
Germany,1882,Helm,6.8,6.6,2.6,5.8
Germany,1882,Shield,7.2,7.4,3.4,5.0
Germany,1882,Lore,6.2,7.2,3.0,7.8
Germany,1882,Stewards,6.6,6.6,2.6,5.4
Germany,1882,Craft,7.0,8.0,3.4,6.8
Germany,1882,Hands,4.8,6.0,5.0,3.6
Germany,1882,Archive,6.6,6.8,2.8,6.2
Germany,1882,Flow,7.4,6.8,3.4,5.8
Germany,1883,Helm,7.0,7.4,3.2,6.0
Germany,1883,Shield,7.6,7.2,3.0,5.4
Germany,1883,Lore,6.2,7.0,2.4,7.4
Germany,1883,Stewards,6.8,7.4,2.8,4.6
Germany,1883,Craft,6.8,7.8,3.0,7.0
Germany,1883,Hands,5.0,5.8,4.6,4.2
Germany,1883,Archive,7.2,6.8,3.0,6.2
Germany,1883,Flow,6.4,6.6,3.2,5.6
Germany,1884,Helm,7.2,7.4,2.8,5.8
Germany,1884,Shield,7.2,7.8,3.2,4.8
Germany,1884,Lore,6.2,7.0,3.0,8.0
Germany,1884,Stewards,7.0,7.0,3.0,4.6
Germany,1884,Craft,6.4,8.0,3.2,7.6
Germany,1884,Hands,4.6,6.0,5.0,4.0
Germany,1884,Archive,6.8,6.6,3.2,6.2
Germany,1884,Flow,6.8,7.2,3.6,6.0
Germany,1885,Helm,7.0,7.2,3.0,6.2
Germany,1885,Shield,7.0,7.2,3.0,5.2
Germany,1885,Lore,6.0,7.0,3.0,8.0
Germany,1885,Stewards,6.6,7.0,3.0,5.2
Germany,1885,Craft,6.8,7.8,2.8,7.2
Germany,1885,Hands,4.8,6.2,4.8,4.4
Germany,1885,Archive,6.8,6.8,2.8,6.0
Germany,1885,Flow,7.2,7.2,3.0,5.8
Germany,1886,Helm,6.8,7.0,3.0,6.0
Germany,1886,Shield,7.2,6.8,2.8,5.2
Germany,1886,Lore,6.6,7.0,3.4,8.0
Germany,1886,Stewards,6.8,6.6,3.4,4.8
Germany,1886,Craft,7.2,8.2,3.4,6.6
Germany,1886,Hands,5.0,5.8,5.4,4.4
Germany,1886,Archive,6.4,7.4,3.0,6.4
Germany,1886,Flow,6.8,7.2,2.8,5.8
Germany,1887,Helm,6.8,6.8,2.8,5.8
Germany,1887,Shield,7.2,7.2,3.2,5.0
Germany,1887,Lore,6.2,7.0,3.2,8.2
Germany,1887,Stewards,6.8,7.2,2.6,5.2
Germany,1887,Craft,6.8,8.0,3.0,6.8
Germany,1887,Hands,5.2,5.6,5.4,3.6
Germany,1887,Archive,6.8,6.8,2.8,6.2
Germany,1887,Flow,6.8,7.0,3.2,6.2
Germany,1888,Helm,5.6,5.6,5.0,5.8
Germany,1888,Shield,6.6,7.0,2.6,4.0
Germany,1888,Lore,5.2,7.2,2.4,7.6
Germany,1888,Stewards,7.4,7.4,3.2,4.8
Germany,1888,Craft,7.2,7.0,2.6,7.2
Germany,1888,Hands,5.4,6.2,5.0,3.6
Germany,1888,Archive,7.2,7.2,3.2,5.4
Germany,1888,Flow,7.2,7.0,3.2,6.4
Germany,1889,Helm,6.2,6.6,4.2,6.2
Germany,1889,Shield,6.8,7.4,3.0,5.2
Germany,1889,Lore,6.2,6.4,3.0,7.6
Germany,1889,Stewards,7.0,7.4,2.8,5.0
Germany,1889,Craft,6.0,7.8,3.0,7.0
Germany,1889,Hands,4.2,5.6,4.4,3.8
Germany,1889,Archive,7.0,7.8,3.0,5.6
Germany,1889,Flow,7.0,7.0,3.6,5.8
Germany,1890,Helm,4.8,5.6,4.6,5.4
Germany,1890,Shield,7.0,6.2,3.8,4.4
Germany,1890,Lore,6.2,6.6,4.0,8.2
Germany,1890,Stewards,7.2,7.0,3.0,5.0
Germany,1890,Craft,6.6,8.4,2.8,7.4
Germany,1890,Hands,5.8,5.8,5.0,4.4
Germany,1890,Archive,7.6,6.6,3.2,6.2
Germany,1890,Flow,6.8,6.8,2.8,6.2
Germany,1891,Helm,4.6,6.4,3.6,5.0
Germany,1891,Shield,7.2,7.0,2.6,5.2
Germany,1891,Lore,6.0,7.2,2.6,8.2
Germany,1891,Stewards,7.0,7.0,3.2,5.0
Germany,1891,Craft,7.0,8.6,2.6,7.2
Germany,1891,Hands,4.4,5.6,4.4,3.8
Germany,1891,Archive,7.4,6.4,3.4,6.6
Germany,1891,Flow,7.2,7.0,3.2,6.2
Germany,1892,Helm,5.0,6.0,4.2,4.8
Germany,1892,Shield,7.0,6.8,2.8,5.4
Germany,1892,Lore,6.2,6.4,2.6,8.0
Germany,1892,Stewards,7.0,7.2,2.8,5.2
Germany,1892,Craft,6.8,8.2,3.0,7.2
Germany,1892,Hands,4.6,6.2,5.0,4.0
Germany,1892,Archive,7.2,6.8,3.0,5.8
Germany,1892,Flow,6.8,7.2,2.8,5.6
Germany,1893,Helm,5.0,5.8,4.6,4.6
Germany,1893,Shield,7.0,7.2,3.2,4.8
Germany,1893,Lore,5.8,6.8,3.0,8.0
Germany,1893,Stewards,6.8,7.6,3.0,5.0
Germany,1893,Craft,7.2,8.2,2.6,7.2
Germany,1893,Hands,4.8,6.0,5.0,3.6
Germany,1893,Archive,6.4,7.0,2.8,6.4
Germany,1893,Flow,7.2,6.8,2.6,6.2
Germany,1894,Helm,5.0,6.2,4.2,5.0
Germany,1894,Shield,6.8,7.0,2.8,5.4
Germany,1894,Lore,6.0,7.0,2.8,8.2
Germany,1894,Stewards,6.8,7.2,2.6,4.8
Germany,1894,Craft,6.8,7.8,2.8,7.4
Germany,1894,Hands,5.2,6.0,5.2,4.0
Germany,1894,Archive,6.6,7.0,3.2,5.0
Germany,1894,Flow,6.8,7.0,3.0,5.8
Germany,1895,Helm,5.0,5.4,3.4,5.0
Germany,1895,Shield,7.0,7.0,3.4,4.8
Germany,1895,Lore,6.2,7.2,2.6,7.6
Germany,1895,Stewards,6.8,7.4,3.0,5.0
Germany,1895,Craft,7.4,8.4,3.4,7.8
