Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Iran,1875,Helm,3.8,4.4,5.0,4.0
Iran,1875,Shield,3.0,3.4,4.8,2.8
Iran,1875,Lore,5.8,4.4,3.6,6.2
Iran,1875,Stewards,4.0,3.8,5.4,4.2
Iran,1875,Craft,4.6,3.2,4.4,4.0
Iran,1875,Hands,5.2,4.8,4.4,3.4
Iran,1875,Archive,5.0,4.0,3.8,5.2
Iran,1875,Flow,4.2,4.0,5.0,4.0
Iran,1876,Helm,3.8,4.4,5.2,3.2
Iran,1876,Shield,3.2,3.6,4.4,3.4
Iran,1876,Lore,5.8,5.6,4.2,6.0
Iran,1876,Stewards,4.0,4.0,5.0,4.2
Iran,1876,Craft,5.6,4.2,4.0,4.2
Iran,1876,Hands,5.2,4.2,4.6,2.2
Iran,1876,Archive,5.0,3.8,4.4,5.2
Iran,1876,Flow,3.8,4.0,5.2,3.8
Iran,1877,Helm,3.8,3.6,5.2,4.0
Iran,1877,Shield,3.2,3.6,5.0,2.0
Iran,1877,Lore,6.2,4.8,4.4,6.4
Iran,1877,Stewards,3.8,3.0,5.4,3.6
Iran,1877,Craft,5.2,3.6,3.4,4.4
Iran,1877,Hands,5.0,4.4,3.8,3.2
Iran,1877,Archive,4.6,4.2,3.8,4.6
Iran,1877,Flow,4.0,4.0,5.4,4.2
Iran,1878,Helm,4.2,4.0,5.2,4.0
Iran,1878,Shield,3.0,2.8,5.8,2.4
Iran,1878,Lore,6.4,5.4,4.4,5.6
Iran,1878,Stewards,3.6,3.8,5.4,4.2
Iran,1878,Craft,5.0,3.8,4.2,3.8
Iran,1878,Hands,4.8,3.6,4.0,3.2
Iran,1878,Archive,4.8,4.0,4.6,5.2
Iran,1878,Flow,3.6,4.2,4.2,4.0
Iran,1879,Helm,4.0,4.0,4.8,4.4
Iran,1879,Shield,2.4,2.4,5.4,2.6
Iran,1879,Lore,5.8,4.8,3.2,5.8
Iran,1879,Stewards,4.4,4.0,5.0,3.8
Iran,1879,Craft,5.0,4.2,4.2,4.0
Iran,1879,Hands,4.8,3.8,4.2,2.0
Iran,1879,Archive,5.0,3.2,3.8,5.0
Iran,1879,Flow,4.0,4.0,5.4,4.0
Iran,1880,Helm,4.8,3.6,5.0,4.4
Iran,1880,Shield,2.6,3.4,5.2,2.8
Iran,1880,Lore,5.8,4.2,3.8,5.8
Iran,1880,Stewards,4.8,4.2,5.0,4.0
Iran,1880,Craft,4.8,3.4,4.4,4.2
Iran,1880,Hands,5.4,3.6,4.6,2.8
Iran,1880,Archive,5.2,4.4,4.0,5.0
Iran,1880,Flow,3.8,4.2,5.2,4.4
Iran,1881,Helm,3.8,4.0,5.4,4.0
Iran,1881,Shield,3.2,2.8,5.0,3.0
Iran,1881,Lore,5.8,4.8,4.2,6.6
Iran,1881,Stewards,4.2,3.4,5.2,4.4
Iran,1881,Craft,4.8,4.4,3.4,4.2
Iran,1881,Hands,5.2,3.8,4.4,2.4
Iran,1881,Archive,4.2,4.0,3.8,4.6
Iran,1881,Flow,3.6,4.6,5.2,3.8
Iran,1882,Helm,3.6,4.4,5.0,3.6
Iran,1882,Shield,3.0,2.8,5.0,2.8
Iran,1882,Lore,5.2,4.6,4.0,6.2
Iran,1882,Stewards,3.4,4.0,4.8,4.0
Iran,1882,Craft,5.0,4.2,3.0,4.2
Iran,1882,Hands,5.4,3.6,3.6,3.4
Iran,1882,Archive,5.0,4.0,3.8,5.0
Iran,1882,Flow,3.4,3.2,5.2,4.0
Iran,1883,Helm,4.2,3.6,4.6,4.0
Iran,1883,Shield,2.8,2.6,5.2,3.0
Iran,1883,Lore,6.2,5.2,3.6,5.8
Iran,1883,Stewards,3.8,3.8,4.4,3.6
Iran,1883,Craft,5.0,3.4,3.6,4.0
Iran,1883,Hands,5.4,4.2,4.0,2.2
Iran,1883,Archive,5.0,4.8,4.0,5.0
Iran,1883,Flow,4.6,4.2,5.2,4.2
Iran,1884,Helm,4.0,3.8,5.2,4.0
Iran,1884,Shield,2.6,2.8,4.4,3.0
Iran,1884,Lore,5.8,5.4,3.6,5.4
Iran,1884,Stewards,4.4,4.2,4.8,4.4
Iran,1884,Craft,5.2,3.6,3.8,3.6
Iran,1884,Hands,5.0,4.6,4.0,3.2
Iran,1884,Archive,5.0,3.2,4.2,4.8
Iran,1884,Flow,4.6,4.0,5.4,3.8
Iran,1885,Helm,4.2,3.6,4.2,5.0
Iran,1885,Shield,2.8,2.8,5.0,3.4
Iran,1885,Lore,6.0,5.0,3.8,6.0
Iran,1885,Stewards,3.4,4.4,4.6,3.8
Iran,1885,Craft,5.0,3.6,3.4,3.6
Iran,1885,Hands,5.0,4.0,3.4,3.6
Iran,1885,Archive,5.4,3.8,4.0,4.6
Iran,1885,Flow,3.4,4.4,5.6,4.2
Iran,1886,Helm,3.8,3.6,5.2,4.8
Iran,1886,Shield,2.6,3.6,4.4,3.4
Iran,1886,Lore,6.4,5.4,3.4,6.6
Iran,1886,Stewards,4.4,3.8,4.8,4.0
Iran,1886,Craft,4.8,4.6,4.0,4.0
Iran,1886,Hands,5.2,4.2,3.6,2.4
Iran,1886,Archive,5.4,4.0,4.2,4.8
Iran,1886,Flow,3.6,4.6,5.2,4.0
Iran,1887,Helm,4.0,3.8,5.0,4.8
Iran,1887,Shield,3.4,3.4,5.2,3.0
Iran,1887,Lore,5.6,5.2,4.2,5.8
Iran,1887,Stewards,4.2,3.6,5.2,3.8
Iran,1887,Craft,5.2,4.0,3.4,4.4
Iran,1887,Hands,5.2,3.8,3.4,3.0
Iran,1887,Archive,5.2,3.4,4.2,4.6
Iran,1887,Flow,3.8,3.6,5.4,4.0
Iran,1888,Helm,4.2,4.0,4.6,4.4
Iran,1888,Shield,3.0,2.8,5.2,3.0
Iran,1888,Lore,6.0,4.8,4.0,6.4
Iran,1888,Stewards,3.6,4.2,4.6,4.6
Iran,1888,Craft,5.2,3.4,3.4,3.2
Iran,1888,Hands,5.2,4.0,3.8,3.0
Iran,1888,Archive,5.4,4.0,4.0,5.2
Iran,1888,Flow,4.0,4.0,5.2,4.6
Iran,1889,Helm,4.2,4.4,5.0,4.4
Iran,1889,Shield,3.0,3.0,5.2,3.6
Iran,1889,Lore,5.4,5.4,4.4,5.6
Iran,1889,Stewards,4.4,4.2,5.4,3.6
Iran,1889,Craft,4.8,4.4,4.0,3.8
Iran,1889,Hands,4.4,4.4,4.0,3.2
Iran,1889,Archive,4.8,3.8,4.2,5.2
Iran,1889,Flow,4.2,4.0,5.2,3.8
Iran,1890,Helm,4.0,4.2,4.8,4.2
