Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Latium Vetus,460,Helm,4.0,3.6,8.2,5.0
Latium Vetus,460,Shield,3.4,1.4,8.4,4.0
Latium Vetus,460,Lore,5.2,3.6,4.8,6.8
Latium Vetus,460,Stewards,5.2,5.2,5.0,5.2
Latium Vetus,460,Craft,4.0,2.6,6.4,3.6
Latium Vetus,460,Hands,2.8,3.4,7.0,3.0
Latium Vetus,460,Archive,5.6,5.4,4.2,8.6
Latium Vetus,460,Flow,3.2,3.2,6.8,3.8
Latium Vetus,480,Helm,3.8,4.2,4.6,5.2
Latium Vetus,480,Shield,4.0,4.4,5.2,3.0
Latium Vetus,480,Lore,5.0,4.0,4.2,5.8
Latium Vetus,480,Stewards,5.0,5.4,4.2,5.2
Latium Vetus,480,Craft,4.4,3.0,5.0,4.8
Latium Vetus,480,Hands,3.0,3.4,5.0,3.0
Latium Vetus,480,Archive,5.6,5.2,3.8,6.6
Latium Vetus,480,Flow,4.2,3.2,5.2,3.2
Latium Vetus,500,Helm,5.6,5.0,4.2,6.2
Latium Vetus,500,Shield,5.6,5.0,4.0,5.0
Latium Vetus,500,Lore,5.8,5.0,4.4,7.0
Latium Vetus,500,Stewards,6.0,5.2,3.2,6.2
Latium Vetus,500,Craft,5.4,4.4,4.2,5.0
Latium Vetus,500,Hands,3.6,3.8,5.0,4.2
Latium Vetus,500,Archive,6.6,5.6,3.8,7.0
Latium Vetus,500,Flow,5.2,3.8,4.2,5.0
Latium Vetus,520,Helm,5.2,4.8,5.2,6.0
Latium Vetus,520,Shield,5.0,5.0,4.8,5.0
Latium Vetus,520,Lore,5.4,5.0,4.6,6.4
Latium Vetus,520,Stewards,5.2,5.0,4.0,5.8
Latium Vetus,520,Craft,5.0,4.4,5.0,5.4
Latium Vetus,520,Hands,4.0,4.2,4.8,4.4
Latium Vetus,520,Archive,6.2,5.4,4.0,6.8
Latium Vetus,520,Flow,4.8,3.8,4.8,5.0
Latium Vetus,540,Helm,3.0,3.0,7.6,4.2
Latium Vetus,540,Shield,2.8,3.2,8.2,2.6
Latium Vetus,540,Lore,2.8,3.4,8.4,4.2
Latium Vetus,540,Stewards,2.4,1.6,9.6,4.2
Latium Vetus,540,Craft,2.0,2.4,9.0,3.0
Latium Vetus,540,Hands,1.6,2.2,9.4,1.8
Latium Vetus,540,Archive,4.0,2.4,9.4,6.8
Latium Vetus,540,Flow,2.8,2.2,8.4,2.4
Latium Vetus,560,Helm,3.8,2.6,5.8,5.2
Latium Vetus,560,Shield,2.4,4.0,6.8,3.4
Latium Vetus,560,Lore,3.8,2.8,5.0,5.4
Latium Vetus,560,Stewards,2.0,1.8,6.6,4.2
Latium Vetus,560,Craft,3.2,2.0,7.2,3.6
Latium Vetus,560,Hands,3.0,1.4,8.2,3.0
Latium Vetus,560,Archive,4.4,3.2,4.8,6.2
Latium Vetus,560,Flow,2.6,2.2,8.2,2.4
Latium Vetus,580,Helm,3.6,3.6,7.8,5.4
Latium Vetus,580,Shield,3.0,3.2,7.0,2.8
Latium Vetus,580,Lore,3.8,4.0,6.0,5.0
Latium Vetus,580,Stewards,3.0,2.6,7.2,3.4
Latium Vetus,580,Craft,3.0,2.0,6.6,3.6
Latium Vetus,580,Hands,3.2,1.6,6.8,2.0
Latium Vetus,580,Archive,4.6,4.0,5.0,6.4
Latium Vetus,580,Flow,3.4,1.8,7.0,2.6
Latium Vetus,600,Helm,3.8,4.0,7.2,5.6
Latium Vetus,600,Shield,2.6,3.4,7.6,3.2
Latium Vetus,600,Lore,5.0,4.0,4.8,7.2
Latium Vetus,600,Stewards,4.2,2.8,6.0,4.8
Latium Vetus,600,Craft,2.8,2.8,6.0,3.4
Latium Vetus,600,Hands,3.0,3.2,6.4,1.8
Latium Vetus,600,Archive,6.0,5.0,4.0,8.0
Latium Vetus,600,Flow,3.2,3.2,5.6,2.6
Latium Vetus,620,Helm,4.2,3.0,6.6,5.2
Latium Vetus,620,Shield,3.0,3.2,7.0,2.8
Latium Vetus,620,Lore,4.8,4.2,4.8,6.0
Latium Vetus,620,Stewards,4.2,3.0,6.0,4.0
Latium Vetus,620,Craft,3.0,2.6,7.2,3.0
Latium Vetus,620,Hands,3.2,2.0,6.8,2.0
Latium Vetus,620,Archive,5.4,4.0,5.2,7.4
Latium Vetus,620,Flow,2.8,1.8,6.8,3.0
Latium Vetus,640,Helm,2.6,2.8,6.8,5.0
Latium Vetus,640,Shield,2.6,2.8,7.4,3.2
Latium Vetus,640,Lore,4.4,4.0,5.2,5.6
Latium Vetus,640,Stewards,3.6,3.0,7.6,4.0
Latium Vetus,640,Craft,2.6,2.0,6.6,3.0
Latium Vetus,640,Hands,2.4,1.8,7.0,2.4
Latium Vetus,640,Archive,4.8,4.2,5.0,7.2
Latium Vetus,640,Flow,3.0,2.0,7.0,2.6
Latium Vetus,660,Helm,3.0,2.8,6.4,4.8
Latium Vetus,660,Shield,2.6,3.0,7.0,3.2
Latium Vetus,660,Lore,4.2,3.8,5.2,6.0
Latium Vetus,660,Stewards,3.4,3.2,6.2,3.8
Latium Vetus,660,Craft,3.4,3.0,5.6,2.8
Latium Vetus,660,Hands,3.4,3.2,5.8,2.2
