Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Norway,1880,Helm,5.0,5.0,4.8,5.0
Norway,1880,Shield,3.8,4.0,4.2,4.0
Norway,1880,Lore,6.2,6.2,2.8,6.0
Norway,1880,Stewards,5.2,5.2,4.0,5.0
Norway,1880,Craft,5.0,5.2,3.8,5.0
Norway,1880,Hands,4.8,5.0,5.2,4.0
Norway,1880,Archive,6.2,6.2,3.0,5.0
Norway,1880,Flow,6.0,6.2,4.0,5.2
Norway,1881,Helm,5.0,5.0,4.8,5.0
Norway,1881,Shield,3.8,4.0,4.2,4.0
Norway,1881,Lore,6.2,6.2,2.8,6.0
Norway,1881,Stewards,5.2,5.2,4.0,5.0
Norway,1881,Craft,5.0,5.2,3.8,5.0
Norway,1881,Hands,4.8,5.0,5.2,4.0
Norway,1881,Archive,6.2,6.2,3.0,5.0
Norway,1881,Flow,6.0,6.2,4.0,5.2
Norway,1882,Helm,5.0,5.0,4.8,5.0
Norway,1882,Shield,3.8,4.0,4.2,4.0
Norway,1882,Lore,6.2,6.2,2.8,6.0
Norway,1882,Stewards,5.2,5.2,4.0,5.0
Norway,1882,Craft,5.0,5.2,3.8,5.0
Norway,1882,Hands,4.8,5.0,5.2,4.0
Norway,1882,Archive,6.2,6.2,3.0,5.0
Norway,1882,Flow,6.0,6.2,4.0,5.2
Norway,1883,Helm,5.0,5.0,4.8,5.0
Norway,1883,Shield,3.8,4.0,4.2,4.0
Norway,1883,Lore,6.2,6.2,2.8,6.0
Norway,1883,Stewards,5.2,5.2,4.0,5.0
Norway,1883,Craft,5.0,5.2,3.8,5.0
Norway,1883,Hands,4.8,5.0,5.2,4.0
Norway,1883,Archive,6.2,6.2,3.0,5.0
Norway,1883,Flow,6.0,6.2,4.0,5.2
Norway,1884,Helm,6.0,5.0,3.8,6.0
Norway,1884,Shield,3.8,4.0,4.2,4.0
Norway,1884,Lore,6.2,6.2,2.8,6.0
Norway,1884,Stewards,5.2,5.2,4.0,5.0
Norway,1884,Craft,5.0,5.2,3.8,5.0
Norway,1884,Hands,4.8,5.0,5.2,4.0
Norway,1884,Archive,6.2,7.2,3.0,5.0
Norway,1884,Flow,6.0,6.2,4.0,5.2
Norway,1885,Helm,6.0,5.0,4.8,6.0
Norway,1885,Shield,3.8,4.0,4.2,4.0
Norway,1885,Lore,7.2,6.2,2.8,6.0
Norway,1885,Stewards,5.2,5.2,4.0,5.0
Norway,1885,Craft,5.0,5.2,3.8,5.0
Norway,1885,Hands,4.8,5.0,5.2,4.0
Norway,1885,Archive,6.2,6.2,3.0,5.0
Norway,1885,Flow,6.0,6.2,4.0,5.2
Norway,1886,Helm,6.0,5.0,4.8,6.0
Norway,1886,Shield,3.8,4.0,4.2,4.0
Norway,1886,Lore,7.2,6.2,2.8,6.0
Norway,1886,Stewards,5.2,5.2,4.0,5.0
Norway,1886,Craft,5.0,5.2,3.8,5.0
Norway,1886,Hands,4.8,5.0,5.2,4.0
Norway,1886,Archive,6.2,6.2,3.0,5.0
Norway,1886,Flow,6.0,6.2,4.0,5.2
Norway,1887,Helm,6.0,5.0,4.8,6.0
Norway,1887,Shield,3.8,4.0,4.2,4.0
Norway,1887,Lore,7.2,6.2,2.8,6.0
Norway,1887,Stewards,5.2,5.2,4.0,5.0
Norway,1887,Craft,5.0,5.2,3.8,5.0
Norway,1887,Hands,4.8,5.0,5.2,4.0
Norway,1887,Archive,6.2,6.2,3.0,5.0
Norway,1887,Flow,6.0,6.2,4.0,5.2
Norway,1888,Helm,6.0,5.0,4.8,6.0
Norway,1888,Shield,3.8,4.0,4.2,4.0
Norway,1888,Lore,7.2,6.2,2.8,6.0
Norway,1888,Stewards,5.2,5.2,4.0,5.0
Norway,1888,Craft,5.0,5.2,3.8,5.0
Norway,1888,Hands,4.8,5.0,5.2,4.0
Norway,1888,Archive,6.2,6.2,3.0,5.0
Norway,1888,Flow,6.0,6.2,4.0,5.2
Norway,1889,Helm,6.0,5.0,4.8,6.0
Norway,1889,Shield,3.8,4.0,4.2,4.0
Norway,1889,Lore,7.2,6.2,2.8,6.0
Norway,1889,Stewards,5.2,5.2,4.0,5.0
Norway,1889,Craft,5.0,5.2,3.8,5.0
Norway,1889,Hands,4.8,5.0,5.2,4.0
Norway,1889,Archive,6.2,6.2,3.0,5.0
Norway,1889,Flow,6.0,6.2,4.0,5.2
Norway,1890,Helm,6.0,5.0,4.8,6.0
Norway,1890,Shield,3.8,4.0,4.2,4.0
Norway,1890,Lore,7.2,6.2,2.8,6.0
Norway,1890,Stewards,5.2,5.2,4.0,5.0
Norway,1890,Craft,5.0,5.2,3.8,5.0
Norway,1890,Hands,4.8,5.0,5.2,4.0
Norway,1890,Archive,6.2,6.2,3.0,5.0
Norway,1890,Flow,6.0,6.2,4.0,5.2
Norway,1891,Helm,6.0,5.0,4.8,6.0
Norway,1891,Shield,3.8,4.0,4.2,4.0
Norway,1891,Lore,7.2,6.2,2.8,6.0
Norway,1891,Stewards,5.2,5.2,4.0,5.0
Norway,1891,Craft,5.0,5.2,3.8,5.0
Norway,1891,Hands,4.8,5.0,5.2,4.0
Norway,1891,Archive,6.2,6.2,3.0,5.0
Norway,1891,Flow,6.0,6.2,4.0,5.2
Norway,1892,Helm,6.0,5.0,4.8,6.0
Norway,1892,Shield,3.8,4.0,4.2,4.0
Norway,1892,Lore,7.2,6.2,2.8,6.0
Norway,1892,Stewards,5.2,5.2,4.0,5.0
Norway,1892,Craft,5.0,5.2,3.8,5.0
Norway,1892,Hands,4.8,5.0,5.2,4.0
Norway,1892,Archive,6.2,6.2,3.0,5.0
Norway,1892,Flow,6.0,6.2,4.0,5.2
Norway,1893,Helm,6.0,5.0,4.8,6.0
Norway,1893,Shield,3.8,4.0,4.2,4.0
Norway,1893,Lore,7.2,6.2,2.8,6.0
Norway,1893,Stewards,5.2,5.2,4.0,5.0
Norway,1893,Craft,5.0,5.2,3.8,5.0
Norway,1893,Hands,4.8,5.0,5.2,4.0
Norway,1893,Archive,6.2,6.2,3.0,5.0
Norway,1893,Flow,6.0,6.2,4.0,5.2
Norway,1894,Helm,6.0,5.0,4.8,6.0
Norway,1894,Shield,3.8,4.0,4.2,4.0
Norway,1894,Lore,7.2,6.2,2.8,6.0
Norway,1894,Stewards,5.2,5.2,4.0,5.0
Norway,1894,Craft,5.0,5.2,3.8,5.0
Norway,1894,Hands,4.8,5.0,5.2,4.0
Norway,1894,Archive,6.2,6.2,3.0,5.0
Norway,1894,Flow,6.0,6.2,4.0,5.2
Norway,1895,Helm,6.0,5.0,6.8,6.0
Norway,1895,Shield,3.8,4.0,5.2,4.0
Norway,1895,Lore,7.2,6.2,2.8,6.0
Norway,1895,Stewards,5.2,5.2,4.0,5.0
