Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Russia,1800,Helm,6.2,6.4,3.8,5.4
Russia,1800,Shield,6.8,7.2,4.0,4.2
Russia,1800,Lore,5.4,4.2,4.4,4.6
Russia,1800,Stewards,5.4,5.8,3.8,4.0
Russia,1800,Craft,4.0,4.0,4.8,4.4
Russia,1800,Hands,3.6,4.2,6.2,2.6
Russia,1800,Archive,5.0,5.2,3.6,4.2
Russia,1800,Flow,4.4,5.0,5.2,4.0
Russia,1801,Helm,5.8,5.4,4.2,4.8
Russia,1801,Shield,7.2,6.6,4.2,5.2
Russia,1801,Lore,5.2,3.8,4.0,5.2
Russia,1801,Stewards,5.8,5.6,4.2,4.0
Russia,1801,Craft,4.0,3.8,4.8,4.0
Russia,1801,Hands,4.2,4.2,5.6,3.2
Russia,1801,Archive,5.2,5.2,4.4,3.8
Russia,1801,Flow,4.2,4.4,5.6,3.8
Russia,1802,Helm,6.0,6.0,4.0,4.4
Russia,1802,Shield,7.2,6.4,3.8,5.0
Russia,1802,Lore,4.8,4.0,3.8,4.6
Russia,1802,Stewards,6.2,6.0,3.6,4.2
Russia,1802,Craft,4.0,3.8,5.2,4.0
Russia,1802,Hands,4.2,4.2,6.2,2.8
Russia,1802,Archive,4.6,5.2,4.6,4.0
Russia,1802,Flow,4.2,4.8,5.2,3.4
Russia,1803,Helm,6.4,6.4,4.0,5.0
Russia,1803,Shield,7.0,6.6,4.0,5.4
Russia,1803,Lore,4.6,3.8,4.2,5.0
Russia,1803,Stewards,6.0,5.6,4.4,4.0
Russia,1803,Craft,4.2,4.2,5.6,4.0
Russia,1803,Hands,4.0,3.8,6.6,3.0
Russia,1803,Archive,5.0,5.0,4.2,4.2
Russia,1803,Flow,4.4,4.8,5.0,3.8
Russia,1804,Helm,6.2,6.0,4.2,4.6
Russia,1804,Shield,7.0,6.6,4.4,5.0
Russia,1804,Lore,5.0,3.4,4.2,5.0
Russia,1804,Stewards,5.8,6.4,4.0,4.4
Russia,1804,Craft,4.2,4.4,5.0,3.4
Russia,1804,Hands,4.0,4.2,6.0,3.0
Russia,1804,Archive,4.8,5.2,4.0,4.0
Russia,1804,Flow,4.2,5.2,4.8,3.4
Russia,1805,Helm,6.0,5.8,4.8,4.8
Russia,1805,Shield,7.0,6.6,6.4,5.0
Russia,1805,Lore,5.0,3.8,4.2,4.8
Russia,1805,Stewards,6.6,5.8,4.2,4.2
Russia,1805,Craft,4.0,4.0,5.0,3.8
Russia,1805,Hands,4.2,4.2,6.0,3.6
Russia,1805,Archive,5.0,5.0,4.4,3.4
Russia,1805,Flow,4.2,5.0,4.8,4.2
Russia,1806,Helm,5.2,5.6,6.2,5.4
Russia,1806,Shield,6.0,5.8,7.2,4.8
Russia,1806,Lore,5.0,4.0,4.0,4.6
Russia,1806,Stewards,6.2,5.6,4.2,3.6
Russia,1806,Craft,4.0,4.0,5.0,4.2
Russia,1806,Hands,4.2,4.2,5.8,2.6
Russia,1806,Archive,5.2,5.2,3.4,4.4
Russia,1806,Flow,4.0,5.0,5.0,3.8
Russia,1807,Helm,4.6,6.2,5.0,5.0
Russia,1807,Shield,6.0,5.6,4.8,5.0
Russia,1807,Lore,4.8,4.4,4.0,5.0
Russia,1807,Stewards,6.4,5.6,3.8,4.4
Russia,1807,Craft,4.2,4.4,5.4,4.4
Russia,1807,Hands,4.0,4.6,6.6,2.6
Russia,1807,Archive,4.8,4.6,3.6,4.2
Russia,1807,Flow,4.0,5.0,5.0,4.2
Russia,1808,Helm,6.2,6.4,4.0,5.0
Russia,1808,Shield,7.4,7.4,4.2,4.8
Russia,1808,Lore,5.0,4.0,4.6,4.8
Russia,1808,Stewards,6.0,6.0,3.6,4.0
Russia,1808,Craft,4.6,3.4,5.0,4.0
Russia,1808,Hands,4.0,4.2,6.6,3.6
Russia,1808,Archive,4.8,4.6,3.8,4.4
Russia,1808,Flow,4.0,4.2,5.6,4.2
Russia,1809,Helm,6.4,5.8,4.2,4.8
Russia,1809,Shield,7.4,7.2,3.8,4.6
Russia,1809,Lore,4.6,4.2,4.2,4.8
Russia,1809,Stewards,6.0,6.0,3.4,4.2
Russia,1809,Craft,4.2,4.0,5.4,4.2
Russia,1809,Hands,4.0,4.2,6.0,2.8
Russia,1809,Archive,4.8,4.8,3.8,4.0
Russia,1809,Flow,4.0,4.8,5.4,3.8
Russia,1810,Helm,6.0,5.6,4.0,5.0
Russia,1810,Shield,6.6,6.8,4.2,5.4
Russia,1810,Lore,4.8,4.4,4.6,5.0
Russia,1810,Stewards,5.6,5.8,4.0,4.2
Russia,1810,Craft,4.2,3.6,5.4,4.4
Russia,1810,Hands,4.0,4.2,6.4,3.4
Russia,1810,Archive,5.2,5.2,4.2,4.0
Russia,1810,Flow,4.0,5.6,5.4,4.0
Russia,1811,Helm,6.4,6.6,4.0,4.6
