Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Thailand,1850,Helm,7.0,5.2,4.4,5.0
Thailand,1850,Shield,6.0,3.8,4.8,3.0
Thailand,1850,Lore,8.0,5.2,3.0,6.2
Thailand,1850,Stewards,6.4,4.8,4.2,4.0
Thailand,1850,Craft,5.4,3.8,4.4,3.0
Thailand,1850,Hands,5.2,3.8,6.2,2.0
Thailand,1850,Archive,7.0,4.2,3.0,5.0
Thailand,1850,Flow,5.2,4.0,5.0,3.0
Thailand,1855,Helm,7.0,6.0,4.0,6.0
Thailand,1855,Shield,5.8,4.0,5.0,3.6
Thailand,1855,Lore,7.2,5.0,4.0,6.0
Thailand,1855,Stewards,5.2,5.0,5.0,4.0
Thailand,1855,Craft,5.2,4.0,4.6,3.0
Thailand,1855,Hands,5.0,3.8,6.0,2.0
Thailand,1855,Archive,6.6,4.2,3.0,5.0
Thailand,1855,Flow,5.4,6.0,4.0,4.0
Thailand,1860,Helm,7.0,6.2,4.0,7.0
Thailand,1860,Shield,5.8,5.0,5.0,4.0
Thailand,1860,Lore,7.0,5.2,4.0,6.2
Thailand,1860,Stewards,5.6,6.0,4.0,4.0
Thailand,1860,Craft,5.8,5.0,4.2,3.0
Thailand,1860,Hands,5.0,4.0,6.0,2.0
Thailand,1860,Archive,6.2,5.0,3.0,5.0
Thailand,1860,Flow,6.0,6.0,4.0,4.2
Thailand,1865,Helm,7.2,6.4,4.0,7.0
Thailand,1865,Shield,5.8,5.0,5.0,4.0
Thailand,1865,Lore,7.2,5.2,4.0,7.0
Thailand,1865,Stewards,5.4,6.0,4.0,4.0
Thailand,1865,Craft,5.4,5.0,4.2,3.0
Thailand,1865,Hands,5.0,4.0,6.0,2.0
Thailand,1865,Archive,6.4,5.0,3.0,6.0
Thailand,1865,Flow,6.0,6.0,4.0,4.0
Thailand,1870,Helm,6.0,5.0,5.0,6.0
Thailand,1870,Shield,6.0,5.0,5.0,4.0
Thailand,1870,Lore,7.0,5.2,4.0,6.0
Thailand,1870,Stewards,5.2,6.0,4.0,4.0
Thailand,1870,Craft,5.2,4.2,4.8,3.0
Thailand,1870,Hands,5.0,4.0,6.0,2.0
Thailand,1870,Archive,6.0,5.0,3.0,5.0
Thailand,1870,Flow,6.0,6.0,4.0,4.0
Thailand,1875,Helm,7.0,6.4,4.0,7.0
Thailand,1875,Shield,6.0,5.0,5.0,5.0
Thailand,1875,Lore,7.0,6.0,4.0,7.0
Thailand,1875,Stewards,5.0,5.0,5.0,4.0
Thailand,1875,Craft,6.0,5.0,4.2,4.0
Thailand,1875,Hands,5.0,4.0,6.0,2.0
Thailand,1875,Archive,6.0,5.0,3.0,5.0
Thailand,1875,Flow,6.0,6.0,4.0,5.0
Thailand,1880,Helm,7.2,7.0,4.0,7.0
Thailand,1880,Shield,6.0,6.0,5.0,5.0
Thailand,1880,Lore,7.0,6.4,4.0,7.0
Thailand,1880,Stewards,5.6,6.0,5.0,4.4
Thailand,1880,Craft,6.0,6.0,4.2,4.0
Thailand,1880,Hands,5.0,5.0,5.0,3.0
Thailand,1880,Archive,6.8,6.0,3.0,6.0
Thailand,1880,Flow,6.2,7.0,4.0,5.0
Thailand,1885,Helm,7.2,7.0,4.2,7.0
Thailand,1885,Shield,6.0,6.0,6.0,5.0
Thailand,1885,Lore,7.0,6.2,4.0,7.0
Thailand,1885,Stewards,6.0,6.0,5.0,5.0
Thailand,1885,Craft,6.0,6.0,4.6,4.0
Thailand,1885,Hands,5.0,5.0,5.0,3.0
Thailand,1885,Archive,7.0,6.0,3.0,6.0
Thailand,1885,Flow,6.2,7.0,4.0,5.0
Thailand,1890,Helm,7.0,7.0,5.6,7.0
Thailand,1890,Shield,6.0,5.0,7.0,5.0
Thailand,1890,Lore,7.0,6.0,4.0,7.0
Thailand,1890,Stewards,6.0,6.0,5.0,5.0
Thailand,1890,Craft,6.0,6.0,4.6,4.0
Thailand,1890,Hands,5.0,5.0,5.0,3.0
Thailand,1890,Archive,7.0,6.0,3.0,6.0
Thailand,1890,Flow,6.2,7.0,4.0,5.0
Thailand,1895,Helm,6.0,5.8,7.2,7.0
Thailand,1895,Shield,5.0,5.0,8.0,5.0
Thailand,1895,Lore,7.0,6.0,5.0,7.0
Thailand,1895,Stewards,6.0,6.0,6.0,5.0
Thailand,1895,Craft,6.0,5.8,5.0,4.0
Thailand,1895,Hands,6.0,5.0,5.0,3.0
Thailand,1895,Archive,7.0,6.0,4.0,6.0
Thailand,1895,Flow,6.0,6.0,5.0,5.0
Thailand,1900,Helm,7.0,7.2,5.0,8.0
Thailand,1900,Shield,6.2,6.0,6.0,6.0
Thailand,1900,Lore,7.0,7.0,4.0,8.0
Thailand,1900,Stewards,7.0,7.0,5.0,6.0
Thailand,1900,Craft,7.0,7.0,4.0,5.0
Thailand,1900,Hands,6.0,6.0,5.0,4.0
Thailand,1900,Archive,7.0,7.0,3.0,7.0
Thailand,1900,Flow,7.0,7.0,4.0,6.0
Thailand,1905,Helm,7.2,7.2,5.0,8.0
Thailand,1905,Shield,7.0,7.0,5.0,6.0
Thailand,1905,Lore,7.0,7.0,4.0,8.0
Thailand,1905,Stewards,7.0,7.0,5.0,6.0
Thailand,1905,Craft,7.0,6.8,4.4,5.0
Thailand,1905,Hands,6.0,6.0,5.0,4.0
Thailand,1905,Archive,7.0,7.0,3.0,7.0
Thailand,1905,Flow,7.0,7.0,4.0,6.0
Thailand,1910,Helm,7.0,7.0,5.0,8.0
Thailand,1910,Shield,7.0,7.0,5.0,6.0
Thailand,1910,Lore,6.2,7.0,4.0,8.0
Thailand,1910,Stewards,7.0,7.0,5.0,6.0
Thailand,1910,Craft,7.0,7.0,4.4,5.0
Thailand,1910,Hands,6.0,6.0,5.0,4.0
Thailand,1910,Archive,7.0,7.0,3.6,7.0
Thailand,1910,Flow,7.0,7.0,4.0,6.0
Thailand,1915,Helm,6.0,6.0,5.0,7.0
Thailand,1915,Shield,6.0,6.0,5.0,6.0
Thailand,1915,Lore,7.0,6.0,4.6,8.0
Thailand,1915,Stewards,7.0,7.0,5.0,6.0
Thailand,1915,Craft,6.0,6.0,5.0,5.0
Thailand,1915,Hands,5.4,5.6,5.2,3.0
Thailand,1915,Archive,7.0,6.0,3.8,7.0
Thailand,1915,Flow,6.0,5.0,6.0,5.0
Thailand,1920,Helm,6.0,5.2,6.0,7.0
Thailand,1920,Shield,6.0,6.0,5.0,6.0
Thailand,1920,Lore,6.0,6.0,5.0,7.0
Thailand,1920,Stewards,5.0,5.6,6.0,5.0
Thailand,1920,Craft,5.4,5.0,5.8,4.0
Thailand,1920,Hands,5.0,5.0,6.0,3.0
Thailand,1920,Archive,7.0,6.0,4.0,7.0
Thailand,1920,Flow,6.0,6.0,5.0,5.0
Thailand,1925,Helm,5.8,5.8,6.0,7.0
Thailand,1925,Shield,6.0,6.0,5.0,6.0
Thailand,1925,Lore,7.0,6.0,4.2,7.0
Thailand,1925,Stewards,5.0,6.0,6.0,5.0
Thailand,1925,Craft,6.0,5.8,5.0,4.0
Thailand,1925,Hands,5.0,5.0,6.0,3.0
Thailand,1925,Archive,7.0,6.0,4.0,7.0
Thailand,1925,Flow,6.0,6.0,5.0,5.0
Thailand,1930,Helm,4.8,4.2,7.6,7.0
Thailand,1930,Shield,5.0,5.0,6.0,5.0
Thailand,1930,Lore,6.0,5.0,5.2,7.0
Thailand,1930,Stewards,4.0,4.0,8.0,4.0
Thailand,1930,Craft,4.0,4.0,8.0,3.0
Thailand,1930,Hands,4.0,3.6,8.0,2.0
Thailand,1930,Archive,6.0,5.0,5.0,6.0
Thailand,1930,Flow,4.0,3.4,9.0,3.0
Thailand,1935,Helm,5.0,5.0,6.0,6.0
Thailand,1935,Shield,7.0,6.2,5.0,6.0
Thailand,1935,Lore,6.0,5.6,5.0,7.0
Thailand,1935,Stewards,5.0,5.0,6.0,5.0
Thailand,1935,Craft,5.0,5.0,6.0,4.0
Thailand,1935,Hands,4.4,4.0,7.0,3.0
Thailand,1935,Archive,6.0,5.0,5.0,6.0
Thailand,1935,Flow,5.0,5.0,6.0,4.0
Thailand,1940,Helm,7.0,6.0,6.0,7.0
Thailand,1940,Shield,7.2,6.0,7.0,6.0
Thailand,1940,Lore,6.0,6.0,5.0,7.0
Thailand,1940,Stewards,5.0,5.0,6.2,5.0
Thailand,1940,Craft,5.0,5.0,6.0,4.0
Thailand,1940,Hands,4.0,4.0,7.0,3.0
Thailand,1940,Archive,6.0,5.0,5.0,6.0
Thailand,1940,Flow,4.4,4.0,7.2,4.0
Thailand,1945,Helm,4.8,4.6,7.0,7.0
Thailand,1945,Shield,5.0,5.0,7.0,5.0
Thailand,1945,Lore,5.6,5.0,5.4,7.0
Thailand,1945,Stewards,4.0,4.0,7.0,4.0
Thailand,1945,Craft,4.0,3.8,7.0,3.0
Thailand,1945,Hands,4.0,3.8,7.0,3.0
