Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Australia,1996,Helm,7.0,7.0,3.0,6.0
Australia,1996,Shield,6.2,6.0,2.8,5.0
Australia,1996,Lore,6.0,6.2,3.0,6.0
Australia,1996,Stewards,7.0,7.0,3.0,5.0
Australia,1996,Craft,7.0,7.0,3.0,5.0
Australia,1996,Hands,6.0,6.0,3.0,4.0
Australia,1996,Archive,7.0,7.0,2.0,6.0
Australia,1996,Flow,7.0,7.0,3.0,5.0
Australia,1997,Helm,6.8,7.0,4.0,6.0
Australia,1997,Shield,6.0,6.0,3.0,5.0
Australia,1997,Lore,5.0,6.0,4.8,5.0
Australia,1997,Stewards,6.2,7.0,4.0,5.0
Australia,1997,Craft,7.0,7.0,3.0,5.0
Australia,1997,Hands,6.0,6.0,4.0,4.0
Australia,1997,Archive,7.0,7.0,3.0,6.0
Australia,1997,Flow,6.2,7.0,4.0,5.0
Australia,1998,Helm,6.0,7.0,4.2,6.0
Australia,1998,Shield,6.0,6.0,3.0,5.0
Australia,1998,Lore,5.2,6.0,4.0,5.0
Australia,1998,Stewards,6.4,7.0,4.0,5.0
Australia,1998,Craft,7.0,7.0,3.0,5.0
Australia,1998,Hands,6.0,6.0,4.0,4.0
Australia,1998,Archive,7.0,7.0,3.0,6.0
Australia,1998,Flow,6.0,7.0,4.0,5.0
Australia,1999,Helm,7.0,7.4,4.0,6.0
Australia,1999,Shield,7.8,7.2,5.0,6.0
Australia,1999,Lore,6.0,6.0,3.0,6.0
Australia,1999,Stewards,7.0,7.0,3.0,5.0
Australia,1999,Craft,7.0,7.0,3.0,5.0
Australia,1999,Hands,6.2,6.0,3.0,4.0
Australia,1999,Archive,7.0,7.0,3.0,6.0
Australia,1999,Flow,7.0,7.8,3.0,5.0
Australia,2000,Helm,8.0,8.0,3.0,7.0
Australia,2000,Shield,7.0,7.0,3.0,6.0
Australia,2000,Lore,7.2,7.0,2.4,7.0
Australia,2000,Stewards,7.0,7.6,3.0,6.0
Australia,2000,Craft,7.0,7.0,3.0,5.8
Australia,2000,Hands,7.0,7.0,2.8,5.0
Australia,2000,Archive,7.0,7.0,2.0,7.0
Australia,2000,Flow,8.0,8.0,2.6,6.0
Australia,2001,Helm,7.0,7.4,4.2,6.0
Australia,2001,Shield,7.8,8.0,5.0,6.0
Australia,2001,Lore,6.0,6.0,5.0,6.0
Australia,2001,Stewards,7.0,7.0,4.0,5.0
Australia,2001,Craft,6.0,7.0,4.0,5.0
Australia,2001,Hands,6.0,6.0,4.0,4.0
Australia,2001,Archive,7.0,7.0,3.0,6.0
Australia,2001,Flow,6.0,7.0,4.0,5.0
Australia,2002,Helm,7.0,7.0,5.2,6.0
Australia,2002,Shield,7.0,7.8,6.8,6.0
Australia,2002,Lore,6.0,6.0,5.2,6.0
Australia,2002,Stewards,7.0,7.0,3.0,5.0
Australia,2002,Craft,7.0,7.0,3.0,5.0
Australia,2002,Hands,6.0,6.0,3.4,4.0
Australia,2002,Archive,7.0,7.0,3.0,6.0
Australia,2002,Flow,7.0,7.0,3.0,5.0
Australia,2003,Helm,7.0,7.0,4.2,6.0
Australia,2003,Shield,7.0,8.0,5.0,6.0
Australia,2003,Lore,5.0,6.0,5.0,6.0
Australia,2003,Stewards,7.0,7.0,3.0,5.4
Australia,2003,Craft,7.0,7.0,3.0,5.0
Australia,2003,Hands,6.2,6.0,3.0,4.0
Australia,2003,Archive,7.0,7.0,3.0,6.0
Australia,2003,Flow,7.0,7.0,3.0,5.2
Australia,2004,Helm,8.0,8.0,3.0,6.0
Australia,2004,Shield,7.0,7.0,3.8,6.0
Australia,2004,Lore,6.4,6.8,3.2,6.0
Australia,2004,Stewards,8.0,8.0,3.0,6.0
Australia,2004,Craft,7.0,7.0,3.0,5.0
Australia,2004,Hands,7.0,7.0,3.0,4.0
Australia,2004,Archive,7.0,7.0,3.0,6.0
Australia,2004,Flow,8.0,8.0,3.0,6.0
Australia,2005,Helm,7.0,8.0,4.8,6.0
Australia,2005,Shield,7.0,7.0,5.0,5.0
Australia,2005,Lore,5.2,6.0,5.4,6.0
Australia,2005,Stewards,8.0,8.0,3.0,6.0
Australia,2005,Craft,6.2,7.0,5.0,5.0
Australia,2005,Hands,5.0,6.0,5.8,4.0
Australia,2005,Archive,7.0,7.0,3.0,6.0
