Society,Year,Node,Coherence,Capacity,Stress,Abstraction
China,1850,Helm,3.0,4.0,8.0,5.0
China,1850,Shield,3.0,4.2,8.0,4.0
China,1850,Lore,5.2,4.0,5.0,6.0
China,1850,Stewards,4.0,4.0,7.0,4.0
China,1850,Craft,4.0,3.0,6.0,3.0
China,1850,Hands,3.0,3.0,8.0,3.0
China,1850,Archive,4.0,4.0,6.0,5.0
China,1850,Flow,4.0,3.0,7.0,4.0
China,1860,Helm,2.0,3.0,9.0,5.0
China,1860,Shield,2.0,3.0,9.0,3.0
China,1860,Lore,4.8,4.0,6.0,6.0
China,1860,Stewards,3.0,3.0,8.0,4.0
China,1860,Craft,3.0,3.0,7.0,3.0
China,1860,Hands,2.0,2.0,9.0,3.0
China,1860,Archive,3.0,3.0,7.2,5.0
China,1860,Flow,3.0,3.0,8.0,4.0
China,1870,Helm,4.0,4.0,6.0,5.0
China,1870,Shield,4.0,4.0,5.0,4.0
China,1870,Lore,5.0,4.0,5.0,6.0
China,1870,Stewards,4.0,4.0,5.0,4.0
China,1870,Craft,4.0,4.0,5.0,4.0
China,1870,Hands,3.0,3.0,6.0,3.0
China,1870,Archive,4.0,4.0,5.0,5.0
China,1870,Flow,4.0,4.0,5.0,4.0
China,1880,Helm,4.0,4.0,6.0,5.0
China,1880,Shield,4.0,4.0,5.0,4.0
China,1880,Lore,5.0,4.0,5.0,6.0
China,1880,Stewards,4.0,5.0,5.0,4.0
China,1880,Craft,4.0,4.0,5.0,4.0
China,1880,Hands,3.0,3.0,6.0,3.0
China,1880,Archive,4.0,4.0,5.0,5.0
China,1880,Flow,4.0,4.0,5.0,4.0
China,1890,Helm,3.0,3.8,7.0,5.0
China,1890,Shield,3.0,4.0,7.0,4.0
China,1890,Lore,5.0,4.0,5.0,6.0
China,1890,Stewards,4.0,4.0,6.0,4.0
China,1890,Craft,4.0,3.4,5.0,4.0
China,1890,Hands,3.0,3.0,7.0,3.0
China,1890,Archive,4.0,4.0,5.2,5.0
China,1890,Flow,3.8,4.0,6.0,4.0
China,1900,Helm,2.0,3.0,9.0,5.0
China,1900,Shield,2.0,2.8,9.0,4.0
China,1900,Lore,3.0,3.0,7.0,6.0
China,1900,Stewards,3.0,3.0,8.0,4.0
China,1900,Craft,3.0,3.0,7.0,4.0
China,1900,Hands,2.0,2.2,9.0,3.0
China,1900,Archive,3.0,3.0,8.0,5.0
China,1900,Flow,3.0,3.0,8.0,4.0
China,1910,Helm,2.0,3.0,9.0,6.0
China,1910,Shield,3.0,3.0,8.0,4.0
China,1910,Lore,4.0,4.0,6.0,7.0
China,1910,Stewards,3.0,4.0,7.0,5.0
China,1910,Craft,3.0,3.0,7.0,4.0
China,1910,Hands,2.0,3.0,8.0,3.0
China,1910,Archive,3.0,3.0,8.0,5.0
China,1910,Flow,3.0,3.0,7.0,4.0
China,1920,Helm,2.0,2.0,9.0,6.0
China,1920,Shield,2.2,3.0,8.8,4.0
China,1920,Lore,4.0,4.0,6.0,7.0
China,1920,Stewards,3.0,3.0,7.0,5.0
China,1920,Craft,3.0,3.0,6.0,4.0
China,1920,Hands,2.0,3.0,8.0,3.0
China,1920,Archive,2.0,2.0,9.0,5.0
China,1920,Flow,3.0,3.0,7.0,5.0
China,1930,Helm,3.0,4.0,8.0,6.0
China,1930,Shield,3.0,4.0,8.0,4.0
China,1930,Lore,4.0,4.0,6.0,7.0
China,1930,Stewards,4.0,4.0,7.0,5.0
China,1930,Craft,4.0,4.0,6.0,4.0
China,1930,Hands,2.0,3.0,8.0,3.0
China,1930,Archive,3.0,3.0,7.0,5.0
China,1930,Flow,4.0,4.0,7.0,5.0
China,1940,Helm,2.0,3.0,9.0,6.0
China,1940,Shield,3.0,4.0,9.0,4.0
China,1940,Lore,3.2,3.0,7.0,6.0
China,1940,Stewards,3.0,3.0,8.0,4.0
China,1940,Craft,3.0,3.0,8.0,4.0
China,1940,Hands,2.0,2.0,9.0,3.0
China,1940,Archive,2.0,2.2,8.2,4.0
China,1940,Flow,2.0,3.0,9.0,4.0
China,1950,Helm,6.2,5.0,5.0,7.0
China,1950,Shield,6.0,6.0,6.0,5.0
