Society,Year,Node,Coherence,Capacity,Stress,Abstraction
China,1900,Helm,2,2,9,4
China,1900,Shield,2,2,9,2
China,1900,Lore,4,3,6,5
China,1900,Stewards,4,4,6,4
China,1900,Craft,3,3,7,3
China,1900,Hands,3,4,7,2
China,1900,Archive,5,4,6,5
China,1900,Flow,3,3,8,3
China,1901,Helm,2,2,9,4
China,1901,Shield,2,2,9,2
China,1901,Lore,4,3,6,5
China,1901,Stewards,4,4,6,4
China,1901,Craft,3,3,7,3
China,1901,Hands,3,4,7,2
China,1901,Archive,5,4,6,5
China,1901,Flow,3,3,8,3
China,1902,Helm,2,2,9,4
China,1902,Shield,2,2,9,2
China,1902,Lore,4,3,6,5
China,1902,Stewards,4,4,6,4
China,1902,Craft,3,3,7,3
China,1902,Hands,3,4,7,2
China,1902,Archive,5,4,6,5
China,1902,Flow,3,3,8,3
China,1903,Helm,3,3,8,5
China,1903,Shield,3,3,8,3
China,1903,Lore,4,4,7,5
China,1903,Stewards,4,4,6,4
China,1903,Craft,3,3,6,3
China,1903,Hands,3,3,7,2
China,1903,Archive,5,4,6,5
China,1903,Flow,3,4,7,3
China,1904,Helm,3,3,8,5
China,1904,Shield,3,3,8,3
China,1904,Lore,4,4,7,5
China,1904,Stewards,4,4,6,4
China,1904,Craft,3,3,6,3
China,1904,Hands,3,3,7,2
China,1904,Archive,5,4,6,5
China,1904,Flow,3,4,7,3
China,1905,Helm,3,3,8,5
China,1905,Shield,3,3,8,3
China,1905,Lore,4,4,7,5
China,1905,Stewards,4,4,6,4
China,1905,Craft,3,3,6,3
China,1905,Hands,3,3,7,2
China,1905,Archive,5,4,6,5
China,1905,Flow,3,4,7,3
China,1906,Helm,3,3,8,5
China,1906,Shield,3,3,8,3
China,1906,Lore,4,4,7,5
China,1906,Stewards,4,4,6,4
China,1906,Craft,3,3,6,3
China,1906,Hands,3,3,7,2
China,1906,Archive,5,4,6,5
China,1906,Flow,3,4,7,3
China,1907,Helm,3,3,8,5
China,1907,Shield,3,3,8,3
China,1907,Lore,4,4,7,5
China,1907,Stewards,4,4,6,4
China,1907,Craft,3,3,6,3
China,1907,Hands,3,3,7,2
China,1907,Archive,5,4,6,5
China,1907,Flow,3,4,7,3
China,1908,Helm,2,2,9,4
China,1908,Shield,2,2,9,2
China,1908,Lore,4,4,7,5
China,1908,Stewards,3,3,7,4
China,1908,Craft,3,3,7,3
China,1908,Hands,3,3,8,2
China,1908,Archive,4,4,7,5
China,1908,Flow,3,3,8,3
China,1909,Helm,2,2,9,4
China,1909,Shield,2,2,9,2
China,1909,Lore,4,4,7,5
China,1909,Stewards,3,3,7,4
China,1909,Craft,3,3,7,3
China,1909,Hands,3,3,8,2
China,1909,Archive,4,4,7,5
China,1909,Flow,3,3,8,3
China,1910,Helm,2,2,9,4
China,1910,Shield,2,2,9,2
China,1910,Lore,4,4,7,5
China,1910,Stewards,3,3,7,4
China,1910,Craft,3,3,7,3
China,1910,Hands,3,3,8,2
China,1910,Archive,4,4,7,5
China,1910,Flow,3,3,8,3
China,1911,Helm,1,1,10,3
China,1911,Shield,2,2,9,2
China,1911,Lore,3,3,7,5
China,1911,Stewards,3,3,8,3
China,1911,Craft,2,2,8,3
China,1911,Hands,2,3,8,2
China,1911,Archive,4,3,7,4
China,1911,Flow,2,2,9,3
China,1912,Helm,3,3,8,5
China,1912,Shield,3,3,8,3
China,1912,Lore,4,4,6,6
China,1912,Stewards,3,3,7,4
China,1912,Craft,3,3,7,3
China,1912,Hands,3,3,7,3
China,1912,Archive,4,4,6,5
China,1912,Flow,3,3,7,3
China,1913,Helm,3,3,8,5
China,1913,Shield,3,3,8,3
China,1913,Lore,4,4,6,6
China,1913,Stewards,3,3,7,4
China,1913,Craft,3,3,7,3
China,1913,Hands,3,3,7,3
China,1913,Archive,4,4,6,5
China,1913,Flow,3,3,7,3
China,1914,Helm,3,3,8,4
China,1914,Shield,3,3,8,3
China,1914,Lore,5,5,5,7
China,1914,Stewards,3,3,7,4
China,1914,Craft,3,3,7,3
China,1914,Hands,3,3,7,3
China,1914,Archive,4,4,6,5
China,1914,Flow,3,3,7,3
China,1915,Helm,3,3,8,4
China,1915,Shield,3,3,8,3
China,1915,Lore,5,5,5,7
China,1915,Stewards,3,3,7,4
China,1915,Craft,3,3,7,3
China,1915,Hands,3,3,7,3
China,1915,Archive,4,4,6,5
China,1915,Flow,3,3,7,3
China,1916,Helm,2,1,10,3
China,1916,Shield,3,4,8,3
China,1916,Lore,5,5,5,7
China,1916,Stewards,3,3,7,4
China,1916,Craft,3,3,7,3
China,1916,Hands,2,3,8,2
China,1916,Archive,4,4,6,5
China,1916,Flow,2,3,8,3
China,1917,Helm,2,1,10,3
China,1917,Shield,3,4,8,3
China,1917,Lore,5,5,5,7
China,1917,Stewards,3,3,7,4
China,1917,Craft,3,3,7,3
China,1917,Hands,2,3,8,2
China,1917,Archive,4,4,6,6
China,1917,Flow,2,3,8,3
China,1918,Helm,2,1,10,3
China,1918,Shield,3,4,9,3
China,1918,Lore,5,5,5,8
China,1918,Stewards,3,3,8,4
China,1918,Craft,3,3,7,3
China,1918,Hands,2,3,9,2
China,1918,Archive,5,5,5,6
China,1918,Flow,2,3,8,3
China,1919,Helm,2,1,10,3
China,1919,Shield,3,4,9,3
China,1919,Lore,5,5,5,8
China,1919,Stewards,3,3,8,4
China,1919,Craft,3,3,7,3
China,1919,Hands,2,3,9,2
China,1919,Archive,5,5,5,7
China,1919,Flow,2,3,8,3
China,1920,Helm,2,1,10,3
China,1920,Shield,3,4,9,3
China,1920,Lore,5,5,5,8
China,1920,Stewards,3,3,8,4
China,1920,Craft,3,3,7,3
China,1920,Hands,2,3,9,2
China,1920,Archive,5,5,5,7
China,1920,Flow,2,3,8,3
China,1921,Helm,2,1,10,3
China,1921,Shield,3,4,9,3
China,1921,Lore,5,5,5,7
China,1921,Stewards,3,3,8,3
China,1921,Craft,3,3,7,3
China,1921,Hands,2,3,9,2
China,1921,Archive,5,5,5,6
China,1921,Flow,2,3,8,3
China,1922,Helm,2,1,10,3
China,1922,Shield,3,4,9,3
China,1922,Lore,5,5,5,7
China,1922,Stewards,3,3,8,3
China,1922,Craft,3,3,7,3
China,1922,Hands,2,3,9,2
China,1922,Archive,5,5,5,6
China,1922,Flow,2,3,8,3
China,1923,Helm,2,1,10,3
China,1923,Shield,3,4,9,3
China,1923,Lore,5,5,5,7
China,1923,Stewards,3,3,8,3
China,1923,Craft,3,3,7,3
China,1923,Hands,2,3,9,2
China,1923,Archive,5,5,5,6
China,1923,Flow,2,3,8,3
China,1924,Helm,3,2,9,4
China,1924,Shield,4,4,8,3
China,1924,Lore,5,5,5,7
China,1924,Stewards,3,3,7,4
China,1924,Craft,3,3,7,3
China,1924,Hands,3,3,8,3
China,1924,Archive,5,5,5,6
China,1924,Flow,3,3,7,3
China,1925,Helm,3,2,9,4
China,1925,Shield,4,4,8,3
China,1925,Lore,5,5,5,7
China,1925,Stewards,3,3,7,4
China,1925,Craft,3,3,7,3
China,1925,Hands,3,3,8,3
China,1925,Archive,5,5,5,6
China,1925,Flow,3,3,7,3
