Society,Year,Node,Coherence,Capacity,Stress,Abstraction
France,1800,Helm,7,7,5,7
France,1800,Shield,8,8,6,7
France,1800,Lore,5,6,6,8
France,1800,Stewards,5,5,6,6
France,1800,Craft,6,6,5,6
France,1800,Hands,6,6,6,4
France,1800,Archive,7,7,4,8
France,1800,Flow,5,5,7,6
France,1801,Helm,8,8,4,7
France,1801,Shield,8,8,4,7
France,1801,Lore,6,6,5,8
France,1801,Stewards,6,6,5,6
France,1801,Craft,7,6,4,6
France,1801,Hands,6,6,5,4
France,1801,Archive,8,7,3,8
France,1801,Flow,6,6,5,6
France,1802,Helm,9,8,3,8
France,1802,Shield,9,8,3,7
France,1802,Lore,7,7,4,8
France,1802,Stewards,7,6,4,6
France,1802,Craft,7,7,4,7
France,1802,Hands,7,7,4,4
France,1802,Archive,8,8,3,8
France,1802,Flow,7,7,4,6
France,1803,Helm,9,9,4,8
France,1803,Shield,9,9,4,7
France,1803,Lore,7,7,4,8
France,1803,Stewards,7,7,4,7
France,1803,Craft,7,7,4,7
France,1803,Hands,7,7,4,4
France,1803,Archive,8,8,3,8
France,1803,Flow,6,7,5,7
France,1804,Helm,9,9,4,9
France,1804,Shield,9,10,4,8
France,1804,Lore,8,7,4,8
France,1804,Stewards,7,7,4,7
France,1804,Craft,8,7,4,7
France,1804,Hands,7,7,5,4
France,1804,Archive,9,8,3,9
France,1804,Flow,6,7,5,7
France,1805,Helm,9,10,5,9
France,1805,Shield,10,10,5,8
France,1805,Lore,8,8,4,8
France,1805,Stewards,7,7,5,7
France,1805,Craft,8,8,4,7
France,1805,Hands,7,8,5,4
France,1805,Archive,9,8,3,9
France,1805,Flow,6,7,6,7
France,1806,Helm,9,10,4,9
France,1806,Shield,10,10,4,8
France,1806,Lore,8,8,4,8
France,1806,Stewards,8,8,4,7
France,1806,Craft,8,8,4,7
France,1806,Hands,7,8,5,4
France,1806,Archive,9,9,3,9
France,1806,Flow,6,7,7,7
France,1807,Helm,9,10,4,9
France,1807,Shield,10,10,4,8
France,1807,Lore,8,8,4,8
France,1807,Stewards,8,8,4,8
France,1807,Craft,8,8,4,7
France,1807,Hands,7,8,5,4
France,1807,Archive,9,9,3,9
France,1807,Flow,6,7,7,7
France,1808,Helm,8,9,6,9
France,1808,Shield,9,9,6,8
France,1808,Lore,7,8,5,8
France,1808,Stewards,8,8,5,8
France,1808,Craft,8,8,4,7
France,1808,Hands,7,7,6,4
France,1808,Archive,9,9,3,9
France,1808,Flow,5,6,8,7
France,1809,Helm,8,9,7,9
France,1809,Shield,8,9,7,8
France,1809,Lore,7,8,6,8
France,1809,Stewards,7,7,6,8
France,1809,Craft,8,8,5,7
France,1809,Hands,6,7,7,4
France,1809,Archive,9,9,4,9
France,1809,Flow,5,6,8,7
France,1810,Helm,8,9,6,9
France,1810,Shield,9,9,6,8
France,1810,Lore,7,8,6,8
France,1810,Stewards,8,8,6,8
France,1810,Craft,8,8,5,7
France,1810,Hands,6,7,7,4
France,1810,Archive,9,9,4,9
France,1810,Flow,5,6,9,7
France,1811,Helm,8,9,6,9
France,1811,Shield,9,9,6,8
France,1811,Lore,7,8,6,8
France,1811,Stewards,7,7,7,8
France,1811,Craft,8,8,6,7
France,1811,Hands,6,6,8,4
France,1811,Archive,9,9,4,9
France,1811,Flow,5,6,9,7
France,1812,Helm,7,8,8,9
France,1812,Shield,7,8,9,8
France,1812,Lore,6,7,7,8
France,1812,Stewards,6,7,7,8
France,1812,Craft,7,7,6,7
France,1812,Hands,5,6,9,4
France,1812,Archive,9,9,4,9
France,1812,Flow,4,5,9,7
France,1813,Helm,6,7,9,9
France,1813,Shield,5,6,10,8
France,1813,Lore,5,6,8,8
