Society,Year,Node,Coherence,Capacity,Stress,Abstraction
France,1800,Helm,8,9,4,8
France,1800,Shield,9,9,3,8
France,1800,Lore,7,7,5,6
France,1800,Stewards,6,6,5,5
France,1800,Craft,7,8,4,6
France,1800,Hands,7,8,4,5
France,1800,Archive,6,6,5,5
France,1800,Flow,8,8,4,7
France,1801,Helm,8,9,4,8
France,1801,Shield,9,9,3,8
France,1801,Lore,7,7,5,6
France,1801,Stewards,6,6,5,5
France,1801,Craft,7,8,4,6
France,1801,Hands,7,8,4,5
France,1801,Archive,6,6,5,5
France,1801,Flow,8,8,4,7
France,1802,Helm,8,9,4,8
France,1802,Shield,9,9,3,8
France,1802,Lore,7,7,5,6
France,1802,Stewards,6,6,5,5
France,1802,Craft,7,8,4,6
France,1802,Hands,7,8,4,5
France,1802,Archive,6,6,5,5
France,1802,Flow,8,8,4,7
France,1803,Helm,9,9,3,8
France,1803,Shield,9,9,2,8
France,1803,Lore,7,7,5,6
France,1803,Stewards,6,6,5,5
France,1803,Craft,8,8,4,6
France,1803,Hands,7,8,4,5
France,1803,Archive,6,6,5,5
France,1803,Flow,8,8,3,7
France,1804,Helm,9,9,3,8
France,1804,Shield,9,9,2,8
France,1804,Lore,7,7,5,7
France,1804,Stewards,6,6,5,5
France,1804,Craft,8,8,4,6
France,1804,Hands,7,8,4,5
France,1804,Archive,6,6,5,6
France,1804,Flow,8,8,3,7
France,1805,Helm,9,9,3,8
France,1805,Shield,9,9,3,8
France,1805,Lore,7,6,6,7
France,1805,Stewards,6,6,5,5
France,1805,Craft,8,8,4,6
France,1805,Hands,7,8,5,5
France,1805,Archive,6,6,5,6
France,1805,Flow,7,7,5,7
France,1806,Helm,9,9,3,8
France,1806,Shield,9,9,3,8
France,1806,Lore,7,6,6,7
France,1806,Stewards,6,6,5,5
France,1806,Craft,8,8,4,6
France,1806,Hands,7,8,5,5
France,1806,Archive,6,6,5,6
France,1806,Flow,7,7,5,7
France,1807,Helm,9,8,4,8
France,1807,Shield,9,8,4,8
France,1807,Lore,6,6,6,7
France,1807,Stewards,6,6,6,5
France,1807,Craft,8,7,5,6
France,1807,Hands,6,7,6,5
France,1807,Archive,6,6,6,6
France,1807,Flow,7,6,6,7
France,1808,Helm,8,8,5,8
France,1808,Shield,8,7,5,8
France,1808,Lore,6,5,7,6
France,1808,Stewards,5,5,6,5
France,1808,Craft,7,6,6,6
France,1808,Hands,6,6,7,4
France,1808,Archive,5,5,6,6
France,1808,Flow,6,6,6,6
France,1809,Helm,8,8,6,8
France,1809,Shield,8,7,6,8
France,1809,Lore,6,5,7,6
France,1809,Stewards,5,5,7,5
France,1809,Craft,7,6,7,6
France,1809,Hands,6,6,8,4
France,1809,Archive,5,5,7,6
France,1809,Flow,6,5,7,6
France,1810,Helm,8,7,7,7
France,1810,Shield,8,6,7,7
France,1810,Lore,5,5,8,6
France,1810,Stewards,4,5,8,4
