Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Germany,1900,Helm,7,7,3,7
Germany,1900,Shield,8,7,3,7
Germany,1900,Lore,8,8,2,8
Germany,1900,Stewards,7,7,3,7
Germany,1900,Craft,8,8,2,8
Germany,1900,Hands,6,6,4,5
Germany,1900,Archive,8,7,2,8
Germany,1900,Flow,7,7,3,7
Germany,1901,Helm,7,7,3,7
Germany,1901,Shield,8,7,3,7
Germany,1901,Lore,8,8,2,8
Germany,1901,Stewards,7,7,3,7
Germany,1901,Craft,8,8,2,8
Germany,1901,Hands,6,6,4,5
Germany,1901,Archive,8,7,2,8
Germany,1901,Flow,7,7,3,7
Germany,1902,Helm,7,7,3,7
Germany,1902,Shield,8,7,3,7
Germany,1902,Lore,8,8,2,8
Germany,1902,Stewards,7,7,3,7
Germany,1902,Craft,8,8,2,8
Germany,1902,Hands,6,6,4,5
Germany,1902,Archive,8,7,2,8
Germany,1902,Flow,7,7,3,7
Germany,1903,Helm,7,7,3,7
Germany,1903,Shield,8,7,3,7
Germany,1903,Lore,8,8,2,8
Germany,1903,Stewards,7,7,3,7
Germany,1903,Craft,8,8,2,8
Germany,1903,Hands,6,6,4,5
Germany,1903,Archive,8,7,2,8
Germany,1903,Flow,7,7,3,7
Germany,1904,Helm,7,7,4,7
Germany,1904,Shield,8,7,3,7
Germany,1904,Lore,8,8,2,8
Germany,1904,Stewards,7,7,3,7
Germany,1904,Craft,8,8,2,8
Germany,1904,Hands,6,6,4,5
Germany,1904,Archive,8,7,2,8
Germany,1904,Flow,7,7,3,7
Germany,1905,Helm,7,7,4,7
Germany,1905,Shield,8,7,3,7
Germany,1905,Lore,8,8,2,8
Germany,1905,Stewards,7,7,3,7
Germany,1905,Craft,8,8,2,8
Germany,1905,Hands,6,6,4,5
Germany,1905,Archive,8,7,2,8
Germany,1905,Flow,7,7,3,7
Germany,1906,Helm,7,7,4,7
Germany,1906,Shield,8,7,3,7
Germany,1906,Lore,8,8,2,8
Germany,1906,Stewards,7,7,3,7
Germany,1906,Craft,8,8,2,8
Germany,1906,Hands,6,6,4,5
Germany,1906,Archive,8,7,2,8
Germany,1906,Flow,7,7,3,7
Germany,1907,Helm,7,7,4,7
Germany,1907,Shield,8,8,4,8
Germany,1907,Lore,8,8,2,8
Germany,1907,Stewards,7,8,3,7
Germany,1907,Craft,8,8,2,8
Germany,1907,Hands,6,6,5,5
Germany,1907,Archive,8,7,2,8
Germany,1907,Flow,7,8,4,7
Germany,1908,Helm,7,7,4,7
Germany,1908,Shield,8,8,4,8
Germany,1908,Lore,8,8,2,8
Germany,1908,Stewards,7,8,3,7
Germany,1908,Craft,8,8,2,8
Germany,1908,Hands,6,6,5,5
Germany,1908,Archive,8,7,2,8
Germany,1908,Flow,7,8,4,7
Germany,1909,Helm,7,7,4,7
Germany,1909,Shield,8,8,4,8
Germany,1909,Lore,8,8,2,8
Germany,1909,Stewards,7,8,3,7
Germany,1909,Craft,8,8,2,8
Germany,1909,Hands,6,6,5,5
Germany,1909,Archive,8,7,2,8
Germany,1909,Flow,7,8,4,7
Germany,1910,Helm,7,7,5,7
Germany,1910,Shield,8,8,4,8
Germany,1910,Lore,8,8,2,8
Germany,1910,Stewards,7,8,3,7
Germany,1910,Craft,8,8,2,8
Germany,1910,Hands,6,6,5,5
Germany,1910,Archive,8,7,2,8
Germany,1910,Flow,7,8,4,7
Germany,1911,Helm,7,7,5,7
Germany,1911,Shield,8,8,4,8
Germany,1911,Lore,8,8,2,8
Germany,1911,Stewards,7,8,3,7
Germany,1911,Craft,8,8,2,8
Germany,1911,Hands,6,6,5,5
Germany,1911,Archive,8,7,2,8
Germany,1911,Flow,7,8,4,7
Germany,1912,Helm,7,7,5,7
Germany,1912,Shield,8,8,4,8
Germany,1912,Lore,8,8,2,8
Germany,1912,Stewards,7,8,3,7
Germany,1912,Craft,8,8,2,8
Germany,1912,Hands,6,6,5,5
Germany,1912,Archive,8,7,2,8
Germany,1912,Flow,7,8,4,7
Germany,1913,Helm,7,7,5,7
Germany,1913,Shield,8,8,4,8
Germany,1913,Lore,8,8,2,8
Germany,1913,Stewards,7,8,3,7
Germany,1913,Craft,8,8,2,8
Germany,1913,Hands,6,6,5,5
Germany,1913,Archive,8,7,2,8
Germany,1913,Flow,7,8,4,7
Germany,1914,Helm,6,7,6,7
Germany,1914,Shield,8,9,6,8
Germany,1914,Lore,7,7,5,7
Germany,1914,Stewards,7,7,5,7
Germany,1914,Craft,7,8,5,7
Germany,1914,Hands,5,5,7,4
Germany,1914,Archive,7,6,5,7
Germany,1914,Flow,6,6,6,6
Germany,1915,Helm,5,6,8,6
Germany,1915,Shield,7,8,8,7
Germany,1915,Lore,6,6,7,6
Germany,1915,Stewards,6,6,6,6
Germany,1915,Craft,7,7,7,6
Germany,1915,Hands,4,4,9,3
Germany,1915,Archive,6,5,6,6
Germany,1915,Flow,4,4,8,5
Germany,1916,Helm,5,6,8,6
Germany,1916,Shield,7,8,8,7
Germany,1916,Lore,6,6,7,6
Germany,1916,Stewards,6,6,6,6
Germany,1916,Craft,7,7,7,6
Germany,1916,Hands,4,4,9,3
Germany,1916,Archive,6,5,6,6
Germany,1916,Flow,4,4,8,5
Germany,1917,Helm,4,4,9,5
Germany,1917,Shield,6,6,9,6
Germany,1917,Lore,5,5,8,6
