Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Indigenous Australia,1600,Helm,7,6,3,6
Indigenous Australia,1600,Shield,6,5,3,5
Indigenous Australia,1600,Lore,8,8,2,8
Indigenous Australia,1600,Stewards,7,7,3,6
Indigenous Australia,1600,Craft,7,7,3,7
Indigenous Australia,1600,Hands,6,7,3,5
Indigenous Australia,1600,Archive,7,7,2,7
Indigenous Australia,1600,Flow,6,6,3,6
Indigenous Australia,1625,Helm,7,6,3,6
Indigenous Australia,1625,Shield,6,5,3,5
Indigenous Australia,1625,Lore,8,8,2,8
Indigenous Australia,1625,Stewards,7,7,3,6
Indigenous Australia,1625,Craft,7,7,3,7
Indigenous Australia,1625,Hands,6,7,3,5
Indigenous Australia,1625,Archive,7,7,2,7
Indigenous Australia,1625,Flow,6,6,3,6
Indigenous Australia,1650,Helm,7,6,3,6
Indigenous Australia,1650,Shield,6,5,3,5
Indigenous Australia,1650,Lore,8,8,2,8
Indigenous Australia,1650,Stewards,7,7,3,6
Indigenous Australia,1650,Craft,7,7,3,7
Indigenous Australia,1650,Hands,6,7,3,5
Indigenous Australia,1650,Archive,7,7,2,7
Indigenous Australia,1650,Flow,6,6,3,6
Indigenous Australia,1675,Helm,7,6,3,6
Indigenous Australia,1675,Shield,6,5,3,5
Indigenous Australia,1675,Lore,8,8,2,8
Indigenous Australia,1675,Stewards,7,7,3,6
Indigenous Australia,1675,Craft,7,7,3,7
Indigenous Australia,1675,Hands,6,7,3,5
Indigenous Australia,1675,Archive,7,7,2,7
Indigenous Australia,1675,Flow,6,6,3,6
Indigenous Australia,1700,Helm,7,6,3,6
Indigenous Australia,1700,Shield,6,5,3,5
Indigenous Australia,1700,Lore,8,8,2,8
Indigenous Australia,1700,Stewards,7,7,3,6
Indigenous Australia,1700,Craft,7,7,3,7
Indigenous Australia,1700,Hands,6,7,3,5
Indigenous Australia,1700,Archive,7,7,2,7
Indigenous Australia,1700,Flow,7,7,3,7
Indigenous Australia,1725,Helm,7,6,3,6
Indigenous Australia,1725,Shield,6,5,3,5
Indigenous Australia,1725,Lore,8,8,2,8
Indigenous Australia,1725,Stewards,7,7,3,6
Indigenous Australia,1725,Craft,7,7,3,7
Indigenous Australia,1725,Hands,6,7,3,5
Indigenous Australia,1725,Archive,7,7,2,7
Indigenous Australia,1725,Flow,7,7,3,7
Indigenous Australia,1750,Helm,7,6,3,6
Indigenous Australia,1750,Shield,6,5,3,5
Indigenous Australia,1750,Lore,8,8,2,8
Indigenous Australia,1750,Stewards,7,7,3,6
Indigenous Australia,1750,Craft,7,7,3,7
Indigenous Australia,1750,Hands,6,7,3,5
Indigenous Australia,1750,Archive,7,7,2,7
Indigenous Australia,1750,Flow,7,7,3,7
Indigenous Australia,1775,Helm,7,6,3,6
Indigenous Australia,1775,Shield,6,5,3,5
Indigenous Australia,1775,Lore,8,8,2,8
Indigenous Australia,1775,Stewards,7,7,3,6
Indigenous Australia,1775,Craft,7,7,3,7
Indigenous Australia,1775,Hands,6,7,3,5
Indigenous Australia,1775,Archive,7,7,2,7
