Society,Year,Node,Coherence,Capacity,Stress,Abstraction
New Zealand,1900,Archive,8,7,2,7
New Zealand,1900,Craft,8,7,3,7
New Zealand,1900,Flow,7,8,4,7
New Zealand,1900,Hands,6,7,5,5
New Zealand,1900,Helm,8,7,3,7
New Zealand,1900,Lore,7,7,3,7
New Zealand,1900,Shield,6,5,2,5
New Zealand,1900,Stewards,7,7,4,6
New Zealand,1901,Archive,8,7,2,7
New Zealand,1901,Craft,8,8,3,7
New Zealand,1901,Flow,7,8,4,7
New Zealand,1901,Hands,6,7,4,5
New Zealand,1901,Helm,8,8,3,7
New Zealand,1901,Lore,7,7,3,7
New Zealand,1901,Shield,6,6,3,6
New Zealand,1901,Stewards,7,7,4,6
New Zealand,1902,Archive,8,7,2,7
New Zealand,1902,Craft,8,8,3,7
New Zealand,1902,Flow,8,8,3,7
New Zealand,1902,Hands,7,7,4,5
New Zealand,1902,Helm,8,8,3,7
New Zealand,1902,Lore,7,7,3,7
New Zealand,1902,Shield,6,6,2,6
New Zealand,1902,Stewards,7,7,3,6
New Zealand,1903,Archive,8,8,2,7
New Zealand,1903,Craft,8,8,3,7
New Zealand,1903,Flow,8,8,4,7
New Zealand,1903,Hands,7,7,4,5
New Zealand,1903,Helm,8,8,3,7
New Zealand,1903,Lore,7,7,3,7
New Zealand,1903,Shield,6,5,2,6
New Zealand,1903,Stewards,7,7,3,6
New Zealand,1904,Archive,8,8,2,7
New Zealand,1904,Craft,8,8,3,7
New Zealand,1904,Flow,7,7,4,7
New Zealand,1904,Hands,7,7,4,5
New Zealand,1904,Helm,8,8,4,7
New Zealand,1904,Lore,7,7,3,7
New Zealand,1904,Shield,6,5,2,6
New Zealand,1904,Stewards,7,7,4,6
New Zealand,1905,Archive,8,8,2,7
New Zealand,1905,Craft,8,8,3,7
New Zealand,1905,Flow,8,8,4,7
New Zealand,1905,Hands,7,7,4,5
New Zealand,1905,Helm,8,8,4,7
New Zealand,1905,Lore,7,8,3,7
New Zealand,1905,Shield,6,5,2,6
New Zealand,1905,Stewards,7,7,4,6
New Zealand,1906,Archive,8,8,2,7
New Zealand,1906,Craft,8,8,3,7
New Zealand,1906,Flow,8,8,3,7
New Zealand,1906,Hands,7,7,4,5
New Zealand,1906,Helm,7,8,4,7
New Zealand,1906,Lore,7,8,3,7
New Zealand,1906,Shield,6,5,2,6
New Zealand,1906,Stewards,7,7,3,6
New Zealand,1907,Archive,7,7,4,7
New Zealand,1907,Craft,8,8,3,7
New Zealand,1907,Flow,8,8,4,7
New Zealand,1907,Hands,6,7,5,5
New Zealand,1907,Helm,8,8,4,8
New Zealand,1907,Lore,7,8,3,7
New Zealand,1907,Shield,6,5,2,6
New Zealand,1907,Stewards,7,7,3,6
New Zealand,1908,Archive,8,8,2,7
New Zealand,1908,Craft,7,8,4,7
New Zealand,1908,Flow,7,7,5,7
New Zealand,1908,Hands,5,7,6,5
New Zealand,1908,Helm,8,7,4,7
New Zealand,1908,Lore,7,8,3,7
New Zealand,1908,Shield,6,5,2,6
New Zealand,1908,Stewards,7,7,4,6
New Zealand,1909,Archive,8,8,2,7
New Zealand,1909,Craft,7,8,4,7
New Zealand,1909,Flow,7,8,4,7
New Zealand,1909,Hands,6,7,5,5
New Zealand,1909,Helm,7,7,4,7
New Zealand,1909,Lore,7,8,3,7
New Zealand,1909,Shield,7,6,3,7
New Zealand,1909,Stewards,7,7,4,6
New Zealand,1910,Archive,8,8,2,7
New Zealand,1910,Craft,7,8,4,7
New Zealand,1910,Flow,8,8,3,7
New Zealand,1910,Hands,6,7,5,5
New Zealand,1910,Helm,7,7,4,7
New Zealand,1910,Lore,7,8,3,7
New Zealand,1910,Shield,7,7,3,7
New Zealand,1910,Stewards,7,7,3,6
New Zealand,1911,Archive,8,8,2,7
New Zealand,1911,Craft,7,7,4,7
New Zealand,1911,Flow,8,8,4,7
New Zealand,1911,Hands,5,7,6,5
New Zealand,1911,Helm,6,7,5,7
New Zealand,1911,Lore,7,7,3,7
New Zealand,1911,Shield,7,7,3,7
New Zealand,1911,Stewards,7,7,4,6
New Zealand,1912,Archive,8,8,2,7
New Zealand,1912,Craft,7,7,5,7
New Zealand,1912,Flow,7,7,5,7
New Zealand,1912,Hands,4,6,8,5
New Zealand,1912,Helm,5,7,6,7
New Zealand,1912,Lore,7,7,4,7
New Zealand,1912,Shield,8,8,4,7
New Zealand,1912,Stewards,7,7,5,6
New Zealand,1913,Archive,8,8,3,7
New Zealand,1913,Craft,6,7,6,7
New Zealand,1913,Flow,6,6,7,7
New Zealand,1913,Hands,3,5,9,5
New Zealand,1913,Helm,7,8,6,7
New Zealand,1913,Lore,6,7,5,7
New Zealand,1913,Shield,8,8,7,7
New Zealand,1913,Stewards,8,7,5,6
New Zealand,1914,Archive,8,8,3,7
New Zealand,1914,Craft,8,7,5,7
New Zealand,1914,Flow,7,7,6,7
New Zealand,1914,Hands,7,7,5,5
New Zealand,1914,Helm,8,8,6,7
New Zealand,1914,Lore,8,8,4,7
New Zealand,1914,Shield,8,7,6,8
New Zealand,1914,Stewards,8,8,4,6
New Zealand,1915,Archive,8,8,4,7
New Zealand,1915,Craft,7,7,6,7
New Zealand,1915,Flow,7,7,6,7
New Zealand,1915,Hands,7,6,6,5
New Zealand,1915,Helm,8,8,6,8
New Zealand,1915,Lore,8,8,5,7
New Zealand,1915,Shield,7,8,8,8
New Zealand,1915,Stewards,8,8,4,7
New Zealand,1916,Archive,8,8,4,7
New Zealand,1916,Craft,7,6,7,7
New Zealand,1916,Flow,7,6,7,7
New Zealand,1916,Hands,7,6,7,5
New Zealand,1916,Helm,8,8,6,8
New Zealand,1916,Lore,8,7,6,7
New Zealand,1916,Shield,7,8,8,8
New Zealand,1916,Stewards,8,8,5,7
New Zealand,1917,Archive,8,7,5,7
New Zealand,1917,Craft,6,6,8,7
New Zealand,1917,Flow,6,6,8,7
New Zealand,1917,Hands,6,5,8,5
New Zealand,1917,Helm,7,7,7,8
New Zealand,1917,Lore,7,7,7,7
New Zealand,1917,Shield,7,8,9,8
New Zealand,1917,Stewards,8,8,6,7
New Zealand,1918,Archive,7,6,8,7
New Zealand,1918,Craft,5,5,9,7
New Zealand,1918,Flow,5,5,9,7
New Zealand,1918,Hands,5,4,9,5
New Zealand,1918,Helm,6,7,9,8
New Zealand,1918,Lore,6,6,8,7
New Zealand,1918,Shield,7,7,9,8
New Zealand,1918,Stewards,7,7,7,7
New Zealand,1919,Archive,8,8,4,7
New Zealand,1919,Craft,7,7,5,7
New Zealand,1919,Flow,8,8,5,7
New Zealand,1919,Hands,6,7,6,5
New Zealand,1919,Helm,7,7,6,7
New Zealand,1919,Lore,7,7,5,7
New Zealand,1919,Shield,6,6,5,7
New Zealand,1919,Stewards,8,8,5,7
New Zealand,1920,Archive,8,8,3,7
New Zealand,1920,Craft,8,8,4,7
New Zealand,1920,Flow,8,8,5,7
New Zealand,1920,Hands,7,7,5,5
New Zealand,1920,Helm,8,8,4,7
New Zealand,1920,Lore,7,7,4,7
New Zealand,1920,Shield,6,6,3,7
New Zealand,1920,Stewards,8,8,4,7
New Zealand,1921,Archive,8,8,3,7
New Zealand,1921,Craft,7,7,6,7
New Zealand,1921,Flow,6,6,8,7
New Zealand,1921,Hands,6,6,7,5
New Zealand,1921,Helm,7,7,6,7
New Zealand,1921,Lore,7,7,4,7
New Zealand,1921,Shield,6,6,3,7
New Zealand,1921,Stewards,6,6,7,7
New Zealand,1922,Archive,8,8,3,7
New Zealand,1922,Craft,7,7,5,7
New Zealand,1922,Flow,7,7,6,7
New Zealand,1922,Hands,6,6,6,5
New Zealand,1922,Helm,7,7,5,7
