Society,Year,Node,Coherence,Capacity,Stress,Abstraction
SpaceX,2006,Helm,7.0,5.0,5.0,7.0
SpaceX,2006,Shield,6.0,4.0,4.2,3.0
SpaceX,2006,Lore,7.0,5.0,4.2,6.0
SpaceX,2006,Stewards,7.8,4.8,5.0,4.0
SpaceX,2006,Craft,7.0,6.0,4.0,5.0
SpaceX,2006,Hands,6.0,5.0,4.0,3.0
SpaceX,2006,Archive,4.8,3.8,3.0,3.0
SpaceX,2006,Flow,5.0,3.8,6.2,4.0
SpaceX,2007,Helm,7.0,5.0,6.0,7.0
SpaceX,2007,Shield,6.0,4.0,4.2,3.0
SpaceX,2007,Lore,7.0,6.0,5.0,6.0
SpaceX,2007,Stewards,7.0,4.0,7.0,4.0
SpaceX,2007,Craft,7.0,6.0,5.0,5.0
SpaceX,2007,Hands,6.0,5.0,5.0,3.0
SpaceX,2007,Archive,4.8,3.8,3.0,3.0
SpaceX,2007,Flow,4.8,3.0,7.4,4.0
SpaceX,2008,Helm,6.8,4.0,8.2,7.0
SpaceX,2008,Shield,5.0,3.0,6.0,3.0
SpaceX,2008,Lore,7.0,6.0,6.0,6.0
SpaceX,2008,Stewards,6.0,3.0,9.0,4.0
SpaceX,2008,Craft,7.0,6.0,6.2,5.0
SpaceX,2008,Hands,5.8,5.0,7.2,3.0
SpaceX,2008,Archive,5.0,4.0,5.0,3.0
SpaceX,2008,Flow,3.8,3.0,9.0,4.0
SpaceX,2009,Helm,7.2,6.0,4.8,7.0
SpaceX,2009,Shield,6.0,5.0,4.0,3.0
SpaceX,2009,Lore,8.0,6.2,4.0,6.0
SpaceX,2009,Stewards,8.0,6.0,4.0,4.0
SpaceX,2009,Craft,7.0,7.0,4.0,5.0
SpaceX,2009,Hands,6.0,6.0,4.0,3.0
SpaceX,2009,Archive,6.0,5.0,3.0,4.0
SpaceX,2009,Flow,6.0,5.0,5.0,4.0
SpaceX,2010,Helm,8.0,6.2,4.0,7.0
SpaceX,2010,Shield,6.0,5.0,4.0,3.0
SpaceX,2010,Lore,8.0,7.0,3.0,6.0
SpaceX,2010,Stewards,8.0,7.0,4.0,4.0
SpaceX,2010,Craft,8.0,7.0,3.8,6.0
SpaceX,2010,Hands,7.0,6.0,3.0,3.0
SpaceX,2010,Archive,6.0,5.0,3.0,4.0
SpaceX,2010,Flow,7.0,6.0,4.0,4.0
SpaceX,2011,Helm,8.0,7.0,4.0,7.0
SpaceX,2011,Shield,6.0,5.0,4.0,4.0
SpaceX,2011,Lore,8.0,7.0,3.0,7.0
SpaceX,2011,Stewards,8.0,7.0,4.0,4.0
SpaceX,2011,Craft,8.0,7.0,4.0,6.0
SpaceX,2011,Hands,7.0,6.2,3.0,4.0
SpaceX,2011,Archive,6.0,6.0,3.0,4.0
SpaceX,2011,Flow,7.0,6.2,4.0,4.0
SpaceX,2012,Helm,8.0,7.0,3.0,7.0
SpaceX,2012,Shield,6.2,6.0,4.0,4.0
SpaceX,2012,Lore,8.0,8.0,3.0,7.0
SpaceX,2012,Stewards,8.0,8.0,3.0,5.0
SpaceX,2012,Craft,8.0,8.0,3.0,6.0
