Society,Year,Node,Coherence,Capacity,Stress,Abstraction
Spain,1800,Helm,4,4,5,6
Spain,1800,Shield,5,6,4,5
Spain,1800,Lore,8,7,3,7
Spain,1800,Stewards,4,4,6,5
Spain,1800,Craft,5,5,4,5
Spain,1800,Hands,6,6,4,3
Spain,1800,Archive,7,7,3,7
Spain,1800,Flow,4,4,7,5
Spain,1801,Helm,4,4,5,6
Spain,1801,Shield,6,6,4,5
Spain,1801,Lore,8,7,3,7
Spain,1801,Stewards,4,4,6,5
Spain,1801,Craft,5,5,4,5
Spain,1801,Hands,6,6,4,3
Spain,1801,Archive,7,7,3,7
Spain,1801,Flow,4,4,7,5
Spain,1802,Helm,4,4,5,6
Spain,1802,Shield,5,6,3,5
Spain,1802,Lore,8,7,3,7
Spain,1802,Stewards,4,4,5,5
Spain,1802,Craft,5,5,4,5
Spain,1802,Hands,6,6,4,3
Spain,1802,Archive,7,7,3,7
Spain,1802,Flow,5,5,6,5
Spain,1803,Helm,4,4,6,6
Spain,1803,Shield,5,5,4,5
Spain,1803,Lore,8,7,3,7
Spain,1803,Stewards,4,4,6,5
Spain,1803,Craft,5,5,4,5
Spain,1803,Hands,6,6,4,3
Spain,1803,Archive,7,7,3,7
Spain,1803,Flow,4,4,8,5
Spain,1804,Helm,3,4,7,6
Spain,1804,Shield,4,5,5,5
Spain,1804,Lore,8,7,4,7
Spain,1804,Stewards,3,3,8,5
Spain,1804,Craft,5,5,5,5
Spain,1804,Hands,5,5,6,3
Spain,1804,Archive,7,7,4,7
Spain,1804,Flow,3,3,9,5
Spain,1805,Helm,3,3,8,6
Spain,1805,Shield,2,3,9,5
Spain,1805,Lore,8,7,4,7
Spain,1805,Stewards,3,3,9,5
Spain,1805,Craft,5,5,5,5
Spain,1805,Hands,5,5,6,3
Spain,1805,Archive,7,7,4,7
Spain,1805,Flow,2,2,10,5
Spain,1806,Helm,3,3,8,6
Spain,1806,Shield,2,3,8,5
Spain,1806,Lore,8,7,4,7
Spain,1806,Stewards,3,3,9,5
Spain,1806,Craft,5,5,5,5
Spain,1806,Hands,5,5,6,3
Spain,1806,Archive,7,7,4,7
Spain,1806,Flow,2,2,10,5
Spain,1807,Helm,2,3,9,6
Spain,1807,Shield,3,3,8,5
Spain,1807,Lore,7,6,5,7
Spain,1807,Stewards,3,2,9,5
Spain,1807,Craft,4,4,6,5
Spain,1807,Hands,5,5,7,3
Spain,1807,Archive,7,6,5,7
Spain,1807,Flow,2,2,10,5
Spain,1808,Helm,1,1,10,6
Spain,1808,Shield,2,3,10,4
Spain,1808,Lore,6,5,8,7
Spain,1808,Stewards,2,1,10,5
Spain,1808,Craft,3,3,9,5
Spain,1808,Hands,4,5,10,3
Spain,1808,Archive,5,4,8,7
Spain,1808,Flow,1,1,10,5
Spain,1809,Helm,1,2,10,7
Spain,1809,Shield,3,4,10,4
Spain,1809,Lore,6,5,9,7
Spain,1809,Stewards,1,1,10,5
Spain,1809,Craft,2,2,10,5
Spain,1809,Hands,3,4,10,3
Spain,1809,Archive,4,3,9,7
Spain,1809,Flow,1,1,10,5
Spain,1810,Helm,2,2,10,7
Spain,1810,Shield,3,4,10,4
Spain,1810,Lore,6,5,9,8
Spain,1810,Stewards,1,1,10,5
Spain,1810,Craft,2,2,10,5
Spain,1810,Hands,3,4,10,3
Spain,1810,Archive,4,3,9,8
Spain,1810,Flow,1,1,10,5
Spain,1811,Helm,2,2,10,8
Spain,1811,Shield,3,4,10,4
Spain,1811,Lore,6,5,9,8
Spain,1811,Stewards,1,1,10,5
Spain,1811,Craft,2,2,10,5
Spain,1811,Hands,3,4,10,3
Spain,1811,Archive,4,3,9,8
Spain,1811,Flow,1,1,10,5
Spain,1812,Helm,3,3,10,9
Spain,1812,Shield,4,4,9,4
Spain,1812,Lore,5,5,9,8
Spain,1812,Stewards,1,1,10,5
Spain,1812,Craft,2,2,10,5
Spain,1812,Hands,3,4,10,3
Spain,1812,Archive,4,4,9,8
Spain,1812,Flow,1,1,10,5
Spain,1813,Helm,4,4,9,8
Spain,1813,Shield,5,5,8,4
Spain,1813,Lore,6,6,8,8
Spain,1813,Stewards,2,2,9,5
Spain,1813,Craft,3,3,9,5
Spain,1813,Hands,4,5,9,3
Spain,1813,Archive,5,5,8,8
Spain,1813,Flow,2,2,9,5
Spain,1814,Helm,4,5,8,7
Spain,1814,Shield,6,6,7,5
Spain,1814,Lore,7,6,7,7
Spain,1814,Stewards,2,2,9,5
