Society,Year,Node,Coherence,Capacity,Stress,Abstraction
WorldCom,1990,Helm,8,7,4,6
WorldCom,1990,Shield,6,4,5,4
WorldCom,1990,Lore,9,8,2,5
WorldCom,1990,Stewards,8,7,3,4
WorldCom,1990,Craft,7,7,4,5
WorldCom,1990,Hands,8,7,4,4
WorldCom,1990,Archive,5,4,6,4
WorldCom,1990,Flow,7,6,5,5
WorldCom,1991,Helm,8,7,4,6
WorldCom,1991,Shield,6,4,5,4
WorldCom,1991,Lore,9,8,3,5
WorldCom,1991,Stewards,8,7,3,4
WorldCom,1991,Craft,7,7,4,5
WorldCom,1991,Hands,8,7,4,4
WorldCom,1991,Archive,5,4,6,4
WorldCom,1991,Flow,7,6,5,5
WorldCom,1992,Helm,9,8,5,7
WorldCom,1992,Shield,5,4,6,4
WorldCom,1992,Lore,9,8,3,6
WorldCom,1992,Stewards,9,8,4,5
WorldCom,1992,Craft,6,7,5,5
WorldCom,1992,Hands,7,7,5,4
WorldCom,1992,Archive,4,4,7,4
WorldCom,1992,Flow,8,7,6,6
WorldCom,1993,Helm,9,9,6,7
WorldCom,1993,Shield,4,4,7,4
WorldCom,1993,Lore,10,9,3,6
WorldCom,1993,Stewards,9,9,4,6
WorldCom,1993,Craft,6,7,6,5
WorldCom,1993,Hands,6,7,6,4
WorldCom,1993,Archive,3,4,9,4
WorldCom,1993,Flow,9,8,7,7
WorldCom,1994,Helm,9,9,6,7
WorldCom,1994,Shield,4,4,8,4
WorldCom,1994,Lore,10,9,3,6
WorldCom,1994,Stewards,9,9,4,6
WorldCom,1994,Craft,7,7,6,5
WorldCom,1994,Hands,7,7,6,4
WorldCom,1994,Archive,3,4,10,4
WorldCom,1994,Flow,9,8,7,7
WorldCom,1995,Helm,9,10,5,8
WorldCom,1995,Shield,3,4,8,5
WorldCom,1995,Lore,10,10,3,7
WorldCom,1995,Stewards,10,10,4,6
WorldCom,1995,Craft,8,8,6,6
WorldCom,1995,Hands,8,8,6,5
WorldCom,1995,Archive,2,4,10,4
WorldCom,1995,Flow,10,9,7,8
WorldCom,1996,Helm,10,10,5,9
WorldCom,1996,Shield,3,4,9,5
WorldCom,1996,Lore,10,10,2,8
WorldCom,1996,Stewards,10,10,3,7
WorldCom,1996,Craft,9,9,5,7
WorldCom,1996,Hands,9,9,6,6
WorldCom,1996,Archive,2,3,10,4
WorldCom,1996,Flow,10,10,6,9
WorldCom,1997,Helm,10,10,4,9
WorldCom,1997,Shield,2,4,9,5
WorldCom,1997,Lore,10,10,2,9
WorldCom,1997,Stewards,10,10,3,8
WorldCom,1997,Craft,9,10,5,8
WorldCom,1997,Hands,9,9,6,7
WorldCom,1997,Archive,1,3,10,4
WorldCom,1997,Flow,10,10,6,10
WorldCom,1998,Helm,10,10,5,10
WorldCom,1998,Shield,2,4,10,5
WorldCom,1998,Lore,10,10,2,10
WorldCom,1998,Stewards,10,10,4,9
WorldCom,1998,Craft,10,10,5,9
WorldCom,1998,Hands,9,10,7,8
WorldCom,1998,Archive,1,2,10,5
WorldCom,1998,Flow,10,10,7,10
WorldCom,1999,Helm,10,10,6,10
WorldCom,1999,Shield,2,3,10,6
WorldCom,1999,Lore,10,10,2,10
WorldCom,1999,Stewards,10,10,5,9
WorldCom,1999,Craft,9,10,6,9
WorldCom,1999,Hands,8,9,8,8
WorldCom,1999,Archive,0,1,10,5
WorldCom,1999,Flow,10,10,8,10
WorldCom,2000,Helm,9,9,8,10
WorldCom,2000,Shield,1,2,10,6
WorldCom,2000,Lore,9,9,4,10
WorldCom,2000,Stewards,9,9,6,9
WorldCom,2000,Craft,8,9,7,9
WorldCom,2000,Hands,7,8,9,7
WorldCom,2000,Archive,-2,0,10,6
WorldCom,2000,Flow,9,10,9,10
WorldCom,2001,Helm,5,5,10,9
WorldCom,2001,Shield,1,2,10,7
WorldCom,2001,Lore,4,4,10,8
WorldCom,2001,Stewards,4,4,10,7
WorldCom,2001,Craft,4,5,10,7
WorldCom,2001,Hands,3,4,10,6
WorldCom,2001,Archive,-5,-2,10,7
WorldCom,2001,Flow,6,7,10,8
