 Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
England,1750,Army,7,7,7,5,9.5,2.7877551020408167
England,1750,Executive,7,7,7,6,10.0,2.836734693877551
England,1750,Merchants / Shopkeepers,7,7,7,7,11.0,2.933333333333333
England,1750,Priesthood / Knowledge Workers,6,6,6,7,9.5,2.7938775510204083
England,1750,Proletariat,5,5,6,4,7.0,2.5714285714285716
England,1750,Property Owners,7,8,8,6,10.0,2.830612244897959
England,1750,State Memory,8,8,8,8,12.0,3.0244897959183674
England,1750,Trades / Professions,7,7,7,6,10.0,2.836734693877551
England,1751,Army,7,7,7,5,9.5,1.5923529411764705
England,1751,Executive,7,7,7,6,10.0,1.635322128851541
England,1751,Merchants / Shopkeepers,7,7,7,7,10.5,1.678291316526611
England,1751,Priesthood / Knowledge Workers,6,6,6,7,9.5,1.7042517006802724
England,1751,Proletariat,5,5,6,4,6.0,1.5028231292517007
England,1751,Property Owners,7,8,8,6,10.0,1.551283846872082
England,1751,State Memory,8,8,8,8,12.0,1.695401493930906
England,1751,Trades / Professions,7,7,7,6,10.0,1.6353221288515403
England,1752,Army,7,7,7,5,9.5,1.5923529411764705
England,1752,Executive,7,7,7,6,10.0,1.635322128851541
England,1752,Merchants / Shopkeepers,7,7,7,7,10.5,1.678291316526611
England,1752,Priesthood / Knowledge Workers,6,6,6,7,9.5,1.7042517006802724
England,1752,Proletariat,5,5,6,4,6.0,1.5028231292517007
England,1752,Property Owners,7,8,8,6,10.0,1.551283846872082
England,1752,State Memory,8,8,8,8,12.0,1.695401493930906
England,1752,Trades / Professions,7,7,7,6,10.0,1.6353221288515403
England,1753,Army,7,7,7,5,9.5,1.5923529411764705
England,1753,Executive,7,7,7,6,10.0,1.635322128851541
England,1753,Merchants / Shopkeepers,7,7,7,7,10.5,1.678291316526611
England,1753,Priesthood / Knowledge Workers,6,6,6,7,9.5,1.7042517006802724
England,1753,Proletariat,5,5,6,4,6.0,1.5028231292517007
England,1753,Property Owners,7,8,8,6,10.0,1.551283846872082
England,1753,State Memory,8,8,8,8,12.0,1.695401493930906
England,1753,Trades / Professions,7,7,7,6,10.0,1.6353221288515403
England,1754,Army,7,7,7,5,9.5,1.5923529411764705
England,1754,Executive,7,7,7,6,10.0,1.635322128851541
England,1754,Merchants / Shopkeepers,7,7,7,7,10.5,1.678291316526611
England,1754,Priesthood / Knowledge Workers,6,6,6,7,9.5,1.7042517006802724
England,1754,Proletariat,5,5,6,4,6.0,1.5028231292517007
England,1754,Property Owners,7,8,8,6,10.0,1.551283846872082
England,1754,State Memory,8,8,8,8,12.0,1.695401493930906
England,1754,Trades / Professions,7,7,7,6,10.0,1.6353221288515403
England,1755,Army,7,7,7,5,9.5,1.5923529411764705
England,1755,Executive,7,7,7,6,10.0,1.635322128851541
England,1755,Merchants / Shopkeepers,7,7,7,7,10.5,1.678291316526611
England,1755,Priesthood / Knowledge Workers,6,6,6,7,9.5,1.7042517006802724
England,1755,Proletariat,5,5,6,4,6.0,1.5028231292517007
England,1755,Property Owners,7,8,8,6,10.0,1.551283846872082
England,1755,State Memory,8,8,8,8,12.0,1.695401493930906
England,1755,Trades / Professions,7,7,7,6,10.0,1.6353221288515403
England,1756,Army,8,9,2,7,19.5,2.4419999999999997
England,1756,Executive,8,8,4,7,15.5,2.0292857142857144
England,1756,Merchants / Shopkeepers,6,7,5,7,11.5,1.8028571428571427
England,1756,Priesthood / Knowledge Workers,6,6,6,7,9.5,1.5796296296296297
England,1756,Proletariat,5,4,4,4,7.0,1.5204761904761904
