Entity,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max,Stress Capacity Ratio,Resilience Index,Envelope Midpoint,Envelope Delta
General Motors,2006,Archive,6.8,6.0,4.0,5.0,11.3,17.886,0.45,0.0,0.0,0.0,1.0,10.5,11.5,0.6666666666666666,4.6000000000000005,11.0,0.3000000000000007
General Motors,2006,Craft,6.0,7.0,5.0,4.0,10.0,15.128,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.7142857142857143,4.0,10.0,0.0
General Motors,2006,Flow,5.0,6.8,5.2,4.0,8.6,13.454,0.0,0.45,0.45,0.0,2.0,7.0,9.0,0.7647058823529412,3.5333333333333337,8.0,0.5999999999999996
General Motors,2006,Hands,5.0,6.0,6.0,4.0,7.0,12.995,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,3.0,7.0,0.0
General Motors,2006,Helm,4.8,6.0,6.2,5.0,7.1,13.421,0.45,0.0,0.45,0.0,1.0,6.5,7.5,1.0333333333333334,3.2000000000000006,7.0,0.09999999999999964
General Motors,2006,Lore,4.8,6.0,5.0,5.0,8.3,14.131,0.45,0.0,0.0,0.0,1.0,7.5,8.5,0.8333333333333334,3.6,8.0,0.3000000000000007
General Motors,2006,Shield,5.0,6.0,5.0,4.0,8.0,13.571,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.8333333333333334,3.3333333333333335,8.0,0.0
General Motors,2006,Stewards,4.0,6.0,6.2,4.0,5.8,11.293,0.0,0.0,0.45,0.0,1.0,5.0,6.0,1.0333333333333334,2.6,5.5,0.2999999999999998
General Motors,2007,Archive,5.8,6.0,5.0,5.0,9.3,14.528,0.45,0.0,0.0,0.0,1.0,8.5,9.5,0.8333333333333334,3.9333333333333336,9.0,0.3000000000000007
General Motors,2007,Craft,5.0,6.0,6.0,4.0,7.0,12.039,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,3.0,7.0,0.0
General Motors,2007,Flow,5.0,5.8,6.2,4.0,6.6,11.935,0.0,0.45,0.45,0.0,2.0,5.0,7.0,1.0689655172413794,2.866666666666667,6.0,0.5999999999999996
General Motors,2007,Hands,5.0,6.0,6.0,4.0,7.0,12.039,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,3.0,7.0,0.0
General Motors,2007,Helm,4.8,5.0,7.4,5.0,4.9,11.844,0.45,0.0,0.55,0.0,2.0,3.5,5.5,1.48,2.466666666666667,4.5,0.40000000000000036
General Motors,2007,Lore,4.8,5.0,5.0,5.0,7.3,13.121,0.45,0.0,0.0,0.0,1.0,6.5,7.5,1.0,3.266666666666667,7.0,0.2999999999999998
General Motors,2007,Shield,5.0,5.0,5.0,4.0,7.0,12.565,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,3.0,7.0,0.0
General Motors,2007,Stewards,4.0,5.0,7.2,4.0,3.8,10.051,0.0,0.0,0.45,0.0,1.0,3.0,4.0,1.44,1.9333333333333333,3.5,0.2999999999999998
General Motors,2008,Archive,4.8,5.0,7.0,4.0,4.8,8.105,0.45,0.0,0.0,0.0,1.0,4.0,5.0,1.4,2.266666666666667,4.5,0.2999999999999998
General Motors,2008,Craft,5.0,5.0,7.0,4.0,5.0,8.281,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.4,2.3333333333333335,5.0,0.0
General Motors,2008,Flow,3.0,3.8,9.2,3.0,-0.9,5.199,0.0,0.45,0.45,0.0,2.0,-2.5,-0.5,2.4210526315789473,0.20000000000000048,-1.5,0.6
General Motors,2008,Hands,4.0,5.0,8.0,4.0,3.0,7.059,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.6,1.6666666666666667,3.0,0.0
General Motors,2008,Helm,3.8,5.0,8.4,4.0,2.4,6.755,0.45,0.0,0.55,0.0,2.0,1.0,3.0,1.6800000000000002,1.4666666666666668,2.0,0.3999999999999999
General Motors,2008,Lore,3.8,5.0,6.0,4.0,4.8,7.482,0.45,0.0,0.0,0.0,1.0,4.0,5.0,1.2,2.266666666666667,4.5,0.2999999999999998
General Motors,2008,Shield,4.0,5.0,7.0,4.0,4.0,7.366,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.4,2.0,4.0,0.0
General Motors,2008,Stewards,3.0,4.0,9.2,3.0,-0.7,5.199,0.0,0.0,0.45,0.0,1.0,-1.5,-0.5,2.3,0.2666666666666669,-1.0,0.30000000000000004
General Motors,2009,Archive,3.8,4.0,8.0,4.0,1.8,6.02,0.45,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.2666666666666668,1.5,0.30000000000000004
General Motors,2009,Craft,4.0,4.0,8.0,3.0,1.5,5.588,0.0,0.0,0.0,0.0,0.0,1.5,1.5,2.0,1.0,1.5,0.0
General Motors,2009,Flow,3.0,3.8,9.2,3.0,-0.9,4.569,0.0,0.45,0.45,0.0,2.0,-2.5,-0.5,2.4210526315789473,0.20000000000000048,-1.5,0.6
General Motors,2009,Hands,3.0,4.0,9.0,3.0,-0.5,4.61,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,2.25,0.3333333333333333,-0.5,0.0
General Motors,2009,Helm,2.8,4.0,9.4,4.0,-0.6,4.926,0.45,0.0,0.55,0.0,2.0,-2.0,0.0,2.35,0.4666666666666668,-1.0,0.4
General Motors,2009,Lore,2.8,4.0,7.0,4.0,1.8,5.464,0.45,0.0,0.0,0.0,1.0,1.0,2.0,1.75,1.2666666666666668,1.5,0.30000000000000004
General Motors,2009,Shield,4.0,5.0,8.0,4.0,3.0,6.168,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.6,1.6666666666666667,3.0,0.0
General Motors,2009,Stewards,4.0,5.0,8.2,5.0,3.3,6.642,0.0,0.0,0.45,0.0,1.0,2.5,3.5,1.64,1.9333333333333336,3.0,0.2999999999999998
General Motors,2010,Archive,4.8,6.0,5.0,5.0,8.3,13.419,0.45,0.0,0.0,0.0,1.0,7.5,8.5,0.8333333333333334,3.6,8.0,0.3000000000000007
General Motors,2010,Craft,5.0,6.2,4.8,4.0,8.4,12.885,0.0,0.45,0.45,0.0,2.0,8.0,10.0,0.7741935483870968,3.4666666666666663,9.0,-0.5999999999999996
