Entity,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max,Stress Capacity Ratio,Resilience Index,Envelope Midpoint,Envelope Delta,node_value_rank,stress_rank
BYD,2006,Lore,7.0,6.0,4.2,7.0,12.3,23.464,0.0,0.0,0.45,0.0,1.0,11.5,12.5,0.7000000000000001,5.266666666666667,12.0,0.3000000000000007,1.0,3.0
BYD,2006,Craft,6.0,6.0,4.0,5.0,10.5,19.736,0.0,0.0,0.0,0.0,0.0,10.5,10.5,0.6666666666666666,4.333333333333333,10.5,0.0,2.0,4.0
BYD,2006,Helm,7.0,5.0,5.2,7.0,10.3,22.533,0.0,0.0,0.45,0.0,1.0,9.5,10.5,1.04,4.6000000000000005,10.0,0.3000000000000007,3.0,1.0
BYD,2006,Stewards,7.0,5.0,5.0,6.0,10.0,21.709,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,4.333333333333333,10.0,0.0,4.0,2.0
BYD,2006,Flow,5.0,6.0,4.0,4.0,9.0,16.664,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.6666666666666666,3.6666666666666665,9.0,0.0,5.0,4.0
BYD,2006,Hands,5.0,6.0,4.0,4.0,9.0,16.664,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.6666666666666666,3.6666666666666665,9.0,0.0,5.0,4.0
BYD,2006,Archive,3.8,4.0,4.0,4.0,5.8,14.251,0.45,0.0,0.0,0.0,1.0,5.0,6.0,1.0,2.6,5.5,0.2999999999999998,6.0,4.0
BYD,2006,Shield,4.0,4.0,5.0,4.0,5.0,14.021,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.25,2.3333333333333335,5.0,0.0,7.0,2.0
BYD,2007,Lore,7.0,6.0,4.2,7.0,12.3,23.464,0.0,0.0,0.45,0.0,1.0,11.5,12.5,0.7000000000000001,5.266666666666667,12.0,0.3000000000000007,1.0,3.0
BYD,2007,Helm,7.0,6.0,5.2,7.0,11.3,22.533,0.0,0.0,0.45,0.0,1.0,10.5,11.5,0.8666666666666667,4.933333333333334,11.0,0.3000000000000007,2.0,1.0
BYD,2007,Craft,6.0,6.0,4.0,5.0,10.5,19.736,0.0,0.0,0.0,0.0,0.0,10.5,10.5,0.6666666666666666,4.333333333333333,10.5,0.0,3.0,4.0
BYD,2007,Stewards,7.0,5.0,5.0,6.0,10.0,21.709,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,4.333333333333333,10.0,0.0,4.0,2.0
BYD,2007,Flow,5.0,6.0,4.0,4.0,9.0,16.664,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.6666666666666666,3.6666666666666665,9.0,0.0,5.0,4.0
BYD,2007,Hands,5.0,6.0,4.0,4.0,9.0,16.664,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.6666666666666666,3.6666666666666665,9.0,0.0,5.0,4.0
BYD,2007,Archive,3.8,4.0,4.0,4.0,5.8,14.251,0.45,0.0,0.0,0.0,1.0,5.0,6.0,1.0,2.6,5.5,0.2999999999999998,6.0,4.0
BYD,2007,Shield,4.0,4.0,5.0,4.0,5.0,14.021,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.25,2.3333333333333335,5.0,0.0,7.0,2.0
BYD,2008,Lore,8.0,7.0,4.2,8.0,14.8,28.674,0.0,0.0,0.45,0.0,1.0,14.0,15.0,0.6,6.266666666666667,14.5,0.3000000000000007,1.0,3.0
BYD,2008,Craft,6.0,7.0,4.0,6.0,12.0,22.825,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.5714285714285714,5.0,12.0,0.0,2.0,4.0
BYD,2008,Stewards,7.0,6.0,4.0,6.0,12.0,24.725,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.6666666666666666,5.0,12.0,0.0,2.0,4.0
BYD,2008,Helm,7.0,6.0,5.2,8.0,11.8,25.825,0.0,0.0,0.45,0.0,1.0,11.0,12.0,0.8666666666666667,5.266666666666667,11.5,0.3000000000000007,3.0,1.0
BYD,2008,Hands,5.0,7.0,4.0,4.0,10.0,18.112,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.5714285714285714,4.0,10.0,0.0,4.0,4.0
BYD,2008,Flow,5.0,6.0,4.0,4.0,9.0,18.112,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.6666666666666666,3.6666666666666665,9.0,0.0,5.0,4.0
BYD,2008,Shield,5.0,5.0,5.0,5.0,7.5,18.659,0.0,0.0,0.0,0.0,0.0,7.5,7.5,1.0,3.3333333333333335,7.5,0.0,6.0,2.0
BYD,2008,Archive,3.8,5.0,4.0,5.0,7.3,16.93,0.45,0.0,0.0,0.0,1.0,6.5,7.5,0.8,3.266666666666667,7.0,0.2999999999999998,7.0,4.0
BYD,2009,Lore,8.0,7.0,4.2,8.0,14.8,30.224,0.0,0.0,0.45,0.0,1.0,14.0,15.0,0.6,6.266666666666667,14.5,0.3000000000000007,1.0,2.0
BYD,2009,Stewards,7.0,7.0,4.0,7.0,13.5,27.329,0.0,0.0,0.0,0.0,0.0,13.5,13.5,0.5714285714285714,5.666666666666667,13.5,0.0,2.0,3.0
BYD,2009,Helm,7.0,7.0,5.2,8.0,12.8,27.233,0.0,0.0,0.45,0.0,1.0,12.0,13.0,0.7428571428571429,5.6000000000000005,12.5,0.3000000000000007,3.0,1.0
BYD,2009,Craft,6.0,7.0,4.0,6.0,12.0,23.999,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.5714285714285714,5.0,12.0,0.0,4.0,3.0
BYD,2009,Flow,5.0,7.0,4.0,5.0,10.5,20.478,0.0,0.0,0.0,0.0,0.0,10.5,10.5,0.5714285714285714,4.333333333333333,10.5,0.0,5.0,3.0
BYD,2009,Hands,5.0,7.0,4.0,4.0,10.0,18.967,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.5714285714285714,4.0,10.0,0.0,6.0,3.0
BYD,2009,Archive,4.8,6.0,4.0,6.0,9.8,21.482,0.45,0.0,0.0,0.0,1.0,9.0,10.0,0.6666666666666666,4.266666666666667,9.5,0.3000000000000007,7.0,3.0
BYD,2009,Shield,5.0,5.0,4.0,5.0,8.5,20.478,0.0,0.0,0.0,0.0,0.0,8.5,8.5,0.8,3.6666666666666665,8.5,0.0,8.0,3.0
BYD,2010,Lore,7.0,7.0,4.2,8.0,13.8,26.879,0.0,0.0,0.45,0.0,1.0,13.0,14.0,0.6,5.933333333333334,13.5,0.3000000000000007,1.0,3.0
BYD,2010,Helm,7.0,7.0,5.2,8.0,12.8,25.808,0.0,0.0,0.45,0.0,1.0,12.0,13.0,0.7428571428571429,5.6000000000000005,12.5,0.3000000000000007,2.0,1.0
BYD,2010,Flow,6.0,7.0,4.0,5.0,11.5,21.452,0.0,0.0,0.0,0.0,0.0,11.5,11.5,0.5714285714285714,4.666666666666667,11.5,0.0,3.0,4.0
BYD,2010,Craft,5.8,6.8,4.2,6.0,11.4,22.209,0.45,0.45,0.45,0.0,3.0,9.0,12.0,0.6176470588235294,4.800000000000001,10.5,0.9000000000000004,4.0,3.0
