Entity,Year,crisis_score_v0_2,edews_v0_2,d_hc,hc_divergence_alert,eta_loop_v0_2,v_helm,mu_entity,alarm_state
BYD,2006,0.4079,,-0.2,False,55.7309,10.3,0.1371,GREEN
BYD,2007,0.4282,-0.0614,0.8,False,55.7309,11.3,0.1371,GREEN
BYD,2008,0.3867,0.6907,-0.2,False,80.9085,11.8,0.1371,GREEN
BYD,2009,0.3227,-0.0614,0.8,False,108.212,12.8,0.1371,GREEN
BYD,2010,0.3495,0.1296,1.4,False,85.3767,12.8,0.1371,GREEN
BYD,2011,0.3831,-0.8134,1.9,False,68.8869,12.3,0.1371,YELLOW
BYD,2012,0.383,-0.0614,1.9,True,63.153,12.3,0.1371,ORANGE
BYD,2013,0.3613,-0.0614,0.9,False,65.0771,12.3,0.1371,GREEN
BYD,2014,0.3267,-0.0614,0.9,False,72.657,12.3,0.1371,GREEN
BYD,2015,0.3181,-1.0895,-1.7,False,77.6837,12.3,0.1371,YELLOW
BYD,2016,0.2723,0.4961,-1.8,False,98.2597,12.8,0.1371,GREEN
BYD,2017,0.2739,-0.0614,-1.8,False,95.7205,12.8,0.1371,GREEN
BYD,2018,0.2719,-0.0614,-1.8,False,115.4101,12.8,0.1371,GREEN
BYD,2019,0.2655,-0.0614,-2.3,False,121.3248,12.8,0.1371,GREEN
BYD,2020,0.2567,-0.0614,-1.3,False,132.923,13.8,0.1371,GREEN
BYD,2021,0.2556,-0.6978,-2.3,False,162.5498,14.8,0.1371,YELLOW
BYD,2022,0.2255,-0.0614,-2.3,False,176.3133,14.8,0.1371,GREEN
BYD,2023,0.2238,-0.0614,-2.3,False,171.8475,14.8,0.1371,GREEN
BYD,2024,0.2478,-0.0614,-2.5,False,166.4131,14.6,0.1371,GREEN
BYD,2025,0.2478,-0.0614,-2.5,False,166.4131,14.6,0.1371,GREEN
BYD,2026,0.2478,-0.0614,-2.5,False,166.4131,14.6,0.1371,GREEN
CATL,2006,0.5024,,0.0,False,0.1677,0.5,0.1103,GREEN
CATL,2007,0.5042,-0.0614,0.0,False,0.1677,0.5,0.1103,GREEN
CATL,2008,0.5042,-0.0614,0.0,False,0.1677,0.5,0.1103,GREEN
CATL,2009,0.5042,-0.0614,0.0,False,0.1677,0.5,0.1103,GREEN
CATL,2010,0.7481,6.5928,0.5,False,0.425,1.0,0.1103,BLACK
CATL,2011,0.565,-1.5292,2.8,False,50.519,9.8,0.1103,ORANGE
CATL,2012,0.4902,-1.2061,1.8,False,61.8011,11.8,0.1103,ORANGE
CATL,2013,0.4146,-0.0614,1.8,False,81.714,12.8,0.1103,GREEN
CATL,2014,0.4134,-1.1209,0.2,False,89.825,12.8,0.1103,YELLOW
CATL,2015,0.3191,-0.0614,-0.3,False,127.1995,13.8,0.1103,GREEN
CATL,2016,0.3038,-0.7495,-1.3,False,151.5892,14.8,0.1103,YELLOW
CATL,2017,0.2448,-0.0614,-1.3,False,180.0503,14.8,0.1103,GREEN
CATL,2018,0.2208,-0.1828,-0.7,False,195.2035,15.8,0.1103,GREEN
CATL,2019,0.2212,-0.0614,-0.7,False,195.2035,15.8,0.1103,GREEN
CATL,2020,0.1915,0.4994,-1.2,False,261.9764,16.3,0.1103,GREEN
CATL,2021,0.1853,-0.5908,-1.7,False,282.9791,17.3,0.1103,GREEN
CATL,2022,0.1899,-0.0614,-1.7,False,273.086,17.3,0.1103,GREEN
CATL,2023,0.2087,-0.0614,-2.7,False,208.3425,16.3,0.1103,GREEN
CATL,2024,0.2459,-0.0614,-3.7,False,195.1432,15.3,0.1103,GREEN
CATL,2025,0.2459,-0.0614,-3.7,False,195.1432,15.3,0.1103,GREEN
CATL,2026,0.2459,-0.0614,-3.7,False,195.1432,15.3,0.1103,GREEN
General Motors,2006,0.3484,,-2.9,False,31.5934,7.1,0.4298,GREEN
General Motors,2007,0.431,1.0142,-2.1,False,23.8277,4.9,0.4298,YELLOW
General Motors,2008,0.6309,-2.6923,-2.6,False,6.0642,2.4,0.4298,BLACK
General Motors,2009,0.6257,2.7309,-2.1,False,2.9903,-0.6,0.4298,BLACK
General Motors,2010,0.3636,-0.0614,-1.3,False,18.9311,7.1,0.4298,GREEN
General Motors,2011,0.3649,-1.0336,-1.8,False,33.0577,8.1,0.4298,YELLOW
General Motors,2012,0.3267,-0.0614,-1.8,False,44.8318,9.1,0.4298,GREEN
General Motors,2013,0.3045,-0.0614,-2.8,False,45.5199,9.1,0.4298,GREEN
General Motors,2014,0.5134,1.0529,-1.3,False,13.8961,6.1,0.4298,YELLOW
General Motors,2015,0.3634,-0.0614,-0.3,False,37.2154,9.6,0.4298,GREEN
General Motors,2016,0.3208,-0.0614,-0.3,False,50.4718,9.6,0.4298,GREEN
General Motors,2017,0.3217,-0.0614,-0.3,False,53.675,10.6,0.4298,GREEN
General Motors,2018,0.3145,-0.0614,-1.3,False,52.3892,10.6,0.4298,GREEN
General Motors,2019,0.4231,0.8193,1.0,False,32.8359,9.6,0.4298,YELLOW
General Motors,2020,0.5223,1.1427,3.5,False,20.6591,7.6,0.4298,ORANGE
General Motors,2021,0.58,0.804,6.9,True,39.2352,10.6,0.4298,ORANGE
General Motors,2022,0.4409,-1.1298,3.4,True,42.2725,10.6,0.4298,ORANGE
General Motors,2023,0.4777,-0.9016,1.9,True,19.7838,8.1,0.4298,ORANGE
General Motors,2024,0.4202,-0.0614,1.9,True,25.6402,8.1,0.4298,ORANGE
General Motors,2025,0.3867,-0.0614,1.9,True,28.0441,8.1,0.4298,ORANGE
General Motors,2026,0.3627,-0.0614,0.9,False,28.0441,8.1,0.4298,GREEN
Tencent,2006,0.265,,-0.5,False,115.8005,12.5,0.5301,YELLOW
Tencent,2007,0.2754,-0.0614,0.5,False,115.8005,13.5,0.5301,YELLOW
Tencent,2008,0.2687,-0.0614,-0.5,False,115.8005,13.5,0.5301,YELLOW
Tencent,2009,0.2589,-0.0614,-0.5,False,122.7428,13.5,0.5301,YELLOW
Tencent,2010,0.2604,0.6257,0.5,False,160.0468,15.0,0.5301,YELLOW
Tencent,2011,0.2702,-0.7444,0.5,False,182.6448,16.0,0.5301,YELLOW
Tencent,2012,0.2509,0.4065,-0.9,False,213.6336,16.5,0.5301,YELLOW
Tencent,2013,0.2298,-0.0614,0.1,False,221.5533,17.5,0.5301,YELLOW
Tencent,2014,0.2298,-0.0614,0.1,False,221.5533,17.5,0.5301,YELLOW
Tencent,2015,0.2298,-0.0614,0.1,False,221.5533,17.5,0.5301,YELLOW
Tencent,2016,0.2106,-0.0614,0.1,False,225.041,17.5,0.5301,YELLOW
Tencent,2017,0.2005,-0.0614,0.1,False,269.9209,17.5,0.5301,YELLOW
Tencent,2018,0.3123,0.0372,-0.1,False,105.0007,12.8,0.5301,YELLOW
Tencent,2019,0.2389,-0.0614,0.1,False,157.8329,14.0,0.5301,YELLOW
Tencent,2020,0.209,-0.6914,-0.4,False,242.4821,17.0,0.5301,YELLOW
Tencent,2021,0.3804,1.2907,-0.9,False,68.1395,11.4,0.5301,ORANGE
Tencent,2022,0.3607,0.13,-0.9,False,38.3741,8.9,0.5301,YELLOW
Tencent,2023,0.2771,-0.3311,0.1,False,115.6877,13.4,0.5301,YELLOW
Tencent,2024,0.2887,-0.0614,-0.4,False,133.4345,14.4,0.5301,YELLOW
Tencent,2025,0.2778,-0.0614,-1.4,False,146.9828,14.4,0.5301,YELLOW
Tencent,2026,0.2778,-0.0614,-1.4,False,146.9828,14.4,0.5301,YELLOW
