Entity,Year,v_mean,v_std,m_slow,edews_v0_2,d_hc,s_1_low_v_mean,s_2_v_dispersion,s_3_low_m_slow,s_4_edews_shear,s_5_hc_divergence,crisis_score_v0_2,crisis_level
BYD,2006,8.9875,2.4515,9.3667,,-0.2,0.4632,0.7703,0.4423,,0.3302,0.4079,GREEN
BYD,2007,9.1125,2.5514,9.3667,-0.0614,0.8,0.4553,0.8017,0.4423,0.0093,0.4245,0.4282,GREEN
BYD,2008,10.55,2.5746,11.3667,0.6907,-0.2,0.3644,0.809,0.3166,0.1048,0.3302,0.3867,GREEN
BYD,2009,11.4875,2.137,12.7,-0.0614,0.8,0.3051,0.6715,0.2327,0.0093,0.4245,0.3227,GREEN
BYD,2010,10.9125,1.9845,11.3667,0.1296,1.4,0.3415,0.6236,0.3166,0.0197,0.4811,0.3495,GREEN
BYD,2011,10.475,1.9667,11.3667,-0.8134,1.9,0.3692,0.618,0.3166,0.1234,0.5283,0.3831,GREEN
BYD,2012,10.075,2.0934,10.7,-0.0614,1.9,0.3945,0.6578,0.3585,0.0093,0.5283,0.383,GREEN
BYD,2013,10.45,2.1347,11.0333,-0.0614,0.9,0.3708,0.6708,0.3375,0.0093,0.434,0.3613,GREEN
BYD,2014,10.975,1.8622,11.7667,-0.0614,0.9,0.3375,0.5852,0.2914,0.0093,0.434,0.3267,GREEN
BYD,2015,11.925,2.1205,12.1,-1.0895,-1.7,0.2775,0.6663,0.2704,0.1653,0.1887,0.3181,GREEN
BYD,2016,12.375,1.9804,12.9333,0.4961,-1.8,0.249,0.6223,0.218,0.0752,0.1792,0.2723,GREEN
BYD,2017,12.125,2.1532,12.9333,-0.0614,-1.8,0.2648,0.6766,0.218,0.0093,0.1792,0.2739,GREEN
BYD,2018,12.6,2.361,13.5333,-0.0614,-1.8,0.2348,0.7419,0.1803,0.0093,0.1792,0.2719,GREEN
BYD,2019,12.6875,2.3943,13.5333,-0.0614,-2.3,0.2292,0.7524,0.1803,0.0093,0.1321,0.2655,GREEN
BYD,2020,13.05,2.22,14.0333,-0.0614,-1.3,0.2063,0.6976,0.1488,0.0093,0.2264,0.2567,GREEN
BYD,2021,14.3,2.6349,15.0333,-0.6978,-2.3,0.1273,0.828,0.086,0.1058,0.1321,0.2556,GREEN
BYD,2022,14.55,2.6268,15.5333,-0.0614,-2.3,0.1115,0.8254,0.0545,0.0093,0.1321,0.2255,GREEN
BYD,2023,14.3375,2.5467,15.5333,-0.0614,-2.3,0.1249,0.8002,0.0545,0.0093,0.1321,0.2238,GREEN
BYD,2024,14.0125,2.7977,15.0667,-0.0614,-2.5,0.1455,0.8791,0.0839,0.0093,0.1132,0.2478,GREEN
BYD,2025,14.0125,2.7977,15.0667,-0.0614,-2.5,0.1455,0.8791,0.0839,0.0093,0.1132,0.2478,GREEN
BYD,2026,14.0125,2.7977,15.0667,-0.0614,-2.5,0.1455,0.8791,0.0839,0.0093,0.1132,0.2478,GREEN
CATL,2006,0.5,0.0,0.5,,0.0,1.0,0.0,1.0,,0.3491,0.5024,MODERATE
CATL,2007,0.5,0.0,0.5,-0.0614,0.0,1.0,0.0,1.0,0.0093,0.3491,0.5042,MODERATE
CATL,2008,0.5,0.0,0.5,-0.0614,0.0,1.0,0.0,1.0,0.0093,0.3491,0.5042,MODERATE
CATL,2009,0.5,0.0,0.5,-0.0614,0.0,1.0,0.0,1.0,0.0093,0.3491,0.5042,MODERATE
CATL,2010,0.875,0.8763,1.3333,6.5928,0.5,0.9763,0.2753,0.9476,1.0,0.3962,0.7481,SEVERE
CATL,2011,7.2625,2.8178,7.9333,-1.5292,2.8,0.5723,0.8854,0.5325,0.232,0.6132,0.565,MODERATE
CATL,2012,9.2625,2.7118,8.9333,-1.2061,1.8,0.4458,0.8521,0.4696,0.1829,0.5189,0.4902,GREEN
CATL,2013,10.175,2.5115,10.0333,-0.0614,1.8,0.3881,0.7892,0.4004,0.0093,0.5189,0.4146,GREEN
CATL,2014,11.0,2.6822,10.7,-1.1209,0.2,0.336,0.8428,0.3585,0.17,0.3679,0.4134,GREEN
CATL,2015,12.1875,2.3703,12.0333,-0.0614,-0.3,0.2609,0.7448,0.2746,0.0093,0.3208,0.3191,GREEN
CATL,2016,13.375,2.5195,13.0333,-0.7495,-1.3,0.1858,0.7917,0.2117,0.1137,0.2264,0.3038,GREEN
