Entity,Year,delta_log_a_helm_over_c_craft,delta_k_hands,m_slow,raw_edews,edews_v0_2,edews_level
BYD,2006,,,9.3667,,,NONE
BYD,2007,0.0,0.0,9.3667,0.0,-0.0614,NONE
BYD,2008,0.1335,1.0,11.3667,0.0711,0.6907,WATCH
BYD,2009,0.0,0.0,12.7,0.0,-0.0614,NONE
BYD,2010,0.0339,0.0,11.3667,0.018,0.1296,WATCH
BYD,2011,-0.1335,0.0,11.3667,-0.0711,-0.8134,WARNING
BYD,2012,0.0,0.0,10.7,0.0,-0.0614,NONE
BYD,2013,0.0,0.0,11.0333,0.0,-0.0614,NONE
BYD,2014,0.0,0.0,11.7667,0.0,-0.0614,NONE
BYD,2015,-0.1881,1.0,12.1,-0.0972,-1.0895,WARNING
BYD,2016,0.1054,0.0,12.9333,0.0527,0.4961,WATCH
BYD,2017,0.0,0.0,12.9333,0.0,-0.0614,NONE
BYD,2018,0.0,0.0,13.5333,0.0,-0.0614,NONE
BYD,2019,0.0,0.0,13.5333,0.0,-0.0614,NONE
BYD,2020,0.0,0.0,14.0333,0.0,-0.0614,NONE
BYD,2021,-0.1301,0.0,15.0333,-0.0601,-0.6978,WARNING
BYD,2022,0.0,0.0,15.5333,0.0,-0.0614,NONE
BYD,2023,0.0,0.0,15.5333,0.0,-0.0614,NONE
BYD,2024,0.0,0.0,15.0667,0.0,-0.0614,NONE
BYD,2025,0.0,0.0,15.0667,0.0,-0.0614,NONE
BYD,2026,0.0,0.0,15.0667,0.0,-0.0614,NONE
CATL,2006,,,0.5,,,NONE
CATL,2007,0.0,0.0,0.5,0.0,-0.0614,NONE
CATL,2008,0.0,0.0,0.5,0.0,-0.0614,NONE
CATL,2009,0.0,0.0,0.5,0.0,-0.0614,NONE
CATL,2010,0.6931,0.0,1.3333,0.6288,6.5928,EXTREME
CATL,2011,-0.2231,3.0,7.9333,-0.1387,-1.5292,EXTREME
CATL,2012,-0.1823,1.0,8.9333,-0.1082,-1.2061,CRITICAL
CATL,2013,0.0,0.0,10.0333,0.0,-0.0614,NONE
CATL,2014,-0.1823,1.0,10.7,-0.1001,-1.1209,WARNING
CATL,2015,0.0,1.0,12.0333,0.0,-0.0614,NONE
CATL,2016,-0.1301,0.0,13.0333,-0.065,-0.7495,WARNING
CATL,2017,0.0,0.0,13.8667,0.0,-0.0614,NONE
CATL,2018,-0.0241,1.0,14.3333,-0.0115,-0.1828,WATCH
CATL,2019,0.0,0.0,14.3333,0.0,-0.0614,NONE
CATL,2020,0.1178,0.0,15.9333,0.053,0.4994,WATCH
CATL,2021,-0.1125,1.0,16.2667,-0.05,-0.5908,WATCH
CATL,2022,0.0,0.0,16.1333,0.0,-0.0614,NONE
CATL,2023,0.0,0.0,15.8,0.0,-0.0614,NONE
CATL,2024,0.0,-1.0,15.1333,0.0,-0.0614,NONE
CATL,2025,0.0,0.0,15.1333,0.0,-0.0614,NONE
CATL,2026,0.0,0.0,15.1333,0.0,-0.0614,NONE
General Motors,2006,,,8.4667,,,NONE
General Motors,2007,0.1823,0.0,6.8,0.1016,1.0142,WARNING
General Motors,2008,-0.2231,-1.0,2.9667,-0.2486,-2.6923,EXTREME
General Motors,2009,0.2231,-1.0,2.3,0.2639,2.7309,EXTREME
General Motors,2010,0.0,1.2,7.4667,0.0,-0.0614,NONE
General Motors,2011,-0.1823,0.0,8.4333,-0.0919,-1.0336,WARNING
General Motors,2012,0.0,0.0,9.4333,0.0,-0.0614,NONE
General Motors,2013,0.0,0.0,9.7667,0.0,-0.0614,NONE
General Motors,2014,0.1823,0.0,6.2667,0.1053,1.0529,WARNING
General Motors,2015,0.0,0.0,8.7667,0.0,-0.0614,NONE
General Motors,2016,0.0,0.0,10.3667,0.0,-0.0614,NONE
General Motors,2017,0.0,0.0,10.3667,0.0,-0.0614,NONE
General Motors,2018,0.0,0.0,10.5333,0.0,-0.0614,NONE
General Motors,2019,0.1823,0.0,10.2,0.0832,0.8193,WARNING
General Motors,2020,0.2231,0.0,8.2333,0.1138,1.1427,CRITICAL
General Motors,2021,0.1823,0.0,10.5333,0.0818,0.804,WARNING
General Motors,2022,-0.2231,0.0,10.3667,-0.101,-1.1298,CRITICAL
General Motors,2023,-0.1495,0.0,7.5667,-0.0794,-0.9016,WARNING
General Motors,2024,0.0,0.0,8.2333,0.0,-0.0614,NONE
General Motors,2025,0.0,0.0,8.5667,0.0,-0.0614,NONE
General Motors,2026,0.0,0.0,8.5667,0.0,-0.0614,NONE
Tencent,2006,,,12.0,,,NONE
Tencent,2007,0.0,1.0,12.3333,0.0,-0.0614,NONE
Tencent,2008,0.0,0.0,12.3333,0.0,-0.0614,NONE
Tencent,2009,0.0,0.0,13.1667,0.0,-0.0614,NONE
Tencent,2010,0.1335,1.0,14.3333,0.0649,0.6257,WATCH
Tencent,2011,-0.1335,0.0,14.5,-0.0645,-0.7444,WARNING
Tencent,2012,0.0931,0.0,15.0,0.0442,0.4065,WATCH
Tencent,2013,0.0,1.0,15.9,0.0,-0.0614,NONE
Tencent,2014,0.0,0.0,15.9,0.0,-0.0614,NONE
Tencent,2015,0.0,0.0,15.9,0.0,-0.0614,NONE
Tencent,2016,0.0,0.0,15.9,0.0,-0.0614,NONE
Tencent,2017,0.0,0.0,16.4,0.0,-0.0614,NONE
Tencent,2018,0.0123,-1.0,13.2333,0.0093,0.0372,NONE
Tencent,2019,0.0,0.0,14.5667,0.0,-0.0614,NONE
Tencent,2020,-0.1301,1.0,16.0667,-0.0595,-0.6914,WATCH
Tencent,2021,0.1582,-1.0,11.6333,0.1278,1.2907,CRITICAL
Tencent,2022,0.0206,-1.0,9.6333,0.0181,0.13,WATCH
Tencent,2023,-0.0488,0.0,12.4,-0.0255,-0.3311,WATCH
Tencent,2024,0.0,0.0,13.2333,0.0,-0.0614,NONE
Tencent,2025,0.0,0.0,13.5667,0.0,-0.0614,NONE
Tencent,2026,0.0,0.0,13.5667,0.0,-0.0614,NONE
