Entity,Year,eta_loop_v0_2,eta_below_poetry_threshold,eta_gt_p75,eta_gt_p90
BYD,2006,55.7309,False,False,False
BYD,2007,55.7309,False,False,False
BYD,2008,80.9085,False,False,False
BYD,2009,108.212,False,False,False
BYD,2010,85.3767,False,False,False
BYD,2011,68.8869,False,False,False
BYD,2012,63.153,False,False,False
BYD,2013,65.0771,False,False,False
BYD,2014,72.657,False,False,False
BYD,2015,77.6837,False,False,False
BYD,2016,98.2597,False,False,False
BYD,2017,95.7205,False,False,False
BYD,2018,115.4101,False,False,False
BYD,2019,121.3248,False,False,False
BYD,2020,132.923,False,False,False
BYD,2021,162.5498,False,False,False
BYD,2022,176.3133,False,True,False
BYD,2023,171.8475,False,True,False
BYD,2024,166.4131,False,True,False
BYD,2025,166.4131,False,True,False
BYD,2026,166.4131,False,True,False
CATL,2006,0.1677,True,False,False
CATL,2007,0.1677,True,False,False
CATL,2008,0.1677,True,False,False
CATL,2009,0.1677,True,False,False
CATL,2010,0.425,True,False,False
CATL,2011,50.519,False,False,False
CATL,2012,61.8011,False,False,False
CATL,2013,81.714,False,False,False
CATL,2014,89.825,False,False,False
CATL,2015,127.1995,False,False,False
CATL,2016,151.5892,False,False,False
CATL,2017,180.0503,False,True,False
CATL,2018,195.2035,False,True,False
CATL,2019,195.2035,False,True,False
CATL,2020,261.9764,False,True,True
CATL,2021,282.9791,False,True,True
CATL,2022,273.086,False,True,True
CATL,2023,208.3425,False,True,False
CATL,2024,195.1432,False,True,False
CATL,2025,195.1432,False,True,False
CATL,2026,195.1432,False,True,False
General Motors,2006,31.5934,False,False,False
General Motors,2007,23.8277,False,False,False
General Motors,2008,6.0642,True,False,False
General Motors,2009,2.9903,True,False,False
General Motors,2010,18.9311,True,False,False
General Motors,2011,33.0577,False,False,False
General Motors,2012,44.8318,False,False,False
General Motors,2013,45.5199,False,False,False
General Motors,2014,13.8961,True,False,False
General Motors,2015,37.2154,False,False,False
General Motors,2016,50.4718,False,False,False
General Motors,2017,53.675,False,False,False
General Motors,2018,52.3892,False,False,False
General Motors,2019,32.8359,False,False,False
General Motors,2020,20.6591,False,False,False
General Motors,2021,39.2352,False,False,False
General Motors,2022,42.2725,False,False,False
General Motors,2023,19.7838,False,False,False
General Motors,2024,25.6402,False,False,False
General Motors,2025,28.0441,False,False,False
General Motors,2026,28.0441,False,False,False
Tencent,2006,115.8005,False,False,False
Tencent,2007,115.8005,False,False,False
Tencent,2008,115.8005,False,False,False
Tencent,2009,122.7428,False,False,False
Tencent,2010,160.0468,False,False,False
Tencent,2011,182.6448,False,True,False
Tencent,2012,213.6336,False,True,False
Tencent,2013,221.5533,False,True,True
Tencent,2014,221.5533,False,True,True
Tencent,2015,221.5533,False,True,True
Tencent,2016,225.041,False,True,True
Tencent,2017,269.9209,False,True,True
Tencent,2018,105.0007,False,False,False
Tencent,2019,157.8329,False,False,False
Tencent,2020,242.4821,False,True,True
Tencent,2021,68.1395,False,False,False
Tencent,2022,38.3741,False,False,False
Tencent,2023,115.6877,False,False,False
Tencent,2024,133.4345,False,False,False
Tencent,2025,146.9828,False,False,False
Tencent,2026,146.9828,False,False,False
