Entity,Year,d_hc,d_hc_gt_p90,d_hc_gt_p95,d_hc_consecutive_years_gt_p90,hc_divergence_alert
BYD,2006,-0.2,False,False,0,False
BYD,2007,0.8,False,False,0,False
BYD,2008,-0.2,False,False,0,False
BYD,2009,0.8,False,False,0,False
BYD,2010,1.4,False,False,0,False
BYD,2011,1.9,True,True,1,False
BYD,2012,1.9,True,True,2,True
BYD,2013,0.9,False,False,0,False
BYD,2014,0.9,False,False,0,False
BYD,2015,-1.7,False,False,0,False
BYD,2016,-1.8,False,False,0,False
BYD,2017,-1.8,False,False,0,False
BYD,2018,-1.8,False,False,0,False
BYD,2019,-2.3,False,False,0,False
BYD,2020,-1.3,False,False,0,False
BYD,2021,-2.3,False,False,0,False
BYD,2022,-2.3,False,False,0,False
BYD,2023,-2.3,False,False,0,False
BYD,2024,-2.5,False,False,0,False
BYD,2025,-2.5,False,False,0,False
BYD,2026,-2.5,False,False,0,False
CATL,2006,0.0,False,False,0,False
CATL,2007,0.0,False,False,0,False
CATL,2008,0.0,False,False,0,False
CATL,2009,0.0,False,False,0,False
CATL,2010,0.5,False,False,0,False
CATL,2011,2.8,True,True,1,False
CATL,2012,1.8,False,False,0,False
CATL,2013,1.8,False,False,0,False
CATL,2014,0.2,False,False,0,False
CATL,2015,-0.3,False,False,0,False
CATL,2016,-1.3,False,False,0,False
CATL,2017,-1.3,False,False,0,False
CATL,2018,-0.7,False,False,0,False
CATL,2019,-0.7,False,False,0,False
CATL,2020,-1.2,False,False,0,False
CATL,2021,-1.7,False,False,0,False
CATL,2022,-1.7,False,False,0,False
CATL,2023,-2.7,False,False,0,False
CATL,2024,-3.7,False,False,0,False
CATL,2025,-3.7,False,False,0,False
CATL,2026,-3.7,False,False,0,False
General Motors,2006,-2.9,False,False,0,False
General Motors,2007,-2.1,False,False,0,False
General Motors,2008,-2.6,False,False,0,False
General Motors,2009,-2.1,False,False,0,False
General Motors,2010,-1.3,False,False,0,False
General Motors,2011,-1.8,False,False,0,False
General Motors,2012,-1.8,False,False,0,False
General Motors,2013,-2.8,False,False,0,False
General Motors,2014,-1.3,False,False,0,False
General Motors,2015,-0.3,False,False,0,False
General Motors,2016,-0.3,False,False,0,False
General Motors,2017,-0.3,False,False,0,False
General Motors,2018,-1.3,False,False,0,False
General Motors,2019,1.0,False,False,0,False
General Motors,2020,3.5,True,True,1,False
General Motors,2021,6.9,True,True,2,True
General Motors,2022,3.4,True,True,3,True
General Motors,2023,1.9,True,False,4,True
General Motors,2024,1.9,True,False,5,True
General Motors,2025,1.9,True,False,6,True
General Motors,2026,0.9,False,False,0,False
Tencent,2006,-0.5,False,False,0,False
Tencent,2007,0.5,False,False,0,False
Tencent,2008,-0.5,False,False,0,False
Tencent,2009,-0.5,False,False,0,False
Tencent,2010,0.5,False,False,0,False
Tencent,2011,0.5,False,False,0,False
Tencent,2012,-0.9,False,False,0,False
Tencent,2013,0.1,False,False,0,False
Tencent,2014,0.1,False,False,0,False
Tencent,2015,0.1,False,False,0,False
Tencent,2016,0.1,False,False,0,False
Tencent,2017,0.1,False,False,0,False
Tencent,2018,-0.1,False,False,0,False
Tencent,2019,0.1,False,False,0,False
Tencent,2020,-0.4,False,False,0,False
Tencent,2021,-0.9,False,False,0,False
Tencent,2022,-0.9,False,False,0,False
Tencent,2023,0.1,False,False,0,False
Tencent,2024,-0.4,False,False,0,False
Tencent,2025,-1.4,False,False,0,False
Tencent,2026,-1.4,False,False,0,False
