Entity,Year,omega_delta_stress,b_system,kappa,kappa_p50_entity,kappa_p75_entity,kappa_p90_entity,kappa_gt_p90_entity
BYD,2006,,18.6302,,68.7994,234.9431,307.6138,False
BYD,2007,0.0,18.6302,186.3025,68.7994,234.9431,307.6138,False
BYD,2008,0.3307,21.7328,65.7137,68.7994,234.9431,307.6138,False
BYD,2009,0.3307,23.7738,71.8851,68.7994,234.9431,307.6138,False
BYD,2010,0.4235,21.741,51.3332,68.7994,234.9431,307.6138,False
BYD,2011,0.4841,20.6542,42.6632,68.7994,234.9431,307.6138,False
BYD,2012,0.3279,20.3871,62.1801,68.7994,234.9431,307.6138,False
BYD,2013,0.433,20.9216,48.3164,68.7994,234.9431,307.6138,False
BYD,2014,0.4841,21.7645,44.9566,68.7994,234.9431,307.6138,False
BYD,2015,0.0661,23.1059,231.0588,68.7994,234.9431,307.6138,False
BYD,2016,0.0661,24.6596,246.5962,68.7994,234.9431,307.6138,False
BYD,2017,0.433,24.0995,55.6554,68.7994,234.9431,307.6138,False
BYD,2018,0.433,25.7126,59.3808,68.7994,234.9431,307.6138,False
BYD,2019,0.0661,26.1705,261.705,68.7994,234.9431,307.6138,False
BYD,2020,0.2646,28.3771,107.2555,68.7994,234.9431,307.6138,False
BYD,2021,0.3307,31.5101,95.2777,68.7994,234.9431,307.6138,False
BYD,2022,0.0,32.3871,323.8712,68.7994,234.9431,307.6138,True
BYD,2023,0.6928,31.6316,45.6563,68.7994,234.9431,307.6138,False
BYD,2024,0.469,30.7614,65.5835,68.7994,234.9431,307.6138,False
BYD,2025,0.0,30.7614,307.6138,68.7994,234.9431,307.6138,False
BYD,2026,0.0,30.7614,307.6138,68.7994,234.9431,307.6138,False
CATL,2006,,0.819,,166.6895,341.6762,349.3586,False
CATL,2007,0.0,0.819,8.19,166.6895,341.6762,349.3586,False
CATL,2008,0.0,0.819,8.19,166.6895,341.6762,349.3586,False
CATL,2009,0.0,0.819,8.19,166.6895,341.6762,349.3586,False
CATL,2010,0.0,1.1166,11.1662,166.6895,341.6762,349.3586,False
CATL,2011,0.4789,18.0837,37.7586,166.6895,341.6762,349.3586,False
CATL,2012,0.4841,21.6884,44.7993,166.6895,341.6762,349.3586,False
CATL,2013,0.0,22.9169,229.1688,166.6895,341.6762,349.3586,False
CATL,2014,0.0661,24.9406,249.4062,166.6895,341.6762,349.3586,False
CATL,2015,0.0,27.4594,274.5938,166.6895,341.6762,349.3586,False
CATL,2016,0.3307,30.8971,93.4241,166.6895,341.6762,349.3586,False
CATL,2017,0.0,32.8279,328.2787,166.6895,341.6762,349.3586,False
CATL,2018,0.0866,34.6762,346.7625,166.6895,341.6762,349.3586,False
CATL,2019,0.0,34.6762,346.7625,166.6895,341.6762,349.3586,False
CATL,2020,0.0,37.2724,372.7237,166.6895,341.6762,349.3586,True
CATL,2021,0.0,39.822,398.22,166.6895,341.6762,349.3586,True
CATL,2022,0.5093,38.6006,75.7932,166.6895,341.6762,349.3586,False
CATL,2023,0.4555,36.2032,79.4765,166.6895,341.6762,349.3586,False
CATL,2024,0.3279,34.1676,104.2103,166.6895,341.6762,349.3586,False
CATL,2025,0.0,34.1676,341.6762,166.6895,341.6762,349.3586,False
CATL,2026,0.0,34.1676,341.6762,166.6895,341.6762,349.3586,False
General Motors,2006,,13.9849,,24.7132,55.2887,144.2335,False
General Motors,2007,0.5074,12.2652,24.1706,24.7132,55.2887,144.2335,False
General Motors,2008,0.6614,6.9308,10.4783,24.7132,55.2887,144.2335,False
General Motors,2009,0.696,5.4984,7.9003,24.7132,55.2887,144.2335,False
General Motors,2010,0.6666,12.7,19.0515,24.7132,55.2887,144.2335,False
General Motors,2011,0.0661,15.9306,159.3062,24.7132,55.2887,144.2335,True
General Motors,2012,0.5,17.7942,35.5885,24.7132,55.2887,144.2335,False
General Motors,2013,0.3307,18.0318,54.5229,24.7132,55.2887,144.2335,False
General Motors,2014,1.0533,10.8276,10.28,24.7132,55.2887,144.2335,False
General Motors,2015,0.7071,17.149,24.2523,24.7132,55.2887,144.2335,False
General Motors,2016,0.433,18.4655,42.6442,24.7132,55.2887,144.2335,False
General Motors,2017,0.0,19.5431,195.4312,24.7132,55.2887,144.2335,True
General Motors,2018,0.3307,19.0449,57.5863,24.7132,55.2887,144.2335,False
General Motors,2019,0.7124,16.4006,23.022,24.7132,55.2887,144.2335,False
General Motors,2020,0.8969,11.9128,13.2826,24.7132,55.2887,144.2335,False
General Motors,2021,0.7194,15.3629,21.3559,24.7132,55.2887,144.2335,False
General Motors,2022,0.696,17.5204,25.174,24.7132,55.2887,144.2335,False
General Motors,2023,0.5545,12.5485,22.6292,24.7132,55.2887,144.2335,False
General Motors,2024,0.5,13.1564,26.3128,24.7132,55.2887,144.2335,False
General Motors,2025,0.0,14.2559,142.5587,24.7132,55.2887,144.2335,False
General Motors,2026,0.0,14.2559,142.5587,24.7132,55.2887,144.2335,False
Tencent,2006,,26.4178,,266.0419,349.9291,355.0,False
Tencent,2007,0.0,26.4178,264.1775,266.0419,349.9291,355.0,False
Tencent,2008,0.0,26.4178,264.1775,266.0419,349.9291,355.0,False
Tencent,2009,0.0,26.7906,267.9062,266.0419,349.9291,355.0,False
Tencent,2010,0.0,29.3348,293.3475,266.0419,349.9291,355.0,False
Tencent,2011,0.0,31.8598,318.5975,266.0419,349.9291,355.0,False
Tencent,2012,0.0866,34.84,348.4,266.0419,349.9291,355.0,False
Tencent,2013,0.0,35.4516,354.5162,266.0419,349.9291,355.0,False
Tencent,2014,0.0,35.4516,354.5162,266.0419,349.9291,355.0,False
Tencent,2015,0.0,35.4516,354.5162,266.0419,349.9291,355.0,False
Tencent,2016,0.0,35.9354,359.3538,266.0419,349.9291,355.0,True
Tencent,2017,0.0,37.9395,379.395,266.0419,349.9291,355.0,True
Tencent,2018,0.7124,25.0255,35.1289,266.0419,349.9291,355.0,False
Tencent,2019,0.4235,29.0,68.4726,266.0419,349.9291,355.0,False
Tencent,2020,0.4841,35.7874,73.9221,266.0419,349.9291,355.0,False
Tencent,2021,0.7446,21.8061,29.2871,266.0419,349.9291,355.0,False
Tencent,2022,0.3307,17.466,52.8122,266.0419,349.9291,355.0,False
Tencent,2023,0.7794,26.8384,34.4337,266.0419,349.9291,355.0,False
Tencent,2024,0.3279,28.2342,86.1137,266.0419,349.9291,355.0,False
Tencent,2025,0.5196,29.5701,56.9077,266.0419,349.9291,355.0,False
Tencent,2026,0.0,29.5701,295.7012,266.0419,349.9291,355.0,False
