Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Belgium,1900,Helm,7.4,7.2,3.0,4.8,14.0,27.484
Belgium,1900,Shield,7.4,7.0,3.0,5.0,13.9,27.721
Belgium,1900,Lore,6.0,5.8,3.4,4.8,10.8,23.675
Belgium,1900,Stewards,6.0,6.0,3.0,4.2,11.1,23.355
Belgium,1900,Craft,6.4,6.0,3.4,5.4,11.7,25.35
Belgium,1900,Hands,5.4,4.8,4.4,4.2,7.9,20.512
Belgium,1900,Archive,6.6,7.0,2.0,4.8,14.0,26.684
Belgium,1900,Flow,6.8,7.0,3.4,5.0,12.9,25.854
Belgium,1901,Helm,7.4,6.6,3.0,4.8,13.4,27.647
Belgium,1901,Shield,7.2,7.2,3.2,5.2,13.8,27.436
Belgium,1901,Lore,6.2,6.2,3.6,5.2,11.4,24.604
Belgium,1901,Stewards,5.8,5.6,2.6,4.2,10.9,23.402
Belgium,1901,Craft,6.0,6.0,2.8,5.2,11.8,24.962
Belgium,1901,Hands,5.0,5.2,3.8,3.8,8.3,19.689
Belgium,1901,Archive,7.2,7.0,1.8,5.4,15.1,29.335
Belgium,1901,Flow,6.6,6.8,3.2,5.0,12.7,25.767
Belgium,1902,Helm,7.0,7.0,3.4,5.0,13.1,26.05
Belgium,1902,Shield,7.2,6.8,3.0,5.4,13.7,27.442
Belgium,1902,Lore,5.4,5.8,3.0,5.0,10.7,22.649
Belgium,1902,Stewards,6.0,6.2,2.6,4.0,11.6,23.244
Belgium,1902,Craft,5.8,6.2,3.2,5.4,11.5,23.924
Belgium,1902,Hands,4.6,4.8,3.8,4.2,7.7,18.894
Belgium,1902,Archive,7.2,7.2,2.2,5.0,14.7,27.866
Belgium,1902,Flow,7.0,7.2,3.0,5.4,13.9,26.984
Belgium,1903,Helm,6.6,7.2,3.2,5.4,13.3,25.753
Belgium,1903,Shield,7.0,7.4,3.2,5.2,13.8,26.472
Belgium,1903,Lore,6.2,5.8,3.2,4.8,11.2,24.099
Belgium,1903,Stewards,6.0,6.0,3.6,3.8,10.3,22.004
Belgium,1903,Craft,6.2,5.6,3.2,5.0,11.1,24.332
Belgium,1903,Hands,5.6,5.2,4.0,4.2,8.9,21.137
Belgium,1903,Archive,7.0,7.0,2.0,4.8,14.4,27.354
Belgium,1903,Flow,6.8,7.2,3.0,4.6,13.3,25.518
Belgium,1904,Helm,6.8,7.2,2.4,5.2,14.2,27.478
Belgium,1904,Shield,6.4,7.2,3.0,4.8,13.0,25.325
Belgium,1904,Lore,6.2,6.0,2.8,5.2,12.0,25.532
Belgium,1904,Stewards,6.0,5.4,3.2,4.0,10.2,23.11
Belgium,1904,Craft,7.0,5.8,2.6,5.4,12.9,27.977
Belgium,1904,Hands,4.8,5.0,4.2,3.4,7.3,18.373
Belgium,1904,Archive,7.2,6.8,2.2,5.4,14.5,28.938
Belgium,1904,Flow,7.0,6.8,3.0,5.0,13.3,27.031
Belgium,1905,Helm,6.8,7.0,3.2,5.2,13.2,25.623
