Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node_Value_Calc,Bond_Strength_Calc,Bond_Strength_Calc_legacy,SBD_Calc,Lambda2_Calc,Decay_Index_Calc,Phase_Calc,Regime_Label_Calc,ESCH_Calc,V_Mean_Calc,V_Min_Calc,CAMS_v1_Regime,Run
Burma,1811,Helm,6.0,6.2,4.5,5.2,10.3,0.282277,not_computed,0.266603,1.770479,not_computed,not_computed,not_computed,not_computed,8.5375,5.8,not_computed,separate_run_2026-09_staging
Burma,1811,Shield,6.0,5.0,5.5,4.0,7.5,0.256164,not_computed,0.266603,1.770479,not_computed,not_computed,not_computed,not_computed,8.5375,5.8,not_computed,separate_run_2026-09_staging
Burma,1811,Lore,5.8,5.8,3.2,4.8,10.8,0.298077,not_computed,0.266603,1.770479,not_computed,not_computed,not_computed,not_computed,8.5375,5.8,not_computed,separate_run_2026-09_staging
Burma,1811,Stewards,4.2,5.8,6.2,4.0,5.8,0.221684,not_computed,0.266603,1.770479,not_computed,not_computed,not_computed,not_computed,8.5375,5.8,not_computed,separate_run_2026-09_staging
Burma,1811,Craft,5.3,5.3,3.3,4.0,9.3,0.281543,not_computed,0.266603,1.770479,not_computed,not_computed,not_computed,not_computed,8.5375,5.8,not_computed,separate_run_2026-09_staging
Burma,1811,Hands,6.0,5.4,4.2,2.8,8.6,0.265529,not_computed,0.266603,1.770479,not_computed,not_computed,not_computed,not_computed,8.5375,5.8,not_computed,separate_run_2026-09_staging
Burma,1811,Archive,5.0,5.0,3.8,3.8,8.1,0.266917,not_computed,0.266603,1.770479,not_computed,not_computed,not_computed,not_computed,8.5375,5.8,not_computed,separate_run_2026-09_staging
Burma,1811,Flow,5.0,5.2,4.2,3.8,7.9,0.260632,not_computed,0.266603,1.770479,not_computed,not_computed,not_computed,not_computed,8.5375,5.8,not_computed,separate_run_2026-09_staging
Burma,1813,Helm,6.2,6.4,3.8,5.0,11.3,0.294571,not_computed,0.266062,1.8431,not_computed,not_computed,not_computed,not_computed,8.575,6.0,not_computed,separate_run_2026-09_staging
Burma,1813,Shield,5.8,6.0,4.6,4.4,9.4,0.270861,not_computed,0.266062,1.8431,not_computed,not_computed,not_computed,not_computed,8.575,6.0,not_computed,separate_run_2026-09_staging
Burma,1813,Lore,6.2,6.0,3.2,4.6,11.3,0.301377,not_computed,0.266062,1.8431,not_computed,not_computed,not_computed,not_computed,8.575,6.0,not_computed,separate_run_2026-09_staging
Burma,1813,Stewards,4.7,5.3,6.0,4.0,6.0,0.231251,not_computed,0.266062,1.8431,not_computed,not_computed,not_computed,not_computed,8.575,6.0,not_computed,separate_run_2026-09_staging
Burma,1813,Craft,5.5,5.2,4.2,3.8,8.4,0.267627,not_computed,0.266062,1.8431,not_computed,not_computed,not_computed,not_computed,8.575,6.0,not_computed,separate_run_2026-09_staging
Burma,1813,Hands,5.4,6.0,4.6,3.0,8.3,0.252224,not_computed,0.266062,1.8431,not_computed,not_computed,not_computed,not_computed,8.575,6.0,not_computed,separate_run_2026-09_staging
Burma,1813,Archive,4.4,4.4,4.0,4.0,6.8,0.256305,not_computed,0.266062,1.8431,not_computed,not_computed,not_computed,not_computed,8.575,6.0,not_computed,separate_run_2026-09_staging
Burma,1813,Flow,4.6,4.8,4.2,3.8,7.1,0.254281,not_computed,0.266062,1.8431,not_computed,not_computed,not_computed,not_computed,8.575,6.0,not_computed,separate_run_2026-09_staging
Burma,1840,Helm,2.2,4.2,7.2,4.2,1.3,0.164536,not_computed,0.224523,1.312842,not_computed,not_computed,not_computed,not_computed,6.95625,1.3,not_computed,separate_run_2026-09_staging
Burma,1840,Shield,5.0,4.8,5.8,4.8,6.4,0.223017,not_computed,0.224523,1.312842,not_computed,not_computed,not_computed,not_computed,6.95625,1.3,not_computed,separate_run_2026-09_staging
Burma,1840,Lore,6.2,6.2,4.4,5.4,10.7,0.260898,not_computed,0.224523,1.312842,not_computed,not_computed,not_computed,not_computed,6.95625,1.3,not_computed,separate_run_2026-09_staging
Burma,1840,Stewards,4.8,5.2,6.5,3.8,5.4,0.203722,not_computed,0.224523,1.312842,not_computed,not_computed,not_computed,not_computed,6.95625,1.3,not_computed,separate_run_2026-09_staging
Burma,1840,Craft,4.8,5.2,4.8,4.8,7.6,0.234139,not_computed,0.224523,1.312842,not_computed,not_computed,not_computed,not_computed,6.95625,1.3,not_computed,separate_run_2026-09_staging
Burma,1840,Hands,6.0,6.2,3.5,2.8,10.1,0.250816,not_computed,0.224523,1.312842,not_computed,not_computed,not_computed,not_computed,6.95625,1.3,not_computed,separate_run_2026-09_staging
Burma,1840,Archive,4.5,5.2,4.5,3.5,6.95,0.222816,not_computed,0.224523,1.312842,not_computed,not_computed,not_computed,not_computed,6.95625,1.3,not_computed,separate_run_2026-09_staging
Burma,1840,Flow,5.2,4.6,5.0,4.8,7.2,0.236241,not_computed,0.224523,1.312842,not_computed,not_computed,not_computed,not_computed,6.95625,1.3,not_computed,separate_run_2026-09_staging
Burma,1853,Helm,5.8,6.4,5.0,6.0,10.2,0.289261,not_computed,0.285337,2.017598,not_computed,not_computed,not_computed,not_computed,9.18125,5.8,not_computed,separate_run_2026-09_staging
Burma,1853,Shield,5.2,5.2,5.2,5.0,7.7,0.269286,not_computed,0.285337,2.017598,not_computed,not_computed,not_computed,not_computed,9.18125,5.8,not_computed,separate_run_2026-09_staging
Burma,1853,Lore,7.2,6.0,3.2,6.0,13.0,0.339588,not_computed,0.285337,2.017598,not_computed,not_computed,not_computed,not_computed,9.18125,5.8,not_computed,separate_run_2026-09_staging
Burma,1853,Stewards,4.5,4.2,4.8,3.8,5.8,0.25356,not_computed,0.285337,2.017598,not_computed,not_computed,not_computed,not_computed,9.18125,5.8,not_computed,separate_run_2026-09_staging
Burma,1853,Craft,4.8,5.0,4.8,4.8,7.4,0.268226,not_computed,0.285337,2.017598,not_computed,not_computed,not_computed,not_computed,9.18125,5.8,not_computed,separate_run_2026-09_staging
