Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node_Value_Calc,Bond_Strength_Calc,Bond_Strength_Calc_legacy,SBD_Calc,Lambda2_Calc,Decay_Index_Calc,Phase_Calc,Regime_Label_Calc,ESCH_Calc,V_Mean_Calc,V_Min_Calc,CAMS_v1_Regime
Argentina,1950,Archive,5.0,5.0,4.0,5.0,8.5,0.300054,0.3113,0.31,2.3547,0.0,6.0,High Coherence,1.45,9.725,8.5,Intermediate/uncertain
Argentina,1950,Craft,5.0,5.0,4.0,5.0,8.5,0.300054,0.3271,0.31,2.3547,0.0,6.0,High Coherence,1.45,9.725,8.5,Intermediate/uncertain
Argentina,1950,Flow,5.0,5.2,4.2,5.0,8.5,0.296480,0.2965,0.31,2.3547,0.0,6.0,High Coherence,1.45,9.725,8.5,Intermediate/uncertain
Argentina,1950,Hands,6.0,5.6,4.2,5.0,9.9,0.311303,0.315,0.31,2.3547,0.0,6.0,High Coherence,1.45,9.725,8.5,Intermediate/uncertain
Argentina,1950,Helm,7.0,6.4,4.2,6.0,12.2,0.333803,0.3001,0.31,2.3547,0.0,6.0,High Coherence,1.45,9.725,8.5,Intermediate/uncertain
Argentina,1950,Lore,6.2,6.0,4.0,6.0,11.2,0.327136,0.2965,0.31,2.3547,0.0,6.0,High Coherence,1.45,9.725,8.5,Intermediate/uncertain
Argentina,1950,Shield,6.0,6.0,4.0,5.0,10.5,0.315016,0.3001,0.31,2.3547,0.0,6.0,High Coherence,1.45,9.725,8.5,Intermediate/uncertain
Argentina,1950,Stewards,5.0,5.2,4.2,5.0,8.5,0.296480,0.3338,0.31,2.3547,0.0,6.0,High Coherence,1.45,9.725,8.5,Intermediate/uncertain
Argentina,1951,Archive,5.0,5.0,4.0,5.0,8.5,0.299497,0.3107,0.309,2.3283,0.0033,6.0,High Coherence,1.45,9.725,8.1,Intermediate/uncertain
Argentina,1951,Craft,5.0,5.0,4.0,5.0,8.5,0.299497,0.3265,0.309,2.3283,0.0033,6.0,High Coherence,1.45,9.725,8.1,Intermediate/uncertain
Argentina,1951,Flow,5.0,5.0,4.4,5.0,8.1,0.292398,0.2959,0.309,2.3283,0.0033,6.0,High Coherence,1.45,9.725,8.1,Intermediate/uncertain
Argentina,1951,Hands,6.0,6.0,4.2,5.0,10.3,0.310721,0.3144,0.309,2.3283,0.0033,6.0,High Coherence,1.45,9.725,8.1,Intermediate/uncertain
Argentina,1951,Helm,7.0,6.4,4.2,6.0,12.2,0.333171,0.2995,0.309,2.3283,0.0033,6.0,High Coherence,1.45,9.725,8.1,Intermediate/uncertain
Argentina,1951,Lore,6.2,6.0,4.0,6.0,11.2,0.326520,0.2924,0.309,2.3283,0.0033,6.0,High Coherence,1.45,9.725,8.1,Intermediate/uncertain
Argentina,1951,Shield,6.0,6.0,4.0,5.0,10.5,0.314426,0.2995,0.309,2.3283,0.0033,6.0,High Coherence,1.45,9.725,8.1,Intermediate/uncertain
Argentina,1951,Stewards,5.0,5.2,4.2,5.0,8.5,0.295931,0.3332,0.309,2.3283,0.0033,6.0,High Coherence,1.45,9.725,8.1,Intermediate/uncertain
Argentina,1952,Archive,5.0,5.0,5.0,5.0,7.5,0.242925,0.2289,0.2376,1.6598,0.2335,4.0,Moderate Stress,-0.125,7.4125,5.0,Local node failure
Argentina,1952,Craft,5.0,5.0,5.0,5.0,7.5,0.242925,0.2429,0.2376,1.6598,0.2335,4.0,Moderate Stress,-0.125,7.4125,5.0,Local node failure
Argentina,1952,Flow,4.0,5.0,6.0,4.0,5.0,0.207660,0.2429,0.2376,1.6598,0.2335,4.0,Moderate Stress,-0.125,7.4125,5.0,Local node failure
Argentina,1952,Hands,5.0,5.0,6.0,5.0,6.5,0.228888,0.2526,0.2376,1.6598,0.2335,4.0,Moderate Stress,-0.125,7.4125,5.0,Local node failure
Argentina,1952,Helm,6.0,6.0,6.0,5.0,8.5,0.240314,0.2429,0.2376,1.6598,0.2335,4.0,Moderate Stress,-0.125,7.4125,5.0,Local node failure
Argentina,1952,Lore,5.0,5.0,5.0,5.0,7.5,0.242925,0.2077,0.2376,1.6598,0.2335,4.0,Moderate Stress,-0.125,7.4125,5.0,Local node failure
Argentina,1952,Shield,5.8,6.0,5.0,5.0,9.3,0.252564,0.2429,0.2376,1.6598,0.2335,4.0,Moderate Stress,-0.125,7.4125,5.0,Local node failure
Argentina,1952,Stewards,5.0,5.0,5.0,5.0,7.5,0.242925,0.2403,0.2376,1.6598,0.2335,4.0,Moderate Stress,-0.125,7.4125,5.0,Local node failure
Argentina,1953,Archive,5.0,5.0,5.0,5.0,7.5,0.236550,0.2178,0.2269,1.6496,0.2682,4.0,Moderate Stress,-0.275,6.8875,5.0,Local node failure
Argentina,1953,Craft,5.0,5.0,5.0,5.0,7.5,0.236550,0.2365,0.2269,1.6496,0.2682,4.0,Moderate Stress,-0.275,6.8875,5.0,Local node failure
Argentina,1953,Flow,4.0,4.6,5.6,4.0,5.0,0.207309,0.2124,0.2269,1.6496,0.2682,4.0,Moderate Stress,-0.275,6.8875,5.0,Local node failure
Argentina,1953,Hands,4.8,5.0,5.6,4.0,6.2,0.217773,0.2389,0.2269,1.6496,0.2682,4.0,Moderate Stress,-0.275,6.8875,5.0,Local node failure
Argentina,1953,Helm,5.8,5.0,6.2,5.0,7.1,0.229140,0.2365,0.2269,1.6496,0.2682,4.0,Moderate Stress,-0.275,6.8875,5.0,Local node failure
Argentina,1953,Lore,5.0,5.0,5.0,5.0,7.5,0.236550,0.2073,0.2269,1.6496,0.2682,4.0,Moderate Stress,-0.275,6.8875,5.0,Local node failure
Argentina,1953,Shield,5.2,5.8,5.0,5.0,8.5,0.238940,0.2365,0.2269,1.6496,0.2682,4.0,Moderate Stress,-0.275,6.8875,5.0,Local node failure
Argentina,1953,Stewards,4.0,5.0,5.2,4.0,5.8,0.212378,0.2291,0.2269,1.6496,0.2682,4.0,Moderate Stress,-0.275,6.8875,5.0,Local node failure
