Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Morocco,1900,Helm,4.4,4.2,6.0,3.8,4.5,8.525
Morocco,1900,Shield,3.4,4.0,6.0,4.0,3.4,7.546
Morocco,1900,Lore,5.0,4.8,5.4,3.8,6.3,9.372
Morocco,1900,Stewards,4.0,4.0,6.0,3.2,3.6,7.688
Morocco,1900,Craft,3.4,4.0,5.4,3.4,3.7,7.338
Morocco,1900,Hands,3.4,2.8,6.4,3.2,1.4,6.889
Morocco,1900,Archive,4.6,5.0,5.0,3.8,6.5,9.105
Morocco,1900,Flow,2.8,4.0,6.4,3.0,1.9,6.052
Morocco,1901,Helm,4.4,3.6,6.0,3.8,3.9,8.566
Morocco,1901,Shield,3.2,4.2,6.2,4.2,3.3,7.446
Morocco,1901,Lore,5.2,5.2,5.6,4.2,6.9,9.799
Morocco,1901,Stewards,3.8,3.6,5.6,3.2,3.4,7.631
Morocco,1901,Craft,3.0,4.0,4.8,3.2,3.8,6.945
Morocco,1901,Hands,3.0,3.2,5.8,2.8,1.8,6.35
Morocco,1901,Archive,5.2,5.0,4.8,4.4,7.6,10.253
Morocco,1901,Flow,2.6,3.8,6.2,3.0,1.7,5.909
Morocco,1902,Helm,4.0,4.0,6.4,4.0,3.6,7.966
Morocco,1902,Shield,3.2,3.8,6.0,4.4,3.2,7.523
Morocco,1902,Lore,4.4,4.8,5.0,4.0,6.2,8.865
Morocco,1902,Stewards,4.0,4.2,5.6,3.0,4.1,7.511
Morocco,1902,Craft,2.8,4.2,5.2,3.4,3.5,6.611
Morocco,1902,Hands,2.6,2.8,5.8,3.2,1.2,6.06
Morocco,1902,Archive,5.2,5.2,5.2,4.0,7.2,9.567
Morocco,1902,Flow,3.0,4.2,6.0,3.4,2.9,6.607
Morocco,1903,Helm,3.6,4.2,6.2,4.4,3.8,7.813
Morocco,1903,Shield,3.0,4.4,6.2,4.2,3.3,7.013
Morocco,1903,Lore,5.2,4.8,5.2,3.8,6.7,9.463
Morocco,1903,Stewards,4.0,4.0,6.6,2.8,2.8,7.081
Morocco,1903,Craft,3.2,3.6,5.2,3.0,3.1,6.752
Morocco,1903,Hands,3.6,3.2,6.0,3.2,2.4,7.108
Morocco,1903,Archive,5.0,5.0,5.0,3.8,6.9,9.34
