Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Netherlands,1850,Helm,6.8,7.0,4.4,5.8,12.3,23.315
Netherlands,1850,Shield,6.0,5.6,3.2,4.2,10.5,20.97
Netherlands,1850,Lore,5.6,6.2,4.6,5.8,10.1,20.702
Netherlands,1850,Stewards,7.0,7.0,3.0,5.6,13.8,24.894
Netherlands,1850,Craft,5.2,5.0,5.0,4.4,7.4,17.988
Netherlands,1850,Hands,4.0,4.8,6.2,3.0,4.1,12.997
Netherlands,1850,Archive,6.6,6.2,3.8,5.2,11.6,22.84
Netherlands,1850,Flow,7.0,7.0,3.2,5.8,13.7,24.913
Netherlands,1851,Helm,7.0,7.0,4.0,6.0,13.0,24.827
Netherlands,1851,Shield,6.0,5.6,3.2,4.2,10.5,21.39
Netherlands,1851,Lore,5.6,6.2,4.6,5.8,10.1,21.132
Netherlands,1851,Stewards,7.0,7.0,3.0,5.6,13.8,25.416
Netherlands,1851,Craft,5.2,5.0,5.0,4.4,7.4,18.346
Netherlands,1851,Hands,4.0,4.8,6.2,3.0,4.1,13.244
Netherlands,1851,Archive,7.0,6.8,3.8,5.6,12.8,24.586
Netherlands,1851,Flow,7.0,7.0,3.2,6.0,13.8,25.663
Netherlands,1852,Helm,7.0,7.0,4.0,6.0,13.0,25.104
Netherlands,1852,Shield,6.0,5.6,3.0,4.2,10.7,21.808
Netherlands,1852,Lore,5.8,6.2,4.6,5.8,10.3,21.79
Netherlands,1852,Stewards,7.0,7.0,3.0,5.8,13.9,25.935
Netherlands,1852,Craft,5.2,5.0,4.8,4.4,7.6,18.706
Netherlands,1852,Hands,4.0,4.8,6.2,3.0,4.1,13.38
Netherlands,1852,Archive,7.0,6.8,3.6,5.6,13.0,25.068
Netherlands,1852,Flow,7.0,7.0,3.0,6.0,14.0,26.165
Netherlands,1853,Helm,5.0,5.8,6.6,5.0,6.7,15.455
Netherlands,1853,Shield,6.0,5.6,4.0,4.2,9.7,18.342
Netherlands,1853,Lore,4.6,5.8,6.4,5.0,6.5,14.871
