Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Portugal,1900,Helm,5.4,5.2,5.0,3.8,7.5,12.712
Portugal,1900,Shield,5.4,5.0,5.0,4.0,7.4,12.863
Portugal,1900,Lore,5.0,4.8,5.4,3.8,6.3,11.921
Portugal,1900,Stewards,5.0,5.0,4.0,3.2,7.6,12.164
Portugal,1900,Craft,4.4,4.0,4.4,3.4,5.7,11.194
Portugal,1900,Hands,4.4,3.8,5.4,3.2,4.4,10.56
Portugal,1900,Archive,4.6,5.0,4.0,3.8,7.5,12.029
Portugal,1900,Flow,3.8,5.0,4.4,4.0,6.4,10.698
Portugal,1901,Helm,5.4,4.6,5.0,3.8,6.9,12.756
Portugal,1901,Shield,5.2,5.2,5.2,4.2,7.3,12.673
Portugal,1901,Lore,5.2,5.2,5.6,4.2,6.9,12.46
Portugal,1901,Stewards,4.8,4.6,3.6,3.2,7.4,12.095
Portugal,1901,Craft,4.0,4.0,3.8,3.2,5.8,10.714
Portugal,1901,Hands,4.0,4.2,4.8,2.8,4.8,9.911
Portugal,1901,Archive,5.2,5.0,3.8,4.4,8.6,13.596
Portugal,1901,Flow,3.6,4.8,4.2,4.0,6.2,10.535
Portugal,1902,Helm,5.0,5.0,5.4,4.0,6.6,11.89
Portugal,1902,Shield,5.2,4.8,5.0,4.4,7.2,12.688
Portugal,1902,Lore,4.4,4.8,5.0,4.0,6.2,11.23
Portugal,1902,Stewards,5.0,5.2,3.6,3.0,8.1,11.949
Portugal,1902,Craft,3.8,4.2,4.2,3.4,5.5,10.19
Portugal,1902,Hands,3.6,3.8,4.8,3.2,4.2,9.442
Portugal,1902,Archive,5.2,5.2,4.2,4.0,8.2,12.795
Portugal,1902,Flow,4.0,5.2,4.0,4.4,7.4,11.429
Portugal,1903,Helm,4.6,5.2,5.2,4.4,6.8,11.669
Portugal,1903,Shield,5.0,5.4,5.2,4.2,7.3,12.113
Portugal,1903,Lore,5.2,4.8,5.2,3.8,6.7,12.108
Portugal,1903,Stewards,5.0,5.0,4.6,2.8,6.8,11.33
Portugal,1903,Craft,4.2,3.6,4.2,3.0,5.1,10.463
Portugal,1903,Hands,4.6,4.2,5.0,3.2,5.4,10.869
Portugal,1903,Archive,5.0,5.0,4.0,3.8,7.9,12.436
Portugal,1903,Flow,3.8,5.2,4.0,3.6,6.8,10.396
Portugal,1904,Helm,4.8,5.2,4.4,4.2,7.7,12.535
Portugal,1904,Shield,4.4,5.2,5.0,3.8,6.5,11.301
Portugal,1904,Lore,5.2,5.0,4.8,4.2,7.5,12.922
Portugal,1904,Stewards,5.0,4.4,4.2,3.0,6.7,11.961
Portugal,1904,Craft,5.0,3.8,3.6,3.4,6.9,12.619
Portugal,1904,Hands,3.8,4.0,5.2,2.4,3.8,9.103
Portugal,1904,Archive,5.2,4.8,4.2,4.4,8.0,13.405
Portugal,1904,Flow,4.0,4.8,4.0,4.0,6.8,11.31
Portugal,1905,Helm,4.8,5.0,5.2,4.2,6.7,11.603
Portugal,1905,Shield,5.2,4.6,5.2,4.4,6.8,12.302
Portugal,1905,Lore,4.4,5.0,4.8,4.4,6.8,11.374
Portugal,1905,Stewards,4.8,5.0,3.8,3.0,7.5,11.324
Portugal,1905,Craft,3.8,4.2,4.0,2.6,5.3,9.366
Portugal,1905,Hands,3.8,4.0,4.8,3.0,4.5,9.379
Portugal,1905,Archive,5.2,5.6,4.6,4.4,8.4,12.613
Portugal,1905,Flow,4.0,5.0,4.4,3.4,6.3,10.187
Portugal,1906,Helm,4.2,5.2,5.2,3.8,6.1,10.456
Portugal,1906,Shield,4.6,4.8,5.4,4.0,6.0,11.09
Portugal,1906,Lore,5.0,5.4,4.6,4.6,8.1,12.496
Portugal,1906,Stewards,4.8,4.6,3.6,3.0,7.3,11.428
Portugal,1906,Craft,4.0,3.6,4.4,3.0,4.7,9.863
Portugal,1906,Hands,4.0,4.0,5.4,3.2,4.2,9.601
Portugal,1906,Archive,5.0,5.2,4.2,4.2,8.1,12.404
Portugal,1906,Flow,4.2,4.8,3.6,3.6,7.2,11.037
Portugal,1907,Helm,4.8,5.0,5.0,3.6,6.6,11.691
Portugal,1907,Shield,5.4,5.2,4.8,4.0,7.8,12.991
Portugal,1907,Lore,5.2,4.8,5.0,4.2,7.1,12.744
Portugal,1907,Stewards,5.0,4.6,3.8,3.4,7.5,12.449
Portugal,1907,Craft,4.0,3.8,4.4,3.0,4.9,10.239
Portugal,1907,Hands,4.2,4.2,4.8,3.4,5.3,10.706
Portugal,1907,Archive,5.2,5.0,3.6,3.4,8.3,12.862
Portugal,1907,Flow,3.6,4.8,4.2,4.2,6.3,10.642
Portugal,1908,Helm,3.2,4.2,8.0,4.0,1.4,6.551
Portugal,1908,Shield,3.8,5.2,7.0,4.0,4.0,7.488
Portugal,1908,Lore,3.8,5.2,6.2,4.4,5.0,7.993
Portugal,1908,Stewards,4.0,4.4,6.6,2.8,3.2,7.048
Portugal,1908,Craft,4.2,3.8,5.2,2.8,4.2,7.702
Portugal,1908,Hands,4.0,4.0,6.2,2.8,3.2,7.171
Portugal,1908,Archive,4.0,5.4,6.0,3.8,5.3,7.903
Portugal,1908,Flow,4.2,4.0,6.0,4.0,4.2,8.241
Portugal,1909,Helm,3.8,3.8,6.8,4.2,2.9,8.274
Portugal,1909,Shield,4.0,5.4,5.8,4.0,5.6,8.744
Portugal,1909,Lore,4.6,5.0,5.0,4.0,6.6,9.761
Portugal,1909,Stewards,3.8,4.4,5.8,2.8,3.8,7.648
Portugal,1909,Craft,3.6,3.8,5.0,3.2,4.0,7.973
Portugal,1909,Hands,4.2,4.0,5.8,3.2,4.0,8.42
Portugal,1909,Archive,4.2,4.6,4.4,3.6,6.2,9.238
Portugal,1909,Flow,4.0,4.2,5.0,3.6,5.0,8.764
Portugal,1910,Helm,5.2,4.6,6.4,5.0,5.9,11.947
Portugal,1910,Shield,4.2,4.8,6.2,4.4,5.0,10.327
Portugal,1910,Lore,5.0,5.4,5.8,5.4,7.3,12.292
