Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Sri Lanka,1900,Helm,6.4,6.2,4.0,3.8,10.5,17.15
Sri Lanka,1900,Shield,6.4,6.0,4.0,4.0,10.4,17.313
Sri Lanka,1900,Lore,5.0,4.8,4.4,3.8,7.3,14.356
Sri Lanka,1900,Stewards,6.0,6.0,3.0,3.2,10.6,16.622
Sri Lanka,1900,Craft,4.4,5.0,4.4,3.4,6.7,12.883
Sri Lanka,1900,Hands,4.4,3.8,5.4,3.2,4.4,12.16
Sri Lanka,1900,Archive,5.6,6.0,3.0,3.8,10.5,16.404
Sri Lanka,1900,Flow,4.8,6.0,4.4,4.0,8.4,14.141
Sri Lanka,1901,Helm,6.4,5.6,4.0,3.8,9.9,17.211
Sri Lanka,1901,Shield,6.2,6.2,4.2,4.2,10.3,17.058
Sri Lanka,1901,Lore,5.2,5.2,4.6,4.2,7.9,15.005
Sri Lanka,1901,Stewards,5.8,5.6,2.6,3.2,10.4,16.578
Sri Lanka,1901,Craft,4.0,5.0,3.8,3.2,6.8,12.32
Sri Lanka,1901,Hands,4.0,4.2,4.8,2.8,4.8,11.424
Sri Lanka,1901,Archive,6.2,6.0,2.8,4.4,11.6,18.245
Sri Lanka,1901,Flow,4.6,5.8,4.2,4.0,8.2,13.968
Sri Lanka,1902,Helm,6.0,6.0,4.4,4.0,9.6,16.065
Sri Lanka,1902,Shield,6.2,5.8,4.0,4.4,10.2,17.013
Sri Lanka,1902,Lore,4.4,4.8,4.0,4.0,7.2,13.469
Sri Lanka,1902,Stewards,6.0,6.2,2.6,3.0,11.1,16.366
Sri Lanka,1902,Craft,3.8,5.2,4.2,3.4,6.5,11.681
Sri Lanka,1902,Hands,3.6,3.8,4.8,3.2,4.2,10.813
Sri Lanka,1902,Archive,6.2,6.2,3.2,4.0,11.2,17.234
Sri Lanka,1902,Flow,5.0,6.2,4.0,4.4,9.4,14.918
Sri Lanka,1903,Helm,5.6,6.2,4.2,4.4,9.8,15.808
Sri Lanka,1903,Shield,6.0,6.4,4.2,4.2,10.3,16.358
Sri Lanka,1903,Lore,5.2,4.8,4.2,3.8,7.7,14.617
Sri Lanka,1903,Stewards,6.0,6.0,3.6,2.8,9.8,15.59
Sri Lanka,1903,Craft,4.2,4.6,4.2,3.0,6.1,12.067
Sri Lanka,1903,Hands,4.6,4.2,5.0,3.2,5.4,12.555
Sri Lanka,1903,Archive,6.0,6.0,3.0,3.8,10.9,16.865
Sri Lanka,1903,Flow,4.8,6.2,4.0,3.6,8.8,13.835
Sri Lanka,1904,Helm,5.8,6.2,3.4,4.2,10.7,16.939
Sri Lanka,1904,Shield,5.4,6.2,4.0,3.8,9.5,15.452
Sri Lanka,1904,Lore,5.2,5.0,3.8,4.2,8.5,15.546
Sri Lanka,1904,Stewards,6.0,5.4,3.2,3.0,9.7,16.381
Sri Lanka,1904,Craft,5.0,4.8,3.6,3.4,7.9,14.608
Sri Lanka,1904,Hands,3.8,4.0,5.2,2.4,3.8,10.491
Sri Lanka,1904,Archive,6.2,5.8,3.2,4.4,11.0,17.977
Sri Lanka,1904,Flow,5.0,5.8,4.0,4.0,8.8,14.872
Sri Lanka,1905,Helm,5.8,6.0,4.2,4.2,9.7,15.714
Sri Lanka,1905,Shield,6.2,5.6,4.2,4.4,9.8,16.539
Sri Lanka,1905,Lore,4.4,5.0,3.8,4.4,7.8,13.632
Sri Lanka,1905,Stewards,5.8,6.0,2.8,3.0,10.5,15.59
Sri Lanka,1905,Craft,3.8,5.2,4.0,2.6,6.3,10.831
