Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
United States,2015,Helm,6.0,6.8,4.2,6.6,11.5,9.051
United States,2015,Shield,7.0,8.0,3.4,7.0,14.1,9.051
United States,2015,Lore,6.0,7.0,4.4,7.0,12.1,9.051
United States,2015,Stewards,7.0,8.0,3.2,7.6,15.6,9.051
United States,2015,Craft,6.0,7.0,3.6,6.8,13.0,9.051
United States,2015,Hands,5.0,6.0,5.0,5.0,9.5,9.051
United States,2015,Archive,6.0,7.0,4.2,6.8,12.2,9.051
United States,2015,Flow,7.0,8.0,3.2,7.6,15.6,9.051
United States,2016,Helm,5.0,6.0,5.8,6.0,8.2,8.512
United States,2016,Shield,7.0,8.0,3.4,7.0,14.1,8.512
United States,2016,Lore,5.0,6.0,6.0,6.0,8.0,8.512
United States,2016,Stewards,7.0,8.0,3.2,7.6,15.6,8.512
United States,2016,Craft,6.0,7.0,3.6,6.8,13.0,8.512
United States,2016,Hands,5.0,6.0,5.0,5.0,9.5,8.512
United States,2016,Archive,6.0,7.0,4.2,6.8,12.2,8.512
United States,2016,Flow,7.0,8.0,3.2,7.6,15.6,8.512
United States,2017,Helm,4.0,5.2,6.8,5.2,5.8,7.903
United States,2017,Shield,7.0,8.0,3.4,7.0,14.1,7.903
United States,2017,Lore,5.0,6.0,6.0,6.0,8.0,7.903
United States,2017,Stewards,7.0,8.0,3.2,7.6,15.6,7.903
United States,2017,Craft,6.0,7.0,3.6,6.8,13.0,7.903
United States,2017,Hands,5.0,6.0,5.0,5.0,9.5,7.903
United States,2017,Archive,5.0,6.2,5.4,6.2,10.1,7.903
United States,2017,Flow,7.0,8.0,3.2,7.6,15.6,7.903
United States,2018,Helm,4.0,5.2,6.8,5.2,5.8,7.884
United States,2018,Shield,7.0,8.0,3.6,7.0,13.9,7.884
United States,2018,Lore,5.0,6.0,6.0,6.0,8.0,7.884
United States,2018,Stewards,7.2,8.0,3.2,7.6,15.8,7.884
United States,2018,Craft,6.0,7.0,3.6,6.8,13.0,7.884
United States,2018,Hands,5.0,6.0,5.0,5.0,9.5,7.884
United States,2018,Archive,5.0,6.0,5.2,6.2,10.2,7.884
United States,2018,Flow,7.0,8.0,3.2,7.6,15.6,7.884
United States,2019,Helm,4.0,5.0,6.8,5.0,5.7,7.766
United States,2019,Shield,7.0,8.0,3.6,7.0,13.9,7.766
United States,2019,Lore,4.6,6.0,6.0,6.0,8.0,7.766
United States,2019,Stewards,7.2,8.0,3.0,7.6,15.8,7.766
United States,2019,Craft,6.0,7.0,3.6,6.8,13.0,7.766
United States,2019,Hands,5.0,6.0,5.0,5.0,9.5,7.766
United States,2019,Archive,5.0,6.0,5.4,6.0,9.6,7.766
United States,2019,Flow,7.0,8.0,3.2,7.6,15.6,7.766
United States,2020,Helm,4.0,5.4,7.6,5.4,5.5,5.834
United States,2020,Shield,6.0,7.0,5.0,6.0,11.0,5.834
United States,2020,Lore,4.6,5.8,6.8,5.4,7.3,5.834
United States,2020,Stewards,6.0,7.0,4.6,6.4,11.6,5.834
United States,2020,Craft,5.6,6.2,6.0,6.0,8.8,5.834
United States,2020,Hands,4.6,5.4,7.4,4.6,5.9,5.834
United States,2020,Archive,5.4,6.2,5.6,5.8,9.7,5.834
United States,2020,Flow,5.0,6.0,7.0,6.0,7.0,5.834
United States,2021,Helm,5.0,5.8,6.0,5.6,7.6,6.378
United States,2021,Shield,5.8,7.0,5.0,6.0,11.0,6.378
United States,2021,Lore,4.4,5.6,6.6,5.2,6.8,6.378
United States,2021,Stewards,6.8,7.0,4.4,6.4,12.6,6.378
United States,2021,Craft,5.6,6.0,5.8,5.6,9.0,6.378
United States,2021,Hands,5.0,6.2,6.0,5.0,9.2,6.378
United States,2021,Archive,5.8,6.0,5.0,5.8,10.7,6.378
United States,2021,Flow,5.6,6.6,5.8,6.2,10.5,6.378
United States,2022,Helm,5.0,6.0,5.8,5.6,8.6,6.284
United States,2022,Shield,6.0,7.0,4.6,6.0,11.4,6.284
United States,2022,Lore,4.4,5.4,6.6,5.2,6.8,6.284
United States,2022,Stewards,6.0,6.8,5.2,6.4,10.8,6.284
United States,2022,Craft,5.8,6.4,5.4,5.8,9.7,6.284
United States,2022,Hands,5.4,6.0,6.0,5.0,8.9,6.284
United States,2022,Archive,5.8,6.0,5.0,5.8,10.7,6.284
United States,2022,Flow,5.2,6.2,6.6,5.8,8.7,6.284
United States,2023,Helm,4.8,5.8,5.6,5.6,9.0,6.556
United States,2023,Shield,6.0,7.0,4.2,6.0,11.8,6.556
United States,2023,Lore,4.4,5.4,6.0,5.2,7.0,6.556
United States,2023,Stewards,6.2,6.8,4.4,6.4,12.0,6.556
United States,2023,Craft,5.8,6.4,5.0,5.8,10.1,6.556
United States,2023,Hands,5.6,6.0,4.8,5.0,9.3,6.556
United States,2023,Archive,5.8,6.0,5.0,5.8,10.7,6.556
United States,2023,Flow,5.8,7.0,5.2,6.4,11.8,6.556
